Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,3.3e-05,17.248,[19  6] ; [ 6 24],[11.36363636 13.63636364] ; [13.63636364 16.36363636],1
r3,1,0.003534,8.509111,[19  6] ; [11 19],[13.63636364 11.36363636] ; [16.36363636 13.63636364],0
p9,1,0.006712,7.34842,[17  8] ; [ 9 20],[12.03703704 12.96296296] ; [13.96296296 15.03703704],0
p8,1,0.010294,6.583223,[ 9 17] ; [ 2 27],[ 5.2 20.8] ; [ 5.8 23.2],0
p10,1,0.011213,6.431256,[15 11] ; [ 7 22],[10.4 15.6] ; [11.6 17.4],0
n3,1,0.020479,5.370629,[7 1] ; [ 6 10],[4.33333333 3.66666667] ; [8.66666667 7.33333333],0
p2,1,0.027765,4.842619,[13 12] ; [ 7 23],[ 9.09090909 15.90909091] ; [10.90909091 19.09090909],0
s7,1,0.048822,3.881449,[ 8 17] ; [ 3 26],[ 5.09259259 19.90740741] ; [ 5.90740741 23.09259259],0
d4,1,0.054093,3.709822,[21  5] ; [17 13],[17.64285714  8.35714286] ; [20.35714286  9.64285714],0
v2,1,0.08326,3.000088,[11 15] ; [ 6 23],[ 8.03636364 17.96363636] ; [ 8.96363636 20.03636364],0
s6,1,0.101226,2.686121,[ 9 16] ; [ 5 25],[ 6.36363636 18.63636364] ; [ 7.63636364 22.36363636],0
u3,1,0.105817,2.615602,[3 6] ; [ 1 13],[1.56521739 7.43478261] ; [ 2.43478261 11.56521739],0
u2,1,0.105817,2.615602,[3 6] ; [ 1 13],[1.56521739 7.43478261] ; [ 2.43478261 11.56521739],0
p5,1,0.124212,2.363395,[ 4 22] ; [ 1 28],[ 2.36363636 23.63636364] ; [ 2.63636364 26.36363636],0
d5,1,0.128001,2.316581,[19  7] ; [16 14],[16.25  9.75] ; [18.75 11.25],0
p7,1,0.129448,2.299115,[11 15] ; [ 7 23],[ 8.35714286 17.64285714] ; [ 9.64285714 20.35714286],0
r4,1,0.219475,1.507801,[10 16] ; [ 7 23],[ 7.89285714 18.10714286] ; [ 9.10714286 20.89285714],0
b5,1,0.283818,1.148718,[15 11] ; [13 17],[13. 13.] ; [15. 15.],0
d1,1,0.327231,0.959824,[12 14] ; [10 20],[10.21428571 15.78571429] ; [11.78571429 18.21428571],0
r1,1,0.327231,0.959824,[12 14] ; [10 20],[10.21428571 15.78571429] ; [11.78571429 18.21428571],0
b4,1,0.332762,0.93812,[18  8] ; [17 13],[16.25  9.75] ; [18.75 11.25],0
p4,1,0.35131,0.868718,[ 9 17] ; [ 7 23],[ 7.42857143 18.57142857] ; [ 8.57142857 21.42857143],0
b3,1,0.356356,0.850694,[ 5 11] ; [11 13],[6.4 9.6] ; [ 9.6 14.4],0
b2,1,0.356356,0.850694,[ 5 11] ; [11 13],[6.4 9.6] ; [ 9.6 14.4],0
a5,1,0.386358,0.750372,[16 10] ; [15 15],[14.39285714 11.60714286] ; [16.60714286 13.39285714],0
a3,1,0.440219,0.595712,[17  9] ; [16 13],[15.6 10.4] ; [17.4 11.6],0
b1,1,0.452808,0.563613,[13 13] ; [18 12],[14.39285714 11.60714286] ; [16.60714286 13.39285714],0
