Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-05,19.423396,[31 16] ; [34 84],[18.51515152 28.48484848] ; [46.48484848 71.51515152],1
r1,1,0.001577,9.986324,[38 10] ; [65 58],[28.9122807 19.0877193] ; [74.0877193 48.9122807],0
n4,1,0.003118,8.737128,[41  7] ; [77 47],[32.93023256 15.06976744] ; [85.06976744 38.93023256],0
r4,1,0.004946,7.899241,[43  5] ; [86 39],[35.79190751 12.20809249] ; [93.20809249 31.79190751],0
r2,1,0.006802,7.324589,[47  1] ; [102  22],[41.58139535  6.41860465] ; [107.41860465  16.58139535],0
p3,1,0.030834,4.662186,[24 24] ; [40 84],[17.86046512 30.13953488] ; [46.13953488 77.86046512],0
v1,1,0.038002,4.304944,[26 21] ; [46 76],[20.02366864 26.97633136] ; [51.97633136 70.02366864],0
a5,1,0.046529,3.962352,[30 18] ; [57 68],[24.13872832 23.86127168] ; [62.86127168 62.13872832],0
s3,1,0.049104,3.871781,[27 20] ; [50 73],[21.28823529 25.71176471] ; [55.71176471 67.28823529],0
d3,1,0.050869,3.812593,[18 30] ; [28 95],[12.9122807 35.0877193] ; [33.0877193 89.9122807],0
a3,1,0.06497,3.405734,[29 19] ; [55 68],[23.57894737 24.42105263] ; [60.42105263 62.57894737],0
s4,1,0.069184,3.30228,[ 5 43] ; [28 96],[ 9.20930233 38.79069767] ; [ 23.79069767 100.20930233],0
p10,1,0.092478,2.830705,[37 11] ; [77 44],[32.37869822 15.62130178] ; [81.62130178 39.37869822],0
p1,1,0.094591,2.794456,[ 8 40] ; [ 10 115],[ 4.99421965 43.00578035] ; [ 13.00578035 111.99421965],0
b3,1,0.107615,2.588894,[11 20] ; [15 58],[ 7.75 23.25] ; [18.25 54.75],0
b2,1,0.107615,2.588894,[11 20] ; [15 58],[ 7.75 23.25] ; [18.25 54.75],0
n5,1,0.116363,2.465609,[39  9] ; [86 38],[34.88372093 13.11627907] ; [90.11627907 33.88372093],0
p8,1,0.1321,2.267651,[24 24] ; [46 77],[19.64912281 28.35087719] ; [50.35087719 72.64912281],0
a7,1,0.132649,2.261222,[32 16] ; [67 57],[27.62790698 20.37209302] ; [71.37209302 52.62790698],0
p4,1,0.136926,2.212174,[26 22] ; [52 73],[21.6416185 26.3583815] ; [56.3583815 68.6416185],0
n1,1,0.137743,2.202993,[5 3] ; [16 30],[3.11111111 4.88888889] ; [17.88888889 28.11111111],0
p9,1,0.149101,2.081429,[38 10] ; [83 39],[34.16470588 13.83529412] ; [86.83529412 35.16470588],0
s7,1,0.170039,1.882602,[19 25] ; [38 82],[15.29268293 28.70731707] ; [41.70731707 78.29268293],0
v4,1,0.220529,1.500924,[44  4] ; [104  19],[41.54385965  6.45614035] ; [106.45614035  16.54385965],0
s5,1,0.29634,1.090591,[10 37] ; [ 18 105],[ 7.74117647 39.25882353] ; [ 20.25882353 102.74117647],0
s6,1,0.300284,1.072931,[26 20] ; [59 65],[23. 23.] ; [62. 62.],0
a8,1,0.335858,0.926177,[ 3 41] ; [ 14 102],[ 4.675 39.325] ; [ 12.325 103.675],0
p6,1,0.449046,0.573059,[14 34] ; [29 94],[12.07017544 35.92982456] ; [30.92982456 92.07017544],0
n3,1,0.516153,0.421574,[6 1] ; [35 12],[5.31481481 1.68518519] ; [35.68518519 11.31481481],0
s2,1,0.520424,0.413053,[18 29] ; [41 83],[16.21637427 30.78362573] ; [42.78362573 81.21637427],0
p12,1,0.534579,0.38568,[ 2 46] ; [  3 122],[ 1.38728324 46.61271676] ; [  3.61271676 121.38728324],0
n6,1,0.56529,0.330627,[37 11] ; [91 34],[35.51445087 12.48554913] ; [92.48554913 32.51445087],0
a2,1,0.613028,0.255789,[ 5 43] ; [ 10 115],[ 4.16184971 43.83815029] ; [ 10.83815029 114.16184971],0
b4,1,0.630503,0.23138,[25 23] ; [60 65],[23.58381503 24.41618497] ; [61.41618497 63.58381503],0
p11,1,0.645878,0.211136,[34 14] ; [84 41],[32.73988439 15.26011561] ; [85.26011561 39.73988439],0
p7,1,0.688666,0.160533,[27 20] ; [67 57],[25.83625731 21.16374269] ; [68.16374269 55.83625731],0
u1,1,0.69466,0.154087,[ 1 47] ; [  4 121],[ 1.38728324 46.61271676] ; [  3.61271676 121.38728324],0
r3,1,0.707809,0.140476,[41  7] ; [103  21],[40.18604651  7.81395349] ; [103.81395349  20.18604651],0
s8,1,0.709288,0.138989,[16 32] ; [38 87],[14.98265896 33.01734104] ; [39.01734104 85.98265896],0
p2,1,0.714151,0.134166,[34 14] ; [92 33],[34.95953757 13.04046243] ; [91.04046243 33.95953757],0
a1,1,0.755702,0.096802,[ 2 46] ; [  4 121],[ 1.66473988 46.33526012] ; [  4.33526012 120.66473988],0
u3,1,0.779119,0.078662,[ 8 11] ; [32 38],[ 8.53932584 10.46067416] ; [31.46067416 38.53932584],0
a6,1,0.781559,0.076889,[28 20] ; [70 55],[27.19075145 20.80924855] ; [70.80924855 54.19075145],0
d2,1,0.795881,0.066916,[11 37] ; [31 94],[11.65317919 36.34682081] ; [30.34682081 94.65317919],0
u2,1,0.802655,0.062456,[ 7 12] ; [28 42],[ 7.47191011 11.52808989] ; [27.52808989 42.47191011],0
d5,1,0.818205,0.052833,[23 25] ; [57 67],[22.3255814 25.6744186] ; [57.6744186 66.3255814],0
s1,1,0.835038,0.043366,[ 2 46] ; [  6 116],[ 2.25882353 45.74117647] ; [  5.74117647 116.25882353],0
b1,1,0.855178,0.033312,[20 28] ; [54 71],[20.53179191 27.46820809] ; [53.46820809 71.53179191],0
b5,1,0.917361,0.010766,[28 20] ; [74 51],[28.30057803 19.69942197] ; [73.69942197 51.30057803],0
a4,1,0.926944,0.008407,[11 37] ; [29 94],[11.22807018 36.77192982] ; [28.77192982 94.22807018],0
d1,1,0.960271,0.002481,[ 2 46] ; [  5 120],[ 1.94219653 46.05780347] ; [  5.05780347 119.94219653],0
