Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000172,14.111675,[50  4] ; [157  77],[38.8125 15.1875] ; [168.1875  65.8125],1
v2,1,0.000242,13.475539,[23 33] ; [158  76],[34.95172414 21.04827586] ; [146.04827586  87.95172414],1
r2,1,0.002771,8.952234,[49  7] ; [228   7],[53.30584192  2.69415808] ; [223.69415808  11.30584192],0
p6,1,0.006051,7.53515,[41 15] ; [124 110],[31.86206897 24.13793103] ; [133.13793103 100.86206897],0
s5,1,0.009716,6.686291,[30 21] ; [ 91 142],[21.72887324 29.27112676] ; [ 99.27112676 133.72887324],0
s2,1,0.013669,6.080415,[38 18] ; [118 120],[29.71428571 26.28571429] ; [126.28571429 111.71428571],0
a7,1,0.014508,5.975195,[33 23] ; [179  59],[40.38095238 15.61904762] ; [171.61904762  66.38095238],0
a8,1,0.016455,5.753552,[ 2 52] ; [ 35 180],[ 7.42750929 46.57249071] ; [ 29.57249071 185.42750929],0
s3,1,0.024054,5.090712,[41 15] ; [134 102],[33.56164384 22.43835616] ; [141.43835616  94.56164384],0
v3,1,0.0352,4.435457,[19 37] ; [115 117],[26.05555556 29.94444444] ; [107.94444444 124.05555556],0
b3,1,0.051617,3.788136,[ 8 25] ; [65 88],[12.9516129 20.0483871] ; [60.0483871 92.9516129],0
b2,1,0.051617,3.788136,[ 8 25] ; [65 88],[12.9516129 20.0483871] ; [60.0483871 92.9516129],0
r4,1,0.058522,3.578797,[49  7] ; [226  13],[52.20338983  3.79661017] ; [222.79661017  16.20338983],0
b1,1,0.069149,3.303104,[28 28] ; [ 88 151],[22.02033898 33.97966102] ; [ 93.97966102 145.02033898],0
s7,1,0.074491,3.181174,[37 17] ; [123 100],[31.19133574 22.80866426] ; [128.80866426  94.19133574],0
p7,1,0.102786,2.661769,[53  3] ; [205  31],[49.47945205  6.52054795] ; [208.52054795  27.47945205],0
p4,1,0.104466,2.636009,[52  4] ; [202  37],[48.21694915  7.78305085] ; [205.78305085  33.21694915],0
a3,1,0.16892,1.892503,[37 19] ; [178  59],[41.09215017 14.90784983] ; [173.90784983  63.09215017],0
s1,1,0.175741,1.833273,[ 3 53] ; [  5 234],[ 1.51864407 54.48135593] ; [  6.48135593 232.51864407],0
a5,1,0.183007,1.77303,[41 15] ; [194  45],[44.61016949 11.38983051] ; [190.38983051  48.61016949],0
p11,1,0.216868,1.524976,[46 10] ; [211  28],[48.78644068  7.21355932] ; [208.21355932  30.78644068],0
