Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.002652,9.032907,[53 23] ; [ 9 16],[46.65346535 29.34653465] ; [15.34653465  9.65346535],0
p3,1,0.003278,8.645683,[44 32] ; [ 6 19],[37.62376238 38.37623762] ; [12.37623762 12.62376238],0
p6,1,0.014359,5.993514,[32 42] ; [ 4 21],[26.90909091 47.09090909] ; [ 9.09090909 15.90909091],0
s6,1,0.016145,5.787037,[53 22] ; [11 14],[48. 27.] ; [16.  9.],0
s4,1,0.017077,5.688401,[20 56] ; [ 1 24],[15.8019802 60.1980198] ; [ 5.1980198 19.8019802],0
b1,1,0.025545,4.986585,[27 49] ; [ 3 22],[22.57425743 53.42574257] ; [ 7.42574257 17.57425743],0
p11,1,0.041708,4.147015,[61 15] ; [15 10],[57.18811881 18.81188119] ; [18.81188119  6.18811881],0
s3,1,0.048509,3.892256,[38 37] ; [ 7 18],[33.75 41.25] ; [11.25 13.75],0
p2,1,0.055721,3.660386,[64 11] ; [17  8],[60.75 14.25] ; [20.25  4.75],0
s7,1,0.073718,3.198227,[29 44] ; [ 5 20],[25.32653061 47.67346939] ; [ 8.67346939 16.32653061],0
s5,1,0.084518,2.975806,[25 48] ; [ 4 21],[21.60204082 51.39795918] ; [ 7.39795918 17.60204082],0
n3,1,0.088349,2.904202,[15  6] ; [2 4],[13.22222222  7.77777778] ; [3.77777778 2.22222222],0
n6,1,0.126051,2.340476,[51 23] ; [13 12],[47.83838384 26.16161616] ; [16.16161616  8.83838384],0
s2,1,0.139345,2.185178,[34 42] ; [ 7 18],[30.85148515 45.14851485] ; [10.14851485 14.85148515],0
v4,1,0.151504,2.057044,[71  5] ; [21  4],[69.22772277  6.77227723] ; [22.77227723  2.22772277],0
s8,1,0.161132,1.963571,[30 46] ; [ 6 19],[27.08910891 48.91089109] ; [ 8.91089109 16.08910891],0
b5,1,0.216983,1.524215,[50 26] ; [13 12],[47.40594059 28.59405941] ; [15.59405941  9.40594059],0
n5,1,0.252184,1.311161,[31 45] ; [ 7 18],[28.59405941 47.40594059] ; [ 9.40594059 15.59405941],0
a5,1,0.314571,1.011386,[51 25] ; [14 11],[48.91089109 27.08910891] ; [16.08910891  8.91089109],0
u2,1,0.332917,0.937519,[21 13] ; [6 7],[19.53191489 14.46808511] ; [7.46808511 5.53191489],0
p10,1,0.333063,0.93695,[59 17] ; [17  8],[57.18811881 18.81188119] ; [18.81188119  6.18811881],0
p9,1,0.351943,0.866438,[57 19] ; [21  4],[58.69306931 17.30693069] ; [19.30693069  5.69306931],0
d3,1,0.353199,0.861932,[56 20] ; [16  9],[54.17821782 21.82178218] ; [17.82178218  7.17821782],0
a6,1,0.370162,0.80312,[44 32] ; [17  8],[45.9009901 30.0990099] ; [15.0990099  9.9009901],0
b3,1,0.406175,0.68997,[10 23] ; [6 8],[11.23404255 21.76595745] ; [4.76595745 9.23404255],0
b2,1,0.406175,0.68997,[10 23] ; [6 8],[11.23404255 21.76595745] ; [4.76595745 9.23404255],0
a4,1,0.449009,0.573151,[21 55] ; [ 5 20],[19.56435644 56.43564356] ; [ 6.43564356 18.56435644],0
d2,1,0.471909,0.517503,[24 52] ; [ 6 19],[22.57425743 53.42574257] ; [ 7.42574257 17.57425743],0
v1,1,0.493048,0.469869,[32 41] ; [ 9 16],[30.54081633 42.45918367] ; [10.45918367 14.54081633],0
p12,1,0.505971,0.44239,[ 6 70] ; [ 1 24],[ 5.26732673 70.73267327] ; [ 1.73267327 23.26732673],0
a3,1,0.527672,0.398873,[42 34] ; [12 13],[40.63366337 35.36633663] ; [13.36633663 11.63366337],0
r3,1,0.531987,0.390595,[70  6] ; [22  3],[69.22772277  6.77227723] ; [22.77227723  2.22772277],0
r1,1,0.548217,0.360522,[53 23] ; [19  6],[54.17821782 21.82178218] ; [17.82178218  7.17821782],0
v3,1,0.604066,0.268908,[22 50] ; [ 6 18],[21. 51.] ; [ 7. 17.],0
u3,1,0.607936,0.263191,[18 15] ; [6 7],[17.2173913 15.7826087] ; [6.7826087 6.2173913],0
n2,1,0.638729,0.220408,[16  5] ; [4 2],[15.55555556  5.44444444] ; [4.44444444 1.55555556],0
v2,1,0.639371,0.219566,[39 34] ; [12 13],[37.98979592 35.01020408] ; [13.01020408 11.98979592],0
b4,1,0.689323,0.159819,[46 30] ; [14 11],[45.14851485 30.85148515] ; [14.85148515 10.14851485],0
a2,1,0.713721,0.134589,[ 8 68] ; [ 2 23],[ 7.52475248 68.47524752] ; [ 2.47524752 22.52475248],0
s1,1,0.726632,0.122227,[ 2 74] ; [ 1 24],[ 2.25742574 73.74257426] ; [ 0.74257426 24.25742574],0
d4,1,0.756786,0.095917,[60 16] ; [19  6],[59.44554455 16.55445545] ; [19.55445545  5.44554455],0
r4,1,0.783786,0.075289,[62 14] ; [21  4],[62.45544554 13.54455446] ; [20.54455446  4.45544554],0
u1,1,0.808253,0.058894,[ 5 71] ; [ 2 23],[ 5.26732673 70.73267327] ; [ 1.73267327 23.26732673],0
n1,1,0.82176,0.050752,[ 6 15] ; [2 4],[ 6.22222222 14.77777778] ; [1.77777778 4.22222222],0
