Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.001244,10.424049,[356  63] ; [26 14],[348.71023965  70.28976035] ; [33.28976035  6.71023965],0
p4,1,0.001471,10.114453,[314 105] ; [20 19],[305.55895197 113.44104803] ; [28.44104803 10.55895197],0
p11,1,0.001645,9.908447,[364  56] ; [28 13],[357.13665944  62.86334056] ; [34.86334056  6.13665944],0
r3,1,0.001953,9.593003,[403  16] ; [35  6],[398.96086957  20.03913043] ; [39.03913043  1.96086957],0
p7,1,0.002611,9.061433,[345  68] ; [25 14],[338.07522124  74.92477876] ; [31.92477876  7.07522124],0
d5,1,0.006728,7.344157,[346  73] ; [26 14],[339.58169935  79.41830065] ; [32.41830065  7.58169935],0
s3,1,0.00705,7.260091,[243 174] ; [14 25],[235.01973684 181.98026316] ; [21.98026316 17.01973684],0
p9,1,0.007168,7.230475,[374  43] ; [31 10],[368.74454148  48.25545852] ; [36.25545852  4.74454148],0
n4,1,0.008274,6.973205,[339  80] ; [26 15],[332.4673913  86.5326087] ; [32.5326087  8.4673913],0
n6,1,0.01406,6.030566,[370  48] ; [30 10],[365.06550218  52.93449782] ; [34.93449782  5.06550218],0
d3,1,0.017045,5.691717,[306 114] ; [22 18],[299.47826087 120.52173913] ; [28.52173913 11.47826087],0
p10,1,0.017973,5.598765,[369  48] ; [31 10],[364.19213974  52.80786026] ; [35.80786026  5.19213974],0
s8,1,0.030882,4.659512,[210 207] ; [13 27],[203.48140044 213.51859956] ; [19.51859956 20.48140044],0
r1,1,0.031441,4.628694,[352  67] ; [29 12],[347.04130435  71.95869565] ; [33.95869565  7.04130435],0
a3,1,0.031921,4.602718,[298 120] ; [22 18],[292.05240175 125.94759825] ; [27.94759825 12.05240175],0
r4,1,0.03412,4.488694,[395  25] ; [35  6],[391.75704989  28.24295011] ; [38.24295011  2.75704989],0
s7,1,0.035905,4.401602,[219 182] ; [14 24],[212.83143508 188.16856492] ; [20.16856492 17.83143508],0
v1,1,0.0467,3.956147,[247 165] ; [18 23],[241.01545254 170.98454746] ; [23.98454746 17.01545254],0
d2,1,0.055203,3.675939,[203 217] ; [13 27],[197.2173913 222.7826087] ; [18.7826087 21.2173913],0
n5,1,0.068229,3.325118,[336  82] ; [28 13],[331.48583878  86.51416122] ; [32.51416122  8.48583878],0
p3,1,0.092685,2.827115,[266 153] ; [20 20],[261.07625272 157.92374728] ; [24.92374728 15.07625272],0
d1,1,0.151988,2.052186,[263 157] ; [21 20],[258.74186551 161.25813449] ; [25.25813449 15.74186551],0
u2,1,0.212953,1.551233,[70 52] ; [ 8 11],[67.4893617 54.5106383] ; [10.5106383  8.4893617],0
a7,1,0.218179,1.516306,[313 106] ; [27 14],[309.69565217 109.30434783] ; [30.30434783 10.69565217],0
u1,1,0.236504,1.401314,[ 71 349] ; [ 4 37],[ 68.329718 351.670282] ; [ 6.670282 34.329718],0
a2,1,0.263766,1.248881,[ 93 327] ; [ 6 35],[ 90.19522777 329.80477223] ; [ 8.80477223 32.19522777],0
r2,1,0.315928,1.005729,[398  17] ; [37  3],[396.75824176  18.24175824] ; [38.24175824  1.75824176],0
