Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.548806,[100   9] ; [16 12],[92.2919708 16.7080292] ; [23.7080292  4.2919708],1
s2,1,0.004729,7.980235,[71 38] ; [10 18],[64.44525547 44.55474453] ; [16.55474453 11.44525547],0
d1,1,0.005353,7.756016,[67 42] ; [ 9 19],[60.46715328 48.53284672] ; [15.53284672 12.46715328],0
v4,1,0.008819,6.859023,[101   6] ; [22  6],[97.48888889  9.51111111] ; [25.51111111  2.48888889],0
a5,1,0.009461,6.733593,[85 24] ; [15 13],[79.5620438 29.4379562] ; [20.4379562  7.5620438],0
p10,1,0.019578,5.449108,[88 20] ; [17 11],[83.38235294 24.61764706] ; [21.61764706  6.38235294],0
p2,1,0.029207,4.75539,[96 13] ; [20  8],[92.2919708 16.7080292] ; [23.7080292  4.2919708],0
p7,1,0.03018,4.699007,[72 33] ; [13 15],[67.10526316 37.89473684] ; [17.89473684 10.10526316],0
a7,1,0.034198,4.484783,[84 25] ; [16 12],[79.5620438 29.4379562] ; [20.4379562  7.5620438],0
r3,1,0.03534,4.428661,[103   4] ; [24  4],[100.65925926   6.34074074] ; [26.34074074  1.65925926],0
s3,1,0.041843,4.141551,[72 35] ; [13 15],[67.37037037 39.62962963] ; [17.62962963 10.37037037],0
s4,1,0.04692,3.948261,[23 86] ; [11 17],[27.05109489 81.94890511] ; [ 6.94890511 21.05109489],0
d3,1,0.048395,3.896226,[82 26] ; [16 12],[77.82352941 30.17647059] ; [20.17647059  7.82352941],0
u1,1,0.06095,3.511346,[25 84] ; [ 2 26],[21.48175182 87.51824818] ; [ 5.51824818 22.48175182],0
a2,1,0.074682,3.176996,[34 75] ; [ 4 24],[30.23357664 78.76642336] ; [ 7.76642336 20.23357664],0
a3,1,0.088062,2.909442,[86 22] ; [18 10],[82.58823529 25.41176471] ; [21.41176471  6.58823529],0
d4,1,0.11829,2.439819,[91 17] ; [20  8],[88.14705882 19.85294118] ; [22.85294118  5.14705882],0
n2,1,0.120507,2.410714,[15  6] ; [13  1],[16.8  4.2] ; [11.2  2.8],0
n6,1,0.123999,2.366064,[90 17] ; [20  8],[87.18518519 19.81481481] ; [22.81481481  5.18518519],0
a4,1,0.139025,2.188717,[56 53] ; [10 18],[52.51094891 56.48905109] ; [13.48905109 14.51094891],0
n3,1,0.156929,2.003571,[11  9] ; [11  3],[12.94117647  7.05882353] ; [9.05882353 4.94117647],0
n1,1,0.163187,1.944444,[ 7 14] ; [8 6],[ 9. 12.] ; [6. 8.],0
n4,1,0.186232,1.747179,[90 19] ; [20  8],[87.51824818 21.48175182] ; [22.48175182  5.51824818],0
r2,1,0.202021,1.627707,[103   5] ; [24  3],[101.6   6.4] ; [25.4  1.6],0
u2,1,0.211555,1.56075,[14  8] ; [4 6],[12.375  9.625] ; [5.625 4.375],0
p6,1,0.224401,1.476,[44 63] ; [ 8 20],[41.21481481 65.78518519] ; [10.78518519 17.21481481],0
p3,1,0.230276,1.439153,[60 48] ; [12 16],[57.17647059 50.82352941] ; [14.82352941 13.17647059],0
d5,1,0.241052,1.37443,[88 20] ; [20  8],[85.76470588 22.23529412] ; [22.23529412  5.76470588],0
v2,1,0.24652,1.342917,[59 48] ; [12 16],[56.27407407 50.72592593] ; [14.72592593 13.27407407],0
p4,1,0.258772,1.275313,[71 38] ; [15 13],[68.42335766 40.57664234] ; [17.57664234 10.42335766],0
d2,1,0.266427,1.235052,[59 49] ; [12 16],[56.38235294 51.61764706] ; [14.61764706 13.38235294],0
p1,1,0.276322,1.185089,[11 98] ; [ 1 27],[ 9.54744526 99.45255474] ; [ 2.45255474 25.54744526],0
p9,1,0.349304,0.875983,[87 20] ; [19  7],[85.27819549 21.72180451] ; [20.72180451  5.27819549],0
p8,1,0.366177,0.816596,[54 53] ; [11 16],[51.90298507 55.09701493] ; [13.09701493 13.90298507],0
p5,1,0.425752,0.634384,[10 99] ; [ 4 24],[11.13868613 97.86131387] ; [ 2.86131387 25.13868613],0
a6,1,0.453077,0.562943,[70 38] ; [16 12],[68.29411765 39.70588235] ; [17.70588235 10.29411765],0
v3,1,0.486993,0.483163,[39 67] ; [ 8 19],[37.45864662 68.54135338] ; [ 9.54135338 17.45864662],0
s6,1,0.588268,0.293057,[77 30] ; [18  9],[75.85820896 31.14179104] ; [19.14179104  7.85820896],0
n5,1,0.597532,0.278734,[78 29] ; [19  9],[76.88148148 30.11851852] ; [20.11851852  7.88148148],0
s5,1,0.638058,0.22129,[38 68] ; [11 16],[39.05263158 66.94736842] ; [ 9.94736842 17.05263158],0
a1,1,0.678595,0.171711,[  6 103] ; [ 1 27],[  5.56934307 103.43065693] ; [ 1.43065693 26.56934307],0
p11,1,0.68083,0.169194,[82 27] ; [20  8],[81.15328467 27.84671533] ; [20.84671533  7.15328467],0
p12,1,0.70458,0.143752,[  6 103] ; [ 1 26],[  5.61029412 103.38970588] ; [ 1.38970588 25.61029412],0
a8,1,0.763109,0.090842,[16 80] ; [ 4 24],[15.48387097 80.51612903] ; [ 4.51612903 23.48387097],0
u3,1,0.774622,0.081988,[15  8] ; [6 4],[14.63636364  8.36363636] ; [6.36363636 3.63636364],0
b5,1,0.774997,0.081707,[59 50] ; [16 12],[59.67153285 49.32846715] ; [15.32846715 12.67153285],0
b4,1,0.847825,0.036823,[64 45] ; [17 11],[64.44525547 44.55474453] ; [16.55474453 11.44525547],0
v1,1,0.874958,0.024763,[48 60] ; [12 14],[48.35820896 59.64179104] ; [11.64179104 14.35820896],0
b2,1,0.892425,0.018289,[24 45] ; [ 8 14],[24.26373626 44.73626374] ; [ 7.73626374 14.26373626],0
b3,1,0.892425,0.018289,[24 45] ; [ 8 14],[24.26373626 44.73626374] ; [ 7.73626374 14.26373626],0
b1,1,0.917082,0.010839,[44 65] ; [11 17],[43.75912409 65.24087591] ; [11.24087591 16.75912409],0
