Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.003602,8.474402,[15  9] ; [16 41],[ 9.18518519 14.81481481] ; [21.81481481 35.18518519],0
s6,1,0.004203,8.193886,[16  8] ; [18 38],[10.2 13.8] ; [23.8 32.2],0
s2,1,0.005974,7.558025,[12 12] ; [11 45],[ 6.9 17.1] ; [16.1 39.9],0
p8,1,0.017854,5.61039,[12 12] ; [13 43],[ 7.5 16.5] ; [17.5 38.5],0
s8,1,0.020173,5.396825,[ 7 17] ; [ 5 51],[ 3.6 20.4] ; [ 8.4 47.6],0
s4,1,0.025929,4.960766,[ 8 16] ; [ 7 50],[ 4.44444444 19.55555556] ; [10.55555556 46.44444444],0
p7,1,0.033836,4.502961,[15  9] ; [21 36],[10.66666667 13.33333333] ; [25.33333333 31.66666667],0
p1,1,0.041532,4.154157,[ 3 21] ; [ 1 56],[ 1.18518519 22.81481481] ; [ 2.81481481 54.18518519],0
s7,1,0.042061,4.132738,[ 7 16] ; [ 6 47],[ 3.93421053 19.06578947] ; [ 9.06578947 43.93421053],0
v1,1,0.063204,3.451261,[10 14] ; [12 44],[ 6.6 17.4] ; [15.4 40.6],0
p6,1,0.088961,2.893074,[ 7 16] ; [ 8 49],[ 4.3125 18.6875] ; [10.6875 46.3125],0
p11,1,0.097808,2.740932,[ 7 17] ; [28 29],[10.37037037 13.62962963] ; [24.62962963 32.37037037],0
p2,1,0.097808,2.740932,[17  7] ; [29 28],[13.62962963 10.37037037] ; [32.37037037 24.62962963],0
a5,1,0.137924,2.200973,[14 10] ; [23 34],[10.96296296 13.03703704] ; [26.03703704 30.96296296],0
a1,1,0.152247,2.049595,[ 2 22] ; [ 1 56],[ 0.88888889 23.11111111] ; [ 2.11111111 54.88888889],0
s3,1,0.15878,1.985806,[12 12] ; [19 38],[ 9.18518519 14.81481481] ; [21.81481481 35.18518519],0
s5,1,0.212069,1.557245,[ 6 17] ; [ 8 48],[ 4.07594937 18.92405063] ; [ 9.92405063 46.07594937],0
r3,1,0.219589,1.507055,[22  2] ; [46 11],[20.14814815  3.85185185] ; [47.85185185  9.14814815],0
r1,1,0.27111,1.211124,[12 12] ; [36 21],[14.22222222  9.77777778] ; [33.77777778 23.22222222],0
v4,1,0.272254,1.205357,[21  3] ; [43 13],[19.2  4.8] ; [44.8 11.2],0
b3,1,0.297448,1.085603,[ 5 10] ; [ 6 25],[ 3.58695652 11.41304348] ; [ 7.41304348 23.58695652],0
b2,1,0.297448,1.085603,[ 5 10] ; [ 6 25],[ 3.58695652 11.41304348] ; [ 7.41304348 23.58695652],0
a4,1,0.327406,0.959131,[ 5 19] ; [18 39],[ 6.81481481 17.18518519] ; [16.18518519 40.81481481],0
b5,1,0.363585,0.825471,[13 11] ; [37 20],[14.81481481  9.18518519] ; [35.18518519 21.81481481],0
r2,1,0.365555,0.81872,[21  3] ; [45 12],[19.55555556  4.44444444] ; [46.44444444 10.55555556],0
r4,1,0.374543,0.788535,[18  6] ; [37 20],[16.2962963  7.7037037] ; [38.7037037 18.2962963],0
d1,1,0.378638,0.77512,[ 8 16] ; [25 32],[ 9.77777778 14.22222222] ; [23.22222222 33.77777778],0
b4,1,0.414408,0.666118,[15  9] ; [30 27],[13.33333333 10.66666667] ; [31.66666667 25.33333333],0
u3,1,0.442068,0.590909,[7 4] ; [14 14],[5.92307692 5.07692308] ; [15.07692308 12.92307692],0
n3,1,0.458152,0.550406,[6 2] ; [17 11],[5.11111111 2.88888889] ; [17.88888889 10.11111111],0
d2,1,0.460874,0.54377,[ 8 16] ; [24 33],[ 9.48148148 14.51851852] ; [22.51851852 34.48148148],0
s1,1,0.469889,0.522237,[ 1 23] ; [ 5 52],[ 1.77777778 22.22222222] ; [ 4.22222222 52.77777778],0
a2,1,0.476277,0.507376,[ 2 22] ; [ 8 49],[ 2.96296296 21.03703704] ; [ 7.03703704 49.96296296],0
d3,1,0.513802,0.426316,[12 12] ; [33 24],[13.33333333 10.66666667] ; [31.66666667 25.33333333],0
d5,1,0.552953,0.352054,[16  8] ; [34 23],[14.81481481  9.18518519] ; [35.18518519 21.81481481],0
v2,1,0.555909,0.346838,[10 13] ; [20 35],[ 8.84615385 14.15384615] ; [21.15384615 33.84615385],0
d4,1,0.573138,0.31746,[19  5] ; [41 15],[18.  6.] ; [42. 14.],0
b1,1,0.612447,0.256627,[12 12] ; [25 32],[10.96296296 13.03703704] ; [26.03703704 30.96296296],0
n6,1,0.63807,0.221276,[14 10] ; [30 27],[13.03703704 10.96296296] ; [30.96296296 26.03703704],0
n5,1,0.660148,0.193344,[ 6 18] ; [17 40],[ 6.81481481 17.18518519] ; [16.18518519 40.81481481],0
a7,1,0.744073,0.106579,[14 10] ; [31 26],[13.33333333 10.66666667] ; [31.66666667 25.33333333],0
v3,1,0.821937,0.050649,[ 4 18] ; [ 9 47],[ 3.66666667 18.33333333] ; [ 9.33333333 46.66666667],0
n1,1,0.830324,0.045918,[2 6] ; [ 6 22],[1.77777778 6.22222222] ; [ 6.22222222 21.77777778],0
a3,1,0.845061,0.038191,[13 11] ; [29 27],[12.6 11.4] ; [29.4 26.6],0
a6,1,0.870336,0.026645,[13 11] ; [32 25],[13.33333333 10.66666667] ; [31.66666667 25.33333333],0
u2,1,0.875179,0.024675,[4 6] ; [12 16],[4.21052632 5.78947368] ; [11.78947368 16.21052632],0
p9,1,0.957953,0.00278,[ 8 16] ; [18 37],[ 7.89873418 16.10126582] ; [18.10126582 36.89873418],0
