Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2e-05,18.154175,[20  6] ; [ 4 20],[12.48 13.52] ; [11.52 12.48],1
p2,1,9.9e-05,15.154254,[18  7] ; [ 4 20],[11.2244898 13.7755102] ; [10.7755102 13.2244898],1
p11,1,0.000712,11.458462,[20  6] ; [ 7 17],[14.04 11.96] ; [12.96 11.04],1
r3,1,0.018911,5.509768,[22  4] ; [13 11],[18.2  7.8] ; [16.8  7.2],0
p7,1,0.031824,4.607928,[13 13] ; [ 5 19],[ 9.36 16.64] ; [ 8.64 15.36],0
n6,1,0.044922,4.021551,[17  8] ; [ 9 14],[13.54166667 11.45833333] ; [12.45833333 10.54166667],0
n3,1,0.057224,3.616071,[5 1] ; [3 6],[3.2 2.8] ; [4.8 4.2],0
p6,1,0.075524,3.158685,[ 7 18] ; [ 2 22],[ 4.59183673 20.40816327] ; [ 4.40816327 19.59183673],0
s8,1,0.087381,2.921965,[ 7 19] ; [ 2 22],[ 4.68 21.32] ; [ 4.32 19.68],0
n5,1,0.092732,2.826293,[17  9] ; [10 14],[14.04 11.96] ; [12.96 11.04],0
p5,1,0.101497,2.681867,[ 5 21] ; [ 1 23],[ 3.12 22.88] ; [ 2.88 21.12],0
n1,1,0.152338,2.048677,[4 2] ; [3 7],[2.625 3.375] ; [4.375 5.625],0
s3,1,0.180592,1.792743,[14 12] ; [ 8 15],[11.67346939 14.32653061] ; [10.32653061 12.67346939],0
p4,1,0.196798,1.665981,[11 15] ; [ 6 18],[ 8.84 17.16] ; [ 8.16 15.84],0
s7,1,0.203401,1.617787,[ 9 16] ; [ 4 17],[ 7.06521739 17.93478261] ; [ 5.93478261 15.06521739],0
p8,1,0.212132,1.556817,[ 8 17] ; [ 4 20],[ 6.12244898 18.87755102] ; [ 5.87755102 18.12244898],0
r4,1,0.216329,1.528558,[12 14] ; [ 7 17],[ 9.88 16.12] ; [ 9.12 14.88],0
a8,1,0.219869,1.505226,[ 5 19] ; [ 2 22],[ 3.5 20.5] ; [ 3.5 20.5],0
s1,1,0.259793,1.269858,[ 1 25] ; [ 3 21],[ 2.08 23.92] ; [ 1.92 22.08],0
v3,1,0.269491,1.219334,[ 4 21] ; [ 7 17],[ 5.6122449 19.3877551] ; [ 5.3877551 18.6122449],0
a5,1,0.272911,1.202059,[18  8] ; [13 11],[16.12  9.88] ; [14.88  9.12],0
s6,1,0.296385,1.090391,[12 13] ; [ 8 16],[10.20408163 14.79591837] ; [ 9.79591837 14.20408163],0
n2,1,0.3017,1.066667,[4 2] ; [4 6],[3. 3.] ; [5. 5.],0
p3,1,0.307982,1.03931,[10 16] ; [ 6 18],[ 8.32 17.68] ; [ 7.68 16.32],0
b2,1,0.332216,0.940241,[ 9 10] ; [ 5 11],[ 7.6 11.4] ; [6.4 9.6],0
b3,1,0.332216,0.940241,[ 9 10] ; [ 5 11],[ 7.6 11.4] ; [6.4 9.6],0
d3,1,0.373678,0.791396,[13 13] ; [15  9],[14.56 11.44] ; [13.44 10.56],0
u3,1,0.37472,0.787953,[2 5] ; [1 8],[1.3125 5.6875] ; [1.6875 7.3125],0
d1,1,0.389117,0.7417,[12 14] ; [14 10],[13.52 12.48] ; [12.48 11.52],0
b5,1,0.401718,0.703176,[15 11] ; [11 13],[13.52 12.48] ; [12.48 11.52],0
d2,1,0.41895,0.653258,[14 12] ; [15  8],[15.3877551 10.6122449] ; [13.6122449  9.3877551],0
n4,1,0.422536,0.643251,[18  8] ; [14 10],[16.64  9.36] ; [15.36  8.64],0
a3,1,0.423127,0.641615,[19  7] ; [15  9],[17.68  8.32] ; [16.32  7.68],0
s4,1,0.443346,0.587607,[ 4 22] ; [ 2 22],[ 3.12 22.88] ; [ 2.88 21.12],0
r2,1,0.51417,0.425572,[14 11] ; [15  8],[15.10416667  9.89583333] ; [13.89583333  9.10416667],0
u2,1,0.515305,0.42328,[2 5] ; [4 5],[2.625 4.375] ; [3.375 5.625],0
v2,1,0.535647,0.383668,[12 14] ; [ 9 15],[10.92 15.08] ; [10.08 13.92],0
b1,1,0.554737,0.3489,[13 13] ; [14 10],[14.04 11.96] ; [12.96 11.04],0
s5,1,0.559775,0.340094,[ 7 18] ; [ 5 19],[ 6.12244898 18.87755102] ; [ 5.87755102 18.12244898],0
a2,1,0.5713,0.320513,[ 2 24] ; [ 3 21],[ 2.6 23.4] ; [ 2.4 21.6],0
r1,1,0.5713,0.320513,[12 14] ; [13 11],[13. 13.] ; [12. 12.],0
a7,1,0.585588,0.297287,[11 15] ; [12 12],[11.96 14.04] ; [11.04 12.96],0
b4,1,0.621189,0.2442,[19  7] ; [16  8],[18.2  7.8] ; [16.8  7.2],0
p1,1,0.705857,0.14245,[ 3 23] ; [ 2 22],[ 2.6 23.4] ; [ 2.4 21.6],0
a4,1,0.743528,0.10705,[ 9 17] ; [ 9 14],[ 9.55102041 16.44897959] ; [ 8.44897959 14.55102041],0
a6,1,0.768278,0.086806,[13 13] ; [11 13],[12.48 13.52] ; [11.52 12.48],0
v1,1,0.859882,0.031161,[ 7 19] ; [ 7 17],[ 7.28 18.72] ; [ 6.72 17.28],0
d5,1,0.873613,0.025304,[20  6] ; [18  6],[19.76  6.24] ; [18.24  5.76],0
s2,1,0.876914,0.023988,[ 7 19] ; [ 6 18],[ 6.76 19.24] ; [ 6.24 17.76],0
a1,1,0.953923,0.003339,[ 1 25] ; [ 1 23],[ 1.04 24.96] ; [ 0.96 23.04],0
