Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2e-06,22.275,[33  3] ; [11 19],[24. 12.] ; [20. 10.],1
r1,1,5e-06,20.886068,[34  4] ; [11 19],[25.14705882 12.85294118] ; [19.85294118 10.14705882],1
r2,1,4.3e-05,16.740165,[36  2] ; [15 14],[28.92537313  9.07462687] ; [22.07462687  6.92537313],1
p2,1,0.000628,11.691228,[26 12] ; [ 8 22],[19. 19.] ; [15. 15.],1
u3,1,0.001398,10.208425,[12  2] ; [ 4 11],[7.72413793 6.27586207] ; [8.27586207 6.72413793],0
p11,1,0.004291,8.156566,[19 19] ; [ 5 25],[13.41176471 24.58823529] ; [10.58823529 19.41176471],0
p3,1,0.007696,7.102883,[15 23] ; [ 3 26],[10.20895522 27.79104478] ; [ 7.79104478 21.20895522],0
n3,1,0.011291,6.418915,[10  2] ; [ 7 12],[6.58064516 5.41935484] ; [10.41935484  8.58064516],0
v3,1,0.036166,4.389256,[11 24] ; [ 3 27],[ 7.53846154 27.46153846] ; [ 6.46153846 23.53846154],0
b2,1,0.040255,4.207113,[ 4 20] ; [ 9 11],[ 7.09090909 16.90909091] ; [ 5.90909091 14.09090909],0
b3,1,0.040255,4.207113,[ 4 20] ; [ 9 11],[ 7.09090909 16.90909091] ; [ 5.90909091 14.09090909],0
p4,1,0.040417,4.200292,[15 23] ; [ 5 25],[11.17647059 26.82352941] ; [ 8.82352941 21.17647059],0
n2,1,0.049437,3.86046,[10  4] ; [ 7 12],[7.21212121 6.78787879] ; [9.78787879 9.21212121],0
b4,1,0.070318,3.275589,[26 12] ; [14 16],[22.35294118 15.64705882] ; [17.64705882 12.35294118],0
v2,1,0.073094,3.212133,[16 20] ; [ 7 23],[12.54545455 23.45454545] ; [10.45454545 19.54545455],0
n5,1,0.081221,3.040298,[10 28] ; [14 16],[13.41176471 24.58823529] ; [10.58823529 19.41176471],0
s3,1,0.090981,2.856932,[21 17] ; [10 19],[17.58208955 20.41791045] ; [13.41791045 15.58208955],0
p8,1,0.120524,2.410504,[13 25] ; [ 5 24],[10.20895522 27.79104478] ; [ 7.79104478 21.20895522],0
s8,1,0.15554,2.017061,[ 7 31] ; [ 2 28],[ 5.02941176 32.97058824] ; [ 3.97058824 26.02941176],0
b5,1,0.16764,1.90392,[19 19] ; [10 20],[16.20588235 21.79411765] ; [12.79411765 17.20588235],0
u2,1,0.176076,1.830439,[10  4] ; [7 8],[8.20689655 5.79310345] ; [8.79310345 6.20689655],0
a5,1,0.188978,1.725564,[25 13] ; [15 15],[22.35294118 15.64705882] ; [17.64705882 12.35294118],0
s6,1,0.231231,1.433271,[14 24] ; [ 7 23],[11.73529412 26.26470588] ; [ 9.26470588 20.73529412],0
s1,1,0.258433,1.277133,[ 2 35] ; [ 4 26],[ 3.31343284 33.68656716] ; [ 2.68656716 27.31343284],0
d4,1,0.260843,1.264275,[27 10] ; [18 12],[24.85074627 12.14925373] ; [20.14925373  9.85074627],0
s2,1,0.282545,1.154807,[12 26] ; [ 6 24],[10.05882353 27.94117647] ; [ 7.94117647 22.05882353],0
v1,1,0.328354,0.95538,[13 25] ; [ 7 23],[11.17647059 26.82352941] ; [ 8.82352941 21.17647059],0
p7,1,0.339947,0.910632,[17 21] ; [10 20],[15.08823529 22.91176471] ; [11.91176471 18.08823529],0
a3,1,0.347131,0.883917,[24 14] ; [15 14],[22.11940299 15.88059701] ; [16.88059701 12.11940299],0
d3,1,0.357021,0.848343,[22 16] ; [14 16],[20.11764706 17.88235294] ; [15.88235294 14.11764706],0
a8,1,0.381002,0.767467,[ 3 32] ; [ 1 29],[ 2.15384615 32.84615385] ; [ 1.84615385 28.15384615],0
a4,1,0.442106,0.59081,[13 25] ; [13 17],[14.52941176 23.47058824] ; [11.47058824 18.52941176],0
s4,1,0.446785,0.578796,[ 5 33] ; [ 6 24],[ 6.14705882 31.85294118] ; [ 4.85294118 25.14705882],0
p1,1,0.476683,0.506443,[ 2 35] ; [ 3 27],[ 2.76119403 34.23880597] ; [ 2.23880597 27.76119403],0
d2,1,0.481267,0.495991,[17 21] ; [16 14],[18.44117647 19.55882353] ; [14.55882353 15.44117647],0
s5,1,0.484575,0.488549,[ 4 33] ; [ 5 25],[ 4.97014925 32.02985075] ; [ 4.02985075 25.97014925],0
