Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,67.19653,[188  88] ; [ 36 104],[148.61538462 127.38461538] ; [75.38461538 64.61538462],1
p6,1,0.0,49.094221,[145 129] ; [ 24 116],[111.85024155 162.14975845] ; [57.14975845 82.85024155],1
p2,1,0.0,29.209163,[253  23] ; [101  40],[234.30215827  41.69784173] ; [119.69784173  21.30215827],1
p4,1,0.0,28.003552,[200  76] ; [65 76],[175.39568345 100.60431655] ; [89.60431655 51.39568345],1
p3,1,1.5e-05,18.680178,[172 104] ; [56 84],[151.26923077 124.73076923] ; [76.73076923 63.26923077],1
p11,1,9e-05,15.345273,[232  44] ; [95 46],[216.43165468  59.56834532] ; [110.56834532  30.43165468],1
p10,1,0.000786,11.274553,[240  35] ; [103  36],[227.83816425  47.16183575] ; [115.16183575  23.83816425],1
r3,1,0.002613,9.059908,[270   4] ; [131  10],[264.75662651   9.24337349] ; [136.24337349   4.75662651],0
s7,1,0.003066,8.767721,[188  80] ; [74 60],[174.66666667  93.33333333] ; [87.33333333 46.66666667],0
s5,1,0.014756,5.945408,[129 137] ; [45 82],[117.77099237 148.22900763] ; [56.22900763 70.77099237],0
a8,1,0.016254,5.775172,[ 49 210] ; [ 13 122],[ 40.75634518 218.24365482] ; [ 21.24365482 113.75634518],0
n6,1,0.018839,5.516434,[235  37] ; [109  32],[226.55690073  45.44309927] ; [117.44309927  23.55690073],0
r4,1,0.022848,5.180051,[256  20] ; [121  20],[249.52517986  26.47482014] ; [127.47482014  13.52517986],0
p5,1,0.02478,5.03919,[ 41 233] ; [ 10 128],[ 33.91747573 240.08252427] ; [ 17.08252427 120.91747573],0
n5,1,0.028747,4.782682,[217  57] ; [98 43],[207.97590361  66.02409639] ; [107.02409639  33.97590361],0
r1,1,0.030012,4.708631,[238  38] ; [109  31],[230.22115385  45.77884615] ; [116.77884615  23.22115385],0
