Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,1e-06,25.211147,[80 24] ; [23 38],[64.92121212 39.07878788] ; [38.07878788 22.92121212],1
r3,1,6e-06,20.370973,[97  6] ; [42 20],[86.76969697 16.23030303] ; [52.23030303  9.76969697],1
d3,1,7.4e-05,15.702793,[66 37] ; [20 42],[53.68484848 49.31515152] ; [32.31515152 29.68484848],1
d5,1,0.000256,13.364541,[72 32] ; [25 37],[60.77108434 43.22891566] ; [36.22891566 25.77108434],1
s2,1,0.000954,10.914132,[49 55] ; [13 48],[39.07878788 64.92121212] ; [22.92121212 38.07878788],1
a6,1,0.002258,9.327188,[59 45] ; [20 42],[49.4939759 54.5060241] ; [29.5060241 32.4939759],0
r4,1,0.00263,9.047618,[83 21] ; [36 26],[74.55421687 29.44578313] ; [44.44578313 17.55421687],0
a3,1,0.002967,8.827898,[53 51] ; [17 45],[43.85542169 60.14457831] ; [26.14457831 35.85542169],0
p10,1,0.003102,8.746458,[67 34] ; [26 35],[57.98148148 43.01851852] ; [35.01851852 25.98148148],0
n3,1,0.003147,8.720443,[23  6] ; [11 16],[17.60714286 11.39285714] ; [16.39285714 10.60714286],0
p2,1,0.006415,7.429799,[79 24] ; [35 27],[71.16363636 31.83636364] ; [42.83636364 19.16363636],0
r1,1,0.007383,7.177342,[69 35] ; [28 34],[60.77108434 43.22891566] ; [36.22891566 25.77108434],0
v4,1,0.010391,6.56667,[93 10] ; [46 15],[87.29878049 15.70121951] ; [51.70121951  9.29878049],0
r2,1,0.013481,6.10485,[91 13] ; [44 17],[85.09090909 18.90909091] ; [49.90909091 11.09090909],0
d1,1,0.026652,4.9132,[37 67] ; [12 50],[30.69879518 73.30120482] ; [18.30120482 43.69879518],0
s6,1,0.031585,4.620857,[55 48] ; [22 39],[48.3597561 54.6402439] ; [28.6402439 32.3597561],0
s7,1,0.041534,4.154101,[36 65] ; [12 47],[30.3 70.7] ; [17.7 41.3],0
p12,1,0.046693,3.956409,[  1 102] ; [ 4 58],[ 3.12121212 99.87878788] ; [ 1.87878788 60.12121212],0
p11,1,0.053639,3.723903,[74 30] ; [35 27],[68.28915663 35.71084337] ; [40.71084337 21.28915663],0
p9,1,0.065868,3.383112,[67 33] ; [32 29],[61.49068323 38.50931677] ; [37.50931677 23.49068323],0
u3,1,0.071331,3.252112,[27 23] ; [16 29],[22.63157895 27.36842105] ; [20.36842105 24.63157895],0
v2,1,0.071912,3.238833,[34 67] ; [11 44],[29.13461538 71.86538462] ; [15.86538462 39.13461538],0
b1,1,0.088688,2.898022,[38 66] ; [31 31],[43.22891566 60.77108434] ; [25.77108434 36.22891566],0
p8,1,0.090249,2.869921,[47 56] ; [20 42],[41.82424242 61.17575758] ; [25.17575758 36.82424242],0
n4,1,0.111944,2.526565,[50 53] ; [38 24],[54.93333333 48.06666667] ; [33.06666667 28.93333333],0
p7,1,0.125371,2.348902,[52 47] ; [24 36],[47.32075472 51.67924528] ; [28.67924528 31.32075472],0
n2,1,0.12951,2.298367,[21  7] ; [15 12],[18.32727273  9.67272727] ; [17.67272727  9.32727273],0
n5,1,0.159209,1.981718,[56 47] ; [40 21],[60.29268293 42.70731707] ; [35.70731707 25.29268293],0
s8,1,0.173613,1.851463,[30 74] ; [12 50],[26.31325301 77.68674699] ; [15.68674699 46.31325301],0
s3,1,0.186201,1.747426,[53 50] ; [24 35],[48.95679012 54.04320988] ; [28.04320988 30.95679012],0
p1,1,0.213846,1.545197,[ 6 96] ; [ 7 55],[ 8.08536585 93.91463415] ; [ 4.91463415 57.08536585],0
s1,1,0.241096,1.374172,[ 4 99] ; [ 5 56],[ 5.65243902 97.34756098] ; [ 3.34756098 57.65243902],0
s4,1,0.244231,1.356006,[24 77] ; [10 52],[21.06748466 79.93251534] ; [12.93251534 49.06748466],0
v3,1,0.251373,1.315657,[23 78] ; [ 9 50],[20.2 80.8] ; [11.8 47.2],0
u1,1,0.286073,1.13801,[ 5 99] ; [ 1 61],[  3.75903614 100.24096386] ; [ 2.24096386 59.75903614],0
a1,1,0.287706,1.130324,[  2 102] ; [ 3 59],[  3.13253012 100.86746988] ; [ 1.86746988 60.13253012],0
