Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,8.2e-05,15.510933,[51  5] ; [31 22],[42.12844037 13.87155963] ; [39.87155963 13.12844037],1
p7,1,0.000226,13.599258,[33 24] ; [12 40],[23.53211009 33.46788991] ; [21.46788991 30.53211009],1
p4,1,0.000239,13.494367,[29 28] ; [ 9 43],[19.87155963 37.12844037] ; [18.12844037 33.87155963],1
r3,1,0.000251,13.405605,[50  7] ; [30 23],[41.45454545 15.54545455] ; [38.54545455 14.45454545],1
p10,1,0.000876,11.07318,[19 37] ; [ 4 48],[11.92592593 44.07407407] ; [11.07407407 40.92592593],1
p11,1,0.000949,10.924863,[34 23] ; [15 38],[25.39090909 31.60909091] ; [23.60909091 29.39090909],1
p8,1,0.003016,8.797775,[22 35] ; [ 7 45],[15.16513761 41.83486239] ; [13.83486239 38.16513761],0
s1,1,0.003084,8.757089,[ 1 55] ; [10 43],[ 5.65137615 50.34862385] ; [ 5.34862385 47.65137615],0
s3,1,0.004054,8.259539,[32 25] ; [15 37],[24.57798165 32.42201835] ; [22.42201835 29.57798165],0
r4,1,0.013259,6.134235,[43 14] ; [28 25],[36.79090909 20.20909091] ; [34.20909091 18.79090909],0
a1,1,0.020818,5.342001,[ 1 56] ; [ 7 46],[ 4.14545455 52.85454545] ; [ 3.85454545 49.14545455],0
a4,1,0.058677,3.574402,[16 40] ; [24 28],[20.74074074 35.25925926] ; [19.25925926 32.74074074],0
d5,1,0.059781,3.543442,[42 15] ; [30 23],[37.30909091 19.69090909] ; [34.69090909 18.30909091],0
s4,1,0.069627,3.291787,[15 40] ; [ 7 46],[11.2037037 43.7962963] ; [10.7962963 42.2037037],0
s7,1,0.069636,3.291583,[18 37] ; [ 8 39],[14.01960784 40.98039216] ; [11.98039216 35.01960784],0
p6,1,0.079346,3.078243,[14 43] ; [ 6 46],[10.4587156 46.5412844] ; [ 9.5412844 42.4587156],0
a7,1,0.091835,2.84191,[36 21] ; [25 28],[31.60909091 25.39090909] ; [29.39090909 23.60909091],0
r1,1,0.091935,2.84016,[42 15] ; [31 22],[37.82727273 19.17272727] ; [35.17272727 17.82727273],0
p5,1,0.138852,2.190636,[ 1 56] ; [ 4 48],[ 2.6146789 54.3853211] ; [ 2.3853211 49.6146789],0
d2,1,0.149101,2.081419,[25 32] ; [30 22],[28.76146789 28.23853211] ; [26.23853211 25.76146789],0
v3,1,0.159805,1.976073,[ 8 48] ; [13 39],[10.88888889 45.11111111] ; [10.11111111 41.88888889],0
s6,1,0.16799,1.900787,[26 31] ; [17 35],[22.48623853 34.51376147] ; [20.51376147 31.48623853],0
s2,1,0.191701,1.704496,[19 37] ; [12 41],[15.9266055 40.0733945] ; [15.0733945 37.9266055],0
b3,1,0.205344,1.603949,[ 8 30] ; [12 23],[10.4109589 27.5890411] ; [ 9.5890411 25.4109589],0
b2,1,0.205344,1.603949,[ 8 30] ; [12 23],[10.4109589 27.5890411] ; [ 9.5890411 25.4109589],0
