Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,2e-06,22.759478,[79 29] ; [26 44],[63.70786517 44.29213483] ; [41.29213483 28.70786517],1
d2,1,5e-06,20.93316,[47 61] ; [ 8 63],[33.18435754 74.81564246] ; [21.81564246 49.18435754],1
d1,1,2.4e-05,17.807769,[62 46] ; [18 53],[48.26815642 59.73184358] ; [31.73184358 39.26815642],1
a4,1,5.7e-05,16.194894,[46 62] ; [10 61],[33.7877095 74.2122905] ; [22.2122905 48.7877095],1
p3,1,0.001267,10.390712,[50 58] ; [16 55],[39.82122905 68.17877095] ; [26.17877095 44.82122905],0
r4,1,0.001867,9.675559,[97 11] ; [51 20],[89.29608939 18.70391061] ; [58.70391061 12.29608939],0
s6,1,0.002926,8.853022,[75 33] ; [33 37],[65.52808989 42.47191011] ; [42.47191011 27.52808989],0
d5,1,0.003912,8.324413,[85 23] ; [41 29],[76.4494382 31.5505618] ; [49.5505618 20.4494382],0
r1,1,0.004846,7.936196,[83 24] ; [41 30],[74.53932584 32.46067416] ; [49.46067416 21.53932584],0
p4,1,0.005104,7.842292,[57 51] ; [22 48],[47.93258427 60.06741573] ; [31.06741573 38.93258427],0
v2,1,0.007217,7.21803,[57 41] ; [26 44],[48.41666667 49.58333333] ; [34.58333333 35.41666667],0
p7,1,0.007463,7.158006,[68 37] ; [29 37],[59.56140351 45.43859649] ; [37.43859649 28.56140351],0
a6,1,0.01038,6.568568,[78 30] ; [38 33],[69.98882682 38.01117318] ; [46.01117318 24.98882682],0
u1,1,0.013444,6.109735,[15 93] ; [ 2 69],[10.25698324 97.74301676] ; [ 6.74301676 64.25698324],0
s8,1,0.014773,5.943363,[45 63] ; [17 54],[37.40782123 70.59217877] ; [24.59217877 46.40782123],0
v1,1,0.017105,5.685582,[57 49] ; [24 44],[49.34482759 56.65517241] ; [31.65517241 36.34482759],0
r3,1,0.023647,5.120311,[104   4] ; [62  9],[100.15642458   7.84357542] ; [65.84357542  5.15642458],0
d4,1,0.02446,5.061751,[90 18] ; [49 22],[83.86592179 24.13407821] ; [55.13407821 15.86592179],0
s7,1,0.032407,4.576819,[42 62] ; [17 52],[35.46820809 68.53179191] ; [23.53179191 45.46820809],0
n6,1,0.072568,3.22396,[78 29] ; [42 28],[72.54237288 34.45762712] ; [47.45762712 22.54237288],0
p8,1,0.082753,3.009982,[56 52] ; [27 43],[50.35955056 57.64044944] ; [32.64044944 37.35955056],0
a8,1,0.099688,2.710532,[ 7 92] ; [ 1 66],[ 4.77108434 94.22891566] ; [ 3.22891566 63.77108434],0
p10,1,0.100953,2.690418,[96 12] ; [56 14],[92.2247191 15.7752809] ; [59.7752809 10.2247191],0
p12,1,0.108074,2.582165,[  7 101] ; [ 1 70],[  4.82681564 103.17318436] ; [ 3.17318436 67.82681564],0
b3,1,0.123472,2.372712,[22 34] ; [ 6 21],[18.89156627 37.10843373] ; [ 9.10843373 17.89156627],0
b2,1,0.123472,2.372712,[22 34] ; [ 6 21],[18.89156627 37.10843373] ; [ 9.10843373 17.89156627],0
d3,1,0.144281,2.131696,[80 28] ; [44 25],[75.66101695 32.33898305] ; [48.33898305 20.66101695],0
s5,1,0.145544,2.118347,[38 67] ; [18 52],[33.6 71.4] ; [22.4 47.6],0
v3,1,0.149195,2.080462,[32 70] ; [14 52],[27.92857143 74.07142857] ; [18.07142857 47.92857143],0
p11,1,0.1893,1.723058,[84 24] ; [49 22],[80.24581006 27.75418994] ; [52.75418994 18.24581006],0
s4,1,0.27445,1.194368,[29 79] ; [14 57],[25.94413408 82.05586592] ; [17.05586592 53.94413408],0
s2,1,0.279701,1.168541,[53 55] ; [29 42],[49.47486034 58.52513966] ; [32.52513966 38.47486034],0
p5,1,0.285742,1.139576,[ 9 98] ; [ 3 67],[ 7.25423729 99.74576271] ; [ 4.74576271 65.25423729],0
s1,1,0.33498,0.929551,[  1 107] ; [ 2 69],[  1.81005587 106.18994413] ; [ 1.18994413 69.81005587],0
a7,1,0.337455,0.920075,[84 24] ; [50 20],[81.30337079 26.69662921] ; [52.69662921 17.30337079],0
b1,1,0.392204,0.732099,[37 71] ; [20 51],[34.39106145 73.60893855] ; [22.60893855 48.39106145],0
n2,1,0.489889,0.476771,[33 10] ; [13  6],[31.90322581 11.09677419] ; [14.09677419  4.90322581],0
n1,1,0.569604,0.323346,[12 31] ; [ 4 15],[11.09677419 31.90322581] ; [ 4.90322581 14.09677419],0
p2,1,0.57249,0.318534,[85 22] ; [58 12],[86.44632768 20.55367232] ; [56.55367232 13.44632768],0
s3,1,0.601951,0.272063,[55 51] ; [34 37],[53.29943503 52.70056497] ; [35.70056497 35.29943503],0
u3,1,0.606309,0.265585,[17 11] ; [24 20],[15.94444444 12.05555556] ; [25.05555556 18.94444444],0
p1,1,0.636819,0.222926,[ 8 98] ; [ 4 66],[ 7.22727273 98.77272727] ; [ 4.77272727 65.22727273],0
v4,1,0.679088,0.171154,[101   6] ; [65  5],[100.35028249   6.64971751] ; [65.64971751  4.35028249],0
p6,1,0.681082,0.16891,[28 80] ; [16 53],[26.84745763 81.15254237] ; [17.15254237 51.84745763],0
u2,1,0.81351,0.055649,[17 12] ; [24 19],[16.51388889 12.48611111] ; [24.48611111 18.51388889],0
b5,1,0.855844,0.033003,[67 41] ; [45 26],[67.57541899 40.42458101] ; [44.42458101 26.57541899],0
a1,1,0.860192,0.031022,[  4 104] ; [ 3 68],[  4.22346369 103.77653631] ; [ 2.77653631 68.22346369],0
r2,1,0.909152,0.013021,[97 10] ; [64  7],[96.78089888 10.21910112] ; [64.21910112  6.78089888],0
n3,1,0.939388,0.005782,[29 14] ; [13  6],[29.12903226 13.87096774] ; [12.87096774  6.12903226],0
b4,1,0.964188,0.002016,[62 46] ; [41 30],[62.1452514 45.8547486] ; [40.8547486 30.1452514],0
n5,1,0.972936,0.001151,[41 66] ; [27 43],[41.10734463 65.89265537] ; [26.89265537 43.10734463],0
