Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6e-06,20.466307,[50  9] ; [58 59],[36.20454545 22.79545455] ; [71.79545455 45.20454545],1
p4,1,1.1e-05,19.344861,[47 13] ; [53 68],[33.14917127 26.85082873] ; [66.85082873 54.14917127],1
p3,1,0.000639,11.659919,[36 24] ; [40 80],[25.33333333 34.66666667] ; [50.66666667 69.33333333],1
p8,1,0.000795,11.251965,[37 23] ; [42 77],[26.48044693 33.51955307] ; [52.51955307 66.48044693],1
p5,1,0.004231,8.181818,[10 50] ; [  5 115],[ 5. 55.] ; [ 10. 110.],0
a4,1,0.009416,6.742254,[34 26] ; [44 77],[25.85635359 34.14364641] ; [52.14364641 68.85635359],0
s5,1,0.013348,6.122335,[31 26] ; [41 77],[23.45142857 33.54857143] ; [48.54857143 69.45142857],0
p12,1,0.024011,5.093804,[ 8 52] ; [  5 116],[ 4.30939227 55.69060773] ; [  8.69060773 112.30939227],0
s7,1,0.032574,4.568011,[33 25] ; [47 71],[26.36363636 31.63636364] ; [53.63636364 64.36363636],0
n5,1,0.034674,4.461169,[47 12] ; [77 43],[40.87150838 18.12849162] ; [83.12849162 36.87150838],0
b3,1,0.043497,4.07599,[13 19] ; [13 49],[ 8.85106383 23.14893617] ; [17.14893617 44.85106383],0
b2,1,0.043497,4.07599,[13 19] ; [13 49],[ 8.85106383 23.14893617] ; [17.14893617 44.85106383],0
r1,1,0.04797,3.911051,[51  9] ; [86 34],[45.66666667 14.33333333] ; [91.33333333 28.66666667],0
s6,1,0.065236,3.399003,[51  9] ; [85 32],[46.10169492 13.89830508] ; [89.89830508 27.10169492],0
a2,1,0.071243,3.254149,[18 42] ; [22 99],[13.25966851 46.74033149] ; [26.74033149 94.25966851],0
p1,1,0.106923,2.599116,[ 7 53] ; [  6 113],[ 4.3575419 55.6424581] ; [  8.6424581 110.3575419],0
d2,1,0.110626,2.545249,[31 29] ; [47 73],[26. 34.] ; [52. 68.],0
d3,1,0.119566,2.423,[46 13] ; [80 40],[41.53072626 17.46927374] ; [84.46927374 35.53072626],0
n6,1,0.149114,2.081292,[51  8] ; [92 27],[47.3988764 11.6011236] ; [95.6011236 23.3988764],0
v3,1,0.150168,2.070541,[15 42] ; [44 74],[19.21714286 37.78285714] ; [39.78285714 78.21714286],0
n3,1,0.16474,1.930167,[7 6] ; [24  8],[8.95555556 4.04444444] ; [22.04444444  9.95555556],0
r4,1,0.191014,1.709779,[54  6] ; [100  21],[51.04972376  8.95027624] ; [102.95027624  18.04972376],0
