Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,23.902245,[ 22 134] ; [38 53],[ 37.89473684 118.10526316] ; [22.10526316 68.89473684],1
p10,1,0.000835,11.162671,[86 73] ; [70 23],[98.42857143 60.57142857] ; [57.57142857 35.42857143],1
d5,1,0.002745,8.969616,[110  49] ; [80 13],[119.88095238  39.11904762] ; [70.11904762 22.88095238],0
a7,1,0.00307,8.765217,[96 64] ; [72 20],[106.66666667  53.33333333] ; [61.33333333 30.66666667],0
r1,1,0.004594,8.032884,[98 63] ; [72 20],[108.18181818  52.81818182] ; [61.81818182 30.18181818],0
r3,1,0.006379,7.440137,[130  31] ; [85  6],[137.36111111  23.63888889] ; [77.63888889 13.36111111],0
d1,1,0.010937,6.47558,[72 89] ; [57 36],[81.76771654 79.23228346] ; [47.23228346 45.76771654],0
p9,1,0.013653,6.082435,[96 61] ; [71 22],[104.876  52.124] ; [62.124 30.876],0
r2,1,0.017293,5.666356,[131  27] ; [86  6],[137.144  20.856] ; [79.856 12.144],0
a5,1,0.045406,4.003491,[94 67] ; [66 27],[101.41732283  59.58267717] ; [58.58267717 34.41732283],0
d4,1,0.054947,3.683683,[117  43] ; [77 15],[123.17460317  36.82539683] ; [70.82539683 21.17460317],0
s8,1,0.072641,3.222303,[ 37 124] ; [31 62],[ 43.1023622 117.8976378] ; [24.8976378 68.1023622],0
n6,1,0.074132,3.189076,[113  48] ; [74 18],[119.  42.] ; [68. 24.],0
s7,1,0.083086,3.003472,[ 50 103] ; [39 50],[56.26859504 96.73140496] ; [32.73140496 56.26859504],0
n3,1,0.090496,2.865523,[40 25] ; [23  6],[43.56382979 21.43617021] ; [19.43617021  9.56382979],0
p7,1,0.094527,2.795546,[ 51 106] ; [40 53],[57.148 99.852] ; [33.852 59.148],0
s2,1,0.101649,2.679474,[ 54 106] ; [41 52],[60.07905138 99.92094862] ; [34.92094862 58.07905138],0
p11,1,0.111491,2.532956,[91 70] ; [62 31],[96.98031496 64.01968504] ; [56.01968504 36.98031496],0
s5,1,0.117017,2.456796,[ 34 123] ; [27 61],[ 39.08979592 117.91020408] ; [21.91020408 66.08979592],0
p12,1,0.122512,2.384906,[  3 158] ; [ 5 88],[  5.07086614 155.92913386] ; [ 2.92913386 90.07086614],0
s6,1,0.138266,2.197157,[74 86] ; [52 41],[79.68379447 80.31620553] ; [46.31620553 46.68379447],0
d3,1,0.161199,1.962938,[93 65] ; [63 30],[98.19920319 59.80079681] ; [57.80079681 35.19920319],0
u2,1,0.165048,1.927359,[30 27] ; [ 9 16],[27.1097561 29.8902439] ; [11.8902439 13.1097561],0
r4,1,0.186295,1.746676,[118  43] ; [75 18],[122.33464567  38.66535433] ; [70.66535433 22.33464567],0
s1,1,0.199934,1.642857,[  9 152] ; [ 2 90],[  7. 154.] ; [ 4. 88.],0
n5,1,0.217263,1.522356,[104  56] ; [52 39],[99.44223108 60.55776892] ; [56.55776892 34.44223108],0
a8,1,0.237356,1.39623,[ 16 136] ; [ 5 79],[ 13.52542373 138.47457627] ; [ 7.47457627 76.52542373],0
v4,1,0.249476,1.326234,[133  28] ; [81 11],[136.18181818  24.81818182] ; [77.81818182 14.18181818],0
b1,1,0.270522,1.2141,[72 89] ; [35 58],[67.82283465 93.17716535] ; [39.17716535 53.82283465],0
a3,1,0.282999,1.152629,[103  57] ; [66 27],[106.87747036  53.12252964] ; [62.12252964 30.87747036],0
u3,1,0.308569,1.036789,[30 27] ; [11 16],[27.82142857 29.17857143] ; [13.17857143 13.82142857],0
p4,1,0.319651,0.990375,[ 55 104] ; [38 55],[ 58.67857143 100.32142857] ; [34.32142857 58.67857143],0
d2,1,0.332884,0.937647,[69 89] ; [46 46],[72.68 85.32] ; [42.32 49.68],0
u1,1,0.365166,0.820048,[ 21 140] ; [16 77],[ 23.45275591 137.54724409] ; [13.54724409 79.45275591],0
a2,1,0.405638,0.69155,[ 31 130] ; [22 71],[ 33.59448819 127.40551181] ; [19.40551181 73.59448819],0
s3,1,0.410458,0.677473,[74 86] ; [48 45],[77.1541502 82.8458498] ; [44.8458498 48.1541502],0
n1,1,0.414558,0.665691,[25 42] ; [ 8 20],[23.27368421 43.72631579] ; [ 9.72631579 18.27368421],0
s4,1,0.447324,0.577423,[ 28 131] ; [20 73],[ 30.28571429 128.71428571] ; [17.71428571 75.28571429],0
p5,1,0.488381,0.480091,[  6 155] ; [ 2 91],[  5.07086614 155.92913386] ; [ 2.92913386 90.07086614],0
n4,1,0.520556,0.412792,[108  53] ; [66 27],[110.29133858  50.70866142] ; [63.70866142 29.29133858],0
p2,1,0.554434,0.349434,[99 61] ; [61 32],[101.18577075  58.81422925] ; [58.81422925 34.18577075],0
p3,1,0.585839,0.29689,[ 40 121] ; [26 67],[ 41.83464567 119.16535433] ; [24.16535433 68.83464567],0
n2,1,0.588161,0.293226,[43 25] ; [20  9],[44.16494845 23.83505155] ; [18.83505155 10.16494845],0
p1,1,0.636781,0.222976,[ 11 149] ; [ 5 88],[ 10.11857708 149.88142292] ; [ 5.88142292 87.11857708],0
b2,1,0.751681,0.100124,[36 58] ; [20 36],[35.09333333 58.90666667] ; [20.90666667 35.09333333],0
b3,1,0.751681,0.100124,[36 58] ; [20 36],[35.09333333 58.90666667] ; [20.90666667 35.09333333],0
a1,1,0.78569,0.073936,[ 10 151] ; [ 5 88],[  9.50787402 151.49212598] ; [ 5.49212598 87.50787402],0
b4,1,0.794178,0.068063,[96 65] ; [57 36],[96.98031496 64.01968504] ; [56.01968504 36.98031496],0
b5,1,0.904231,0.014477,[93 68] ; [53 40],[92.54330709 68.45669291] ; [53.45669291 39.54330709],0
a6,1,0.924135,0.009068,[104  56] ; [61 32],[104.34782609  55.65217391] ; [60.65217391 32.34782609],0
a4,1,0.992499,8.8e-05,[67 93] ; [39 54],[67.03557312 92.96442688] ; [38.96442688 54.03557312],0
p6,1,0.99358,6.5e-05,[ 29 130] ; [17 76],[ 29.02380952 129.97619048] ; [16.97619048 76.02380952],0
