Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,42.557486,[71  1] ; [19 21],[57.85714286 14.14285714] ; [32.14285714  7.85714286],1
r2,1,0.0,27.723085,[68  4] ; [21 19],[57.21428571 14.78571429] ; [31.78571429  8.21428571],1
r1,1,4e-06,21.514625,[54 18] ; [12 28],[42.42857143 29.57142857] ; [23.57142857 16.42857143],1
v4,1,8e-06,19.90528,[69  2] ; [26 13],[61.31818182  9.68181818] ; [33.68181818  5.31818182],1
v2,1,0.004923,7.907543,[32 36] ; [ 8 32],[25.18518519 42.81481481] ; [14.81481481 25.18518519],0
a6,1,0.008053,7.021655,[44 28] ; [14 26],[37.28571429 34.71428571] ; [20.71428571 19.28571429],0
p11,1,0.011146,6.44183,[50 22] ; [18 22],[43.71428571 28.28571429] ; [24.28571429 15.71428571],0
b1,1,0.01302,6.166416,[24 48] ; [23 17],[30.21428571 41.78571429] ; [16.78571429 23.21428571],0
u3,1,0.03583,4.405158,[19  9] ; [ 7 12],[15.4893617 12.5106383] ; [10.5106383  8.4893617],0
d5,1,0.047355,3.932727,[49 22] ; [20 20],[44.13513514 26.86486486] ; [24.86486486 15.13513514],0
a5,1,0.054008,3.712459,[37 35] ; [13 27],[32.14285714 39.85714286] ; [17.85714286 22.14285714],0
d1,1,0.057352,3.612352,[31 41] ; [10 30],[26.35714286 45.64285714] ; [14.64285714 25.35714286],0
p1,1,0.088936,2.893534,[ 1 71] ; [ 3 36],[ 2.59459459 69.40540541] ; [ 1.40540541 37.59459459],0
p9,1,0.091697,2.84432,[49 21] ; [21 18],[44.95412844 25.04587156] ; [25.04587156 13.95412844],0
n3,1,0.092318,2.83348,[16  6] ; [10 11],[13.30232558  8.69767442] ; [12.69767442  8.30232558],0
s1,1,0.100834,2.692308,[ 3 69] ; [ 5 35],[ 5.14285714 66.85714286] ; [ 2.85714286 37.14285714],0
d3,1,0.109539,2.560855,[44 27] ; [18 21],[40.01818182 30.98181818] ; [21.98181818 17.01818182],0
s3,1,0.121675,2.395623,[14 58] ; [13 27],[17.35714286 54.64285714] ; [ 9.64285714 30.35714286],0
u2,1,0.133357,2.252981,[18 10] ; [ 8 11],[15.4893617 12.5106383] ; [10.5106383  8.4893617],0
p7,1,0.14656,2.107694,[36 34] ; [14 24],[32.40740741 37.59259259] ; [17.59259259 20.40740741],0
n2,1,0.15083,2.063833,[15  6] ; [11 11],[12.69767442  8.30232558] ; [13.30232558  8.69767442],0
v3,1,0.159469,1.979251,[14 53] ; [ 4 35],[11.37735849 55.62264151] ; [ 6.62264151 32.37735849],0
a7,1,0.186459,1.745375,[48 23] ; [22 18],[44.77477477 26.22522523] ; [25.22522523 14.77477477],0
p2,1,0.224093,1.477963,[50 21] ; [23 16],[47.11818182 23.88181818] ; [25.88181818 13.11818182],0
p3,1,0.225954,1.466149,[18 53] ; [ 6 33],[15.49090909 55.50909091] ; [ 8.50909091 30.49090909],0
d4,1,0.238611,1.388784,[52 19] ; [25 15],[49.25225225 21.74774775] ; [27.74774775 12.25225225],0
n6,1,0.254891,1.296296,[44 28] ; [20 20],[41.14285714 30.85714286] ; [22.85714286 17.14285714],0
a1,1,0.25673,1.286306,[ 1 71] ; [ 2 38],[ 1.92857143 70.07142857] ; [ 1.07142857 38.92857143],0
s4,1,0.27439,1.194667,[ 6 66] ; [ 6 34],[ 7.71428571 64.28571429] ; [ 4.28571429 35.71428571],0
a8,1,0.326745,0.961754,[ 5 63] ; [ 1 36],[ 3.88571429 64.11428571] ; [ 2.11428571 34.88571429],0
n5,1,0.33659,0.923375,[22 49] ; [16 24],[24.30630631 46.69369369] ; [13.69369369 26.30630631],0
v1,1,0.375548,0.785225,[24 47] ; [10 29],[21.94545455 49.05454545] ; [12.05454545 26.94545455],0
b5,1,0.376249,0.782921,[44 28] ; [21 19],[41.78571429 30.21428571] ; [23.21428571 16.78571429],0
s8,1,0.412355,0.672,[ 9 63] ; [ 3 37],[ 7.71428571 64.28571429] ; [ 4.28571429 35.71428571],0
p5,1,0.423451,0.640717,[ 3 68] ; [ 3 35],[ 3.90825688 67.09174312] ; [ 2.09174312 35.90825688],0
a3,1,0.458239,0.550193,[44 28] ; [21 18],[42.16216216 29.83783784] ; [22.83783784 16.16216216],0
b2,1,0.492344,0.471401,[ 9 29] ; [ 7 15],[10.13333333 27.86666667] ; [ 5.86666667 16.13333333],0
b3,1,0.492344,0.471401,[ 9 29] ; [ 7 15],[10.13333333 27.86666667] ; [ 5.86666667 16.13333333],0
s5,1,0.493032,0.469902,[ 6 65] ; [ 5 35],[ 7.03603604 63.96396396] ; [ 3.96396396 36.03603604],0
u1,1,0.511612,0.430769,[ 6 66] ; [ 2 38],[ 5.14285714 66.85714286] ; [ 2.85714286 37.14285714],0
n1,1,0.52336,0.407267,[ 4 17] ; [ 6 16],[ 4.88372093 16.11627907] ; [ 5.11627907 16.88372093],0
p4,1,0.541727,0.372349,[25 45] ; [12 28],[23.54545455 46.45454545] ; [13.45454545 26.54545455],0
d2,1,0.610668,0.259203,[25 47] ; [12 28],[23.78571429 48.21428571] ; [13.21428571 26.78571429],0
s7,1,0.67668,0.173887,[ 9 59] ; [ 6 31],[ 9.71428571 58.28571429] ; [ 5.28571429 31.71428571],0
p12,1,0.678081,0.172295,[ 1 70] ; [ 1 39],[ 1.27927928 69.72072072] ; [ 0.72072072 39.27927928],0
p10,1,0.741823,0.108531,[39 31] ; [23 16],[39.81651376 30.18348624] ; [22.18348624 16.81651376],0
s2,1,0.782992,0.075858,[11 60] ; [ 7 33],[11.51351351 59.48648649] ; [ 6.48648649 33.51351351],0
b4,1,0.821239,0.051054,[38 34] ; [22 18],[38.57142857 33.42857143] ; [21.42857143 18.57142857],0
p8,1,0.842933,0.039261,[25 46] ; [13 26],[24.52727273 46.47272727] ; [13.47272727 25.52727273],0
a2,1,0.876468,0.024164,[ 6 66] ; [ 3 37],[ 5.78571429 66.21428571] ; [ 3.21428571 36.78571429],0
p6,1,0.91534,0.011301,[12 58] ; [ 7 32],[12.20183486 57.79816514] ; [ 6.79816514 32.20183486],0
a4,1,1.0,0.0,[18 54] ; [10 30],[18. 54.] ; [10. 30.],0
