Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000735,11.398258,[13 16] ; [65 18],[20.19642857  8.80357143] ; [57.80357143 25.19642857],1
r4,1,0.000764,11.326728,[19 10] ; [76  7],[24.59821429  4.40178571] ; [70.40178571 12.59821429],1
n5,1,0.00083,11.172811,[13 15] ; [66 17],[19.92792793  8.07207207] ; [59.07207207 23.92792793],1
s8,1,0.001244,10.423172,[ 6 23] ; [46 37],[13.46428571 15.53571429] ; [38.53571429 44.46428571],0
p11,1,0.002254,9.329911,[14 15] ; [65 18],[20.45535714  8.54464286] ; [58.54464286 24.45535714],0
v4,1,0.002618,9.055945,[22  7] ; [79  4],[26.15178571  2.84821429] ; [74.84821429  8.15178571],0
s6,1,0.002695,9.003547,[11 18] ; [57 25],[17.76576577 11.23423423] ; [50.23423423 31.76576577],0
r3,1,0.009878,6.656846,[23  6] ; [79  4],[26.41071429  2.58928571] ; [75.58928571  7.41071429],0
p10,1,0.01902,5.499685,[20  9] ; [73 10],[24.08035714  4.91964286] ; [68.91964286 14.08035714],0
p4,1,0.049264,3.866331,[ 6 22] ; [35 48],[10.34234234 17.65765766] ; [30.65765766 52.34234234],0
r2,1,0.07162,3.245499,[24  5] ; [77  5],[26.38738739  2.61261261] ; [74.61261261  7.38738739],0
a6,1,0.075107,3.167729,[14 14] ; [57 26],[17.90990991 10.09009009] ; [53.09009009 29.90990991],0
s5,1,0.077416,3.118327,[ 4 21] ; [27 51],[ 7.52427184 17.47572816] ; [23.47572816 54.52427184],0
v2,1,0.077427,3.118094,[10 16] ; [45 32],[13.88349515 12.11650485] ; [41.11650485 35.88349515],0
d3,1,0.081355,3.037632,[13 15] ; [54 29],[16.9009009 11.0990991] ; [50.0990991 32.9009009],0
b1,1,0.09408,2.803143,[16 13] ; [31 52],[12.16964286 16.83035714] ; [34.83035714 48.16964286],0
p6,1,0.099097,2.720011,[ 4 24] ; [25 58],[ 7.31531532 20.68468468] ; [21.68468468 61.31531532],0
s4,1,0.116896,2.45842,[ 4 25] ; [23 58],[ 7.11818182 21.88181818] ; [19.88181818 61.11818182],0
u1,1,0.118113,2.44216,[ 2 27] ; [16 67],[ 4.66071429 24.33928571] ; [13.33928571 69.66071429],0
s7,1,0.163706,1.939658,[ 9 18] ; [39 41],[12.11214953 14.88785047] ; [35.88785047 44.11214953],0
a5,1,0.171607,1.868852,[17 12] ; [60 23],[19.9375  9.0625] ; [57.0625 25.9375],0
p12,1,0.180366,1.794604,[ 1 28] ; [10 73],[ 2.84821429 26.15178571] ; [ 8.15178571 74.84821429],0
