Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.006657,7.36337,[ 1 12] ; [4 2],[3.42105263 9.57894737] ; [1.57894737 4.42105263],0
b2,1,0.006657,7.36337,[ 1 12] ; [4 2],[3.42105263 9.57894737] ; [1.57894737 4.42105263],0
s7,1,0.007412,7.17037,[ 4 14] ; [5 1],[ 6.75 11.25] ; [2.25 3.75],0
s4,1,0.018442,5.553657,[ 1 18] ; [3 4],[ 2.92307692 16.07692308] ; [1.07692308 5.92307692],0
n4,1,0.034978,4.446266,[16  3] ; [3 4],[13.88461538  5.11538462] ; [5.11538462 1.88461538],0
s3,1,0.035366,4.427401,[ 7 11] ; [6 1],[9.36 8.64] ; [3.64 3.36],0
b5,1,0.116613,2.462227,[12  7] ; [2 5],[10.23076923  8.76923077] ; [3.76923077 3.23076923],0
a3,1,0.124051,2.365414,[10  9] ; [6 1],[11.69230769  7.30769231] ; [4.30769231 2.69230769],0
d2,1,0.124051,2.365414,[10  9] ; [6 1],[11.69230769  7.30769231] ; [4.30769231 2.69230769],0
p6,1,0.142772,2.147821,[ 5 14] ; [4 3],[ 6.57692308 12.42307692] ; [2.42307692 4.57692308],0
p3,1,0.142772,2.147821,[ 5 14] ; [4 3],[ 6.57692308 12.42307692] ; [2.42307692 4.57692308],0
r2,1,0.158379,1.989638,[10  8] ; [6 1],[11.52  6.48] ; [4.48 2.52],0
s2,1,0.16962,1.886299,[ 5 13] ; [4 3],[ 6.48 11.52] ; [2.52 4.48],0
s6,1,0.18598,1.749177,[11  8] ; [6 1],[12.42307692  6.57692308] ; [4.57692308 2.42307692],0
a5,1,0.269007,1.221805,[12  7] ; [6 1],[13.15384615  5.84615385] ; [4.84615385 2.15384615],0
d1,1,0.275017,1.19155,[ 9 10] ; [5 2],[10.23076923  8.76923077] ; [3.76923077 3.23076923],0
r4,1,0.275017,1.19155,[10  9] ; [2 5],[ 8.76923077 10.23076923] ; [3.23076923 3.76923077],0
p10,1,0.332474,0.939239,[9 9] ; [5 2],[10.08  7.92] ; [3.92 3.08],0
v1,1,0.332474,0.939239,[9 9] ; [2 5],[ 7.92 10.08] ; [3.08 3.92],0
n5,1,0.352704,0.863705,[12  7] ; [3 4],[10.96153846  8.03846154] ; [4.03846154 2.96153846],0
v3,1,0.355703,0.853006,[ 7 12] ; [1 5],[ 6.08 12.92] ; [1.92 4.08],0
s8,1,0.377893,0.777545,[ 6 13] ; [1 6],[ 5.11538462 13.88461538] ; [1.88461538 5.11538462],0
p4,1,0.389505,0.740488,[10  9] ; [5 2],[10.96153846  8.03846154] ; [4.03846154 2.96153846],0
a6,1,0.389505,0.740488,[ 9 10] ; [2 5],[ 8.03846154 10.96153846] ; [2.96153846 4.03846154],0
p11,1,0.4176,0.657059,[14  5] ; [4 3],[13.15384615  5.84615385] ; [4.84615385 2.15384615],0
p5,1,0.443789,0.586466,[ 1 18] ; [1 6],[ 1.46153846 17.53846154] ; [0.53846154 6.46153846],0
p12,1,0.443789,0.586466,[ 1 18] ; [1 6],[ 1.46153846 17.53846154] ; [0.53846154 6.46153846],0
b1,1,0.495088,0.465449,[ 8 11] ; [4 3],[ 8.76923077 10.23076923] ; [3.23076923 3.76923077],0
b4,1,0.518416,0.417043,[14  5] ; [6 1],[14.61538462  4.38461538] ; [5.38461538 1.61538462],0
a4,1,0.529233,0.395865,[ 8 11] ; [2 5],[ 7.30769231 11.69230769] ; [2.69230769 4.30769231],0
p9,1,0.562069,0.336134,[10  7] ; [5 2],[10.625  6.375] ; [4.375 2.625],0
n6,1,0.591838,0.287483,[13  6] ; [4 3],[12.42307692  6.57692308] ; [4.57692308 2.42307692],0
p7,1,0.591838,0.287483,[ 6 13] ; [3 4],[ 6.57692308 12.42307692] ; [2.42307692 4.57692308],0
n1,1,0.635256,0.225,[3 3] ; [2 1],[3.33333333 2.66666667] ; [1.66666667 1.33333333],0
d3,1,0.837829,0.04189,[10  9] ; [4 3],[10.23076923  8.76923077] ; [3.76923077 3.23076923],0
d5,1,0.924899,0.008886,[16  3] ; [6 1],[16.07692308  2.92307692] ; [5.92307692 1.07692308],0
d4,1,0.924899,0.008886,[16  3] ; [6 1],[16.07692308  2.92307692] ; [5.92307692 1.07692308],0
p8,1,0.935989,0.00645,[ 6 13] ; [2 4],[ 6.08 12.92] ; [1.92 4.08],0
r1,1,0.972542,0.001185,[11  8] ; [4 3],[10.96153846  8.03846154] ; [4.03846154 2.96153846],0
p2,1,0.972542,0.001185,[11  8] ; [4 3],[10.96153846  8.03846154] ; [4.03846154 2.96153846],0
a7,1,0.972542,0.001185,[11  8] ; [4 3],[10.96153846  8.03846154] ; [4.03846154 2.96153846],0
