Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.000182,14.009833,[28  7] ; [13 23],[20.21126761 14.78873239] ; [20.78873239 15.21126761],1
d5,1,0.00942,6.741462,[27  8] ; [17 19],[21.69014085 13.30985915] ; [22.30985915 13.69014085],0
a3,1,0.00942,6.741462,[27  8] ; [17 19],[21.69014085 13.30985915] ; [22.30985915 13.69014085],0
d3,1,0.012785,6.198592,[22 13] ; [12 24],[16.76056338 18.23943662] ; [17.23943662 18.76056338],0
a2,1,0.021762,5.264738,[ 7 28] ; [ 1 35],[ 3.94366197 31.05633803] ; [ 4.05633803 31.94366197],0
v3,1,0.029465,4.740246,[11 22] ; [ 4 31],[ 7.27941176 25.72058824] ; [ 7.72058824 27.27941176],0
a6,1,0.042242,4.12549,[23 12] ; [15 21],[18.73239437 16.26760563] ; [19.26760563 16.73239437],0
v2,1,0.117185,2.454545,[14 19] ; [ 8 25],[11. 22.] ; [11. 22.],0
n2,1,0.122056,2.390742,[5 6] ; [14  5],[6.96666667 4.03333333] ; [12.03333333  6.96666667],0
d1,1,0.122779,2.38151,[18 17] ; [12 24],[14.78873239 20.21126761] ; [15.21126761 20.78873239],0
u1,1,0.154348,2.028742,[ 4 31] ; [ 1 35],[ 2.46478873 32.53521127] ; [ 2.53521127 33.46478873],0
d4,1,0.15542,2.018231,[26  9] ; [21 15],[23.16901408 11.83098592] ; [23.83098592 12.16901408],0
p9,1,0.171746,1.867633,[19 13] ; [14 19],[16.24615385 15.75384615] ; [16.75384615 16.24615385],0
a5,1,0.180193,1.796028,[23 12] ; [18 18],[20.21126761 14.78873239] ; [20.78873239 15.21126761],0
b4,1,0.180193,1.796028,[23 12] ; [18 18],[20.21126761 14.78873239] ; [20.78873239 15.21126761],0
p10,1,0.187178,1.739693,[18 16] ; [13 22],[15.27536232 18.72463768] ; [15.72463768 19.27536232],0
b1,1,0.192218,1.700539,[15 20] ; [21 15],[17.74647887 17.25352113] ; [18.25352113 17.74647887],0
n1,1,0.227907,1.453877,[3 8] ; [9 9],[4.55172414 6.44827586] ; [ 7.44827586 10.55172414],0
u2,1,0.23323,1.421053,[4 4] ; [ 5 14],[2.66666667 5.33333333] ; [ 6.33333333 12.66666667],0
r3,1,0.248094,1.334006,[25 10] ; [21 15],[22.67605634 12.32394366] ; [23.32394366 12.67605634],0
n5,1,0.282071,1.157085,[20 15] ; [25 11],[22.18309859 12.81690141] ; [22.81690141 13.18309859],0
p8,1,0.31305,1.017762,[ 6 28] ; [10 26],[ 7.77142857 26.22857143] ; [ 8.22857143 27.77142857],0
v4,1,0.381209,0.766799,[23 12] ; [20 16],[21.1971831 13.8028169] ; [21.8028169 14.1971831],0
d2,1,0.398321,0.713388,[19 16] ; [15 19],[17.24637681 17.75362319] ; [16.75362319 17.24637681],0
r4,1,0.410502,0.677347,[16 19] ; [13 23],[14.29577465 20.70422535] ; [14.70422535 21.29577465],0
v1,1,0.445973,0.580867,[11 22] ; [ 9 27],[ 9.56521739 23.43478261] ; [10.43478261 25.56521739],0
a4,1,0.45426,0.56,[14 21] ; [11 24],[12.5 22.5] ; [12.5 22.5],0
p5,1,0.504161,0.446166,[ 2 31] ; [ 1 35],[ 1.43478261 31.56521739] ; [ 1.56521739 34.43478261],0
r2,1,0.531584,0.391363,[24  9] ; [23 12],[22.80882353 10.19117647] ; [24.19117647 10.80882353],0
