Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.004236,8.179622,[40 17] ; [13 20],[33.56666667 23.43333333] ; [19.43333333 13.56666667],0
a4,1,0.005368,7.751196,[13 44] ; [17 16],[19. 38.] ; [11. 22.],0
d3,1,0.007215,7.218585,[39 18] ; [13 20],[32.93333333 24.06666667] ; [19.06666667 13.93333333],0
p1,1,0.019614,5.445911,[ 5 52] ; [ 9 24],[ 8.86666667 48.13333333] ; [ 5.13333333 27.86666667],0
d2,1,0.03856,4.280163,[16 41] ; [16 16],[20.49438202 36.50561798] ; [11.50561798 20.49438202],0
v4,1,0.044232,4.047675,[52  5] ; [25  8],[48.76666667  8.23333333] ; [28.23333333  4.76666667],0
d5,1,0.087884,2.912717,[47 10] ; [22 11],[43.7 13.3] ; [25.3  7.7],0
n6,1,0.090431,2.866677,[50  6] ; [25  8],[47.19101124  8.80898876] ; [27.80898876  5.19101124],0
n1,1,0.09769,2.742857,[3 9] ; [7 5],[5. 7.] ; [5. 7.],0
p2,1,0.122078,2.390455,[49  8] ; [24  9],[46.23333333 10.76666667] ; [26.76666667  6.23333333],0
p9,1,0.142281,2.15311,[50  7] ; [25  8],[47.5  9.5] ; [27.5  5.5],0
p10,1,0.161989,1.955556,[44 11] ; [22 11],[41.25 13.75] ; [24.75  8.25],0
r2,1,0.164308,1.934125,[48  7] ; [25  8],[45.625  9.375] ; [27.375  5.625],0
s4,1,0.189373,1.722488,[ 9 48] ; [ 9 24],[11.4 45.6] ; [ 6.6 26.4],0
r4,1,0.225442,1.469389,[40 17] ; [19 14],[37.36666667 19.63333333] ; [21.63333333 11.36666667],0
a2,1,0.246032,1.345694,[ 8 49] ; [ 2 31],[ 6.33333333 50.66666667] ; [ 3.66666667 29.33333333],0
s2,1,0.274088,1.196172,[26 31] ; [19 14],[28.5 28.5] ; [16.5 16.5],0
p11,1,0.2765,1.184211,[44 13] ; [22 11],[41.8 15.2] ; [24.2  8.8],0
v2,1,0.290161,1.118873,[28 29] ; [12 20],[25.61797753 31.38202247] ; [14.38202247 17.61797753],0
b3,1,0.300796,1.070661,[12 19] ; [ 7 20],[10.15517241 20.84482759] ; [ 8.84482759 18.15517241],0
b2,1,0.300796,1.070661,[12 19] ; [ 7 20],[10.15517241 20.84482759] ; [ 8.84482759 18.15517241],0
a5,1,0.340477,0.908633,[34 23] ; [23 10],[36.1 20.9] ; [20.9 12.1],0
r3,1,0.353391,0.861244,[52  5] ; [28  5],[50.66666667  6.33333333] ; [29.33333333  3.66666667],0
s8,1,0.360053,0.837708,[22 35] ; [16 17],[24.06666667 32.93333333] ; [13.93333333 19.06666667],0
b1,1,0.387701,0.74614,[24 33] ; [17 16],[25.96666667 31.03333333] ; [15.03333333 17.96666667],0
p12,1,0.426159,0.633268,[ 4 53] ; [ 1 32],[ 3.16666667 53.83333333] ; [ 1.83333333 31.16666667],0
b4,1,0.453005,0.563121,[34 23] ; [17 16],[32.3 24.7] ; [18.7 14.3],0
p5,1,0.472828,0.51536,[10 46] ; [ 4 29],[ 8.80898876 47.19101124] ; [ 5.19101124 27.80898876],0
b5,1,0.489071,0.478569,[37 20] ; [19 14],[35.46666667 21.53333333] ; [20.53333333 12.46666667],0
u3,1,0.507903,0.438386,[11 11] ; [5 8],[10.05714286 11.94285714] ; [5.94285714 7.05714286],0
u2,1,0.507903,0.438386,[11 11] ; [5 8],[10.05714286 11.94285714] ; [5.94285714 7.05714286],0
s3,1,0.53941,0.376634,[30 27] ; [19 13],[31.38202247 25.61797753] ; [17.61797753 14.38202247],0
p4,1,0.568843,0.324623,[40 17] ; [25  8],[41.16666667 15.83333333] ; [23.83333333  9.16666667],0
v3,1,0.586123,0.29644,[17 40] ; [11 20],[18.13636364 38.86363636] ; [ 9.86363636 21.13636364],0
d4,1,0.587188,0.294757,[42 15] ; [26  7],[43.06666667 13.93333333] ; [24.93333333  8.06666667],0
p8,1,0.589135,0.291698,[31 26] ; [16 17],[29.76666667 27.23333333] ; [17.23333333 15.76666667],0
s7,1,0.594686,0.283086,[25 28] ; [17 15],[26.18823529 26.81176471] ; [15.81176471 16.18823529],0
n4,1,0.599541,0.275689,[41 16] ; [22 11],[39.9 17.1] ; [23.1  9.9],0
