Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,5.3e-05,16.334716,[ 5 27] ; [9 2],[10.41860465 21.58139535] ; [3.58139535 7.41860465],1
s6,1,0.001213,10.471044,[11 21] ; [10  1],[15.62790698 16.37209302] ; [5.37209302 5.62790698],0
s7,1,0.014306,6.0,[ 6 21] ; [6 3],[ 9. 18.] ; [3. 6.],0
r1,1,0.016149,5.78654,[10 22] ; [8 3],[13.39534884 18.60465116] ; [4.60465116 6.39534884],0
n4,1,0.037466,4.329085,[18 14] ; [10  1],[20.8372093 11.1627907] ; [7.1627907 3.8372093],0
p9,1,0.044721,4.029123,[17 14] ; [9 1],[19.65853659 11.34146341] ; [6.34146341 3.65853659],0
p6,1,0.09075,2.861018,[ 6 25] ; [5 6],[ 8.11904762 22.88095238] ; [2.88095238 8.11904762],0
s2,1,0.101066,2.688636,[ 5 27] ; [4 6],[ 6.85714286 25.14285714] ; [2.14285714 7.85714286],0
b1,1,0.132118,2.267444,[20 12] ; [4 7],[17.86046512 14.13953488] ; [6.13953488 4.86046512],0
s5,1,0.144686,2.127405,[ 5 27] ; [4 7],[ 6.69767442 25.30232558] ; [2.30232558 8.69767442],0
r3,1,0.146205,2.111409,[22 10] ; [10  1],[23.81395349  8.18604651] ; [8.18604651 2.81395349],0
s3,1,0.152825,2.043823,[ 8 23] ; [5 5],[ 9.82926829 21.17073171] ; [3.17073171 6.82926829],0
u3,1,0.163187,1.944444,[ 5 10] ; [4 2],[6.42857143 8.57142857] ; [2.57142857 3.42857143],0
p8,1,0.167924,1.901384,[10 22] ; [6 5],[11.90697674 20.09302326] ; [4.09302326 6.90697674],0
p11,1,0.238187,1.39129,[20 12] ; [9 2],[21.58139535 10.41860465] ; [7.41860465 3.58139535],0
p12,1,0.239873,1.381337,[ 2 30] ; [2 9],[ 2.97674419 29.02325581] ; [1.02325581 9.97674419],0
p7,1,0.255014,1.295627,[14 18] ; [7 4],[15.62790698 16.37209302] ; [5.37209302 5.62790698],0
p4,1,0.255598,1.292443,[17 15] ; [8 3],[18.60465116 13.39534884] ; [6.39534884 4.60465116],0
b4,1,0.255598,1.292443,[17 15] ; [8 3],[18.60465116 13.39534884] ; [6.39534884 4.60465116],0
r4,1,0.290007,1.119591,[ 9 23] ; [5 6],[10.41860465 21.58139535] ; [3.58139535 7.41860465],0
v4,1,0.290007,1.119591,[23  9] ; [6 5],[21.58139535 10.41860465] ; [7.41860465 3.58139535],0
p3,1,0.299064,1.078365,[14 17] ; [3 8],[12.54761905 18.45238095] ; [4.45238095 6.54761905],0
d2,1,0.322873,0.977273,[12 20] ; [6 5],[13.39534884 18.60465116] ; [4.60465116 6.39534884],0
v2,1,0.384295,0.756918,[15 16] ; [7 4],[16.23809524 14.76190476] ; [5.76190476 5.23809524],0
s1,1,0.417629,0.656978,[ 1 31] ; [ 1 10],[ 1.48837209 30.51162791] ; [ 0.51162791 10.48837209],0
a6,1,0.422551,0.64321,[19 13] ; [5 6],[17.86046512 14.13953488] ; [6.13953488 4.86046512],0
u2,1,0.445009,0.583333,[10  5] ; [5 1],[10.71428571  4.28571429] ; [4.28571429 1.71428571],0
d4,1,0.454107,0.560381,[26  6] ; [10  1],[26.79069767  5.20930233] ; [9.20930233 1.79069767],0
s4,1,0.454107,0.560381,[ 6 26] ; [ 1 10],[ 5.20930233 26.79069767] ; [1.79069767 9.20930233],0
n2,1,0.464214,0.535714,[6 4] ; [2 3],[5.33333333 4.66666667] ; [2.66666667 2.33333333],0
v1,1,0.511939,0.430102,[11 21] ; [5 6],[11.90697674 20.09302326] ; [4.09302326 6.90697674],0
a4,1,0.539241,0.376948,[12 20] ; [3 8],[11.1627907 20.8372093] ; [3.8372093 7.1627907],0
n6,1,0.539241,0.376948,[20 12] ; [8 3],[20.8372093 11.1627907] ; [7.1627907 3.8372093],0
a8,1,0.580874,0.304823,[ 4 27] ; [2 8],[ 4.53658537 26.46341463] ; [1.46341463 8.53658537],0
a3,1,0.660631,0.192758,[17 15] ; [5 6],[16.37209302 15.62790698] ; [5.62790698 5.37209302],0
a5,1,0.668374,0.18351,[18 14] ; [7 4],[18.60465116 13.39534884] ; [6.39534884 4.60465116],0
u1,1,0.749681,0.101799,[ 2 30] ; [ 1 10],[ 2.23255814 29.76744186] ; [ 0.76744186 10.23255814],0
d3,1,0.803075,0.062185,[19 13] ; [7 4],[19.34883721 12.65116279] ; [6.65116279 4.34883721],0
b2,1,0.832894,0.044518,[ 7 14] ; [3 5],[ 7.24137931 13.75862069] ; [2.75862069 5.24137931],0
