Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,23.154031,[47 78] ; [91 44],[66.34615385 58.65384615] ; [71.65384615 63.34615385],1
d3,1,8e-06,19.832228,[30 94] ; [69 66],[47.3976834 76.6023166] ; [51.6023166 83.3976834],1
a3,1,0.011316,6.414979,[54 69] ; [80 54],[64.13229572 58.86770428] ; [69.86770428 64.13229572],0
d2,1,0.023189,5.154312,[27 98] ; [ 15 119],[ 20.27027027 104.72972973] ; [ 21.72972973 112.27027027],0
r1,1,0.024591,5.052448,[71 52] ; [96 39],[79.61627907 43.38372093] ; [87.38372093 47.61627907],0
r3,1,0.02578,4.970703,[98 25] ; [121  14],[104.40697674  18.59302326] ; [114.59302326  20.40697674],0
a7,1,0.02748,4.860423,[67 57] ; [91 44],[75.64478764 48.35521236] ; [82.35521236 52.64478764],0
n5,1,0.0406,4.192633,[91 33] ; [81 51],[83.3125 40.6875] ; [88.6875 43.3125],0
v2,1,0.097128,2.752087,[42 73] ; [62 70],[48.42105263 66.57894737] ; [55.57894737 76.42105263],0
a5,1,0.112582,2.517591,[59 66] ; [77 58],[65.38461538 59.61538462] ; [70.61538462 64.38461538],0
b4,1,0.118046,2.443062,[62 63] ; [80 55],[68.26923077 56.73076923] ; [73.73076923 61.26923077],0
p1,1,0.131413,2.275737,[ 14 111] ; [  8 126],[ 10.61776062 114.38223938] ; [ 11.38223938 122.61776062],0
s7,1,0.147497,2.097952,[23 94] ; [35 92],[27.81147541 89.18852459] ; [30.18852459 96.81147541],0
s5,1,0.16347,1.941829,[ 14 108] ; [ 23 107],[ 17.91269841 104.08730159] ; [ 19.08730159 110.91269841],0
s6,1,0.178362,1.811218,[47 76] ; [61 70],[52.2992126 70.7007874] ; [55.7007874 75.2992126],0
u1,1,0.184519,1.760847,[  2 123] ; [  6 129],[  3.84615385 121.15384615] ; [  4.15384615 130.84615385],0
a4,1,0.192874,1.695528,[26 97] ; [38 97],[30.51162791 92.48837209] ; [ 33.48837209 101.51162791],0
p12,1,0.195572,1.675133,[  8 116] ; [  4 128],[  5.8125 118.1875] ; [  6.1875 125.8125],0
