Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,3e-06,21.741641,[117  41] ; [14 26],[104.53535354  53.46464646] ; [26.46464646 13.53535354],1
p2,1,8.9e-05,15.351266,[150   8] ; [30 10],[143.63636364  14.36363636] ; [36.36363636  3.63636364],1
s6,1,0.000103,15.088018,[142  12] ; [27 12],[134.84974093  19.15025907] ; [34.15025907  4.84974093],1
d3,1,0.000189,13.933985,[128  30] ; [21 19],[118.8989899  39.1010101] ; [30.1010101  9.8989899],1
p8,1,0.000441,12.349821,[120  38] ; [19 21],[110.91919192  47.08080808] ; [28.08080808 11.91919192],1
n6,1,0.001059,10.721368,[145  11] ; [30 10],[139.28571429  16.71428571] ; [35.71428571  4.28571429],0
p5,1,0.001192,10.501967,[ 41 117] ; [ 1 39],[ 33.51515152 124.48484848] ; [ 8.48484848 31.51515152],0
d5,1,0.002168,9.401757,[135  22] ; [26 14],[128.30964467  28.69035533] ; [32.69035533  7.30964467],0
d1,1,0.013468,6.106517,[115  43] ; [21 19],[108.52525253  49.47474747] ; [27.47474747 12.52525253],0
p11,1,0.016731,5.724344,[133  25] ; [27 13],[127.67676768  30.32323232] ; [32.32323232  7.67676768],0
a5,1,0.016759,5.721417,[127  31] ; [25 15],[121.29292929  36.70707071] ; [30.70707071  9.29292929],0
b5,1,0.022845,5.180246,[83 75] ; [29 11],[89.37373737 68.62626263] ; [22.62626263 17.37373737],0
p10,1,0.028632,4.789605,[139  18] ; [30 10],[134.68527919  22.31472081] ; [34.31472081  5.68527919],0
p12,1,0.035604,4.415972,[ 30 128] ; [ 2 37],[ 25.66497462 132.33502538] ; [ 6.33502538 32.66497462],0
p7,1,0.045593,3.996582,[139  19] ; [27  9],[135.19587629  22.80412371] ; [30.80412371  5.19587629],0
a4,1,0.058954,3.56658,[89 68] ; [16 24],[83.68020305 73.31979695] ; [21.31979695 18.68020305],0
s2,1,0.068698,3.313854,[137  21] ; [30 10],[133.26262626  24.73737374] ; [33.73737374  6.26262626],0
p9,1,0.082142,3.021992,[145  13] ; [33  7],[142.04040404  15.95959596] ; [35.95959596  4.04040404],0
