Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.1e-05,17.335476,[49 12] ; [ 7 15],[41.15662651 19.84337349] ; [14.84337349  7.15662651],1
a5,1,0.00105,10.737219,[37 26] ; [ 4 18],[30.38823529 32.61176471] ; [10.61176471 11.38823529],0
p11,1,0.021721,5.267974,[48 15] ; [11 11],[43.72941176 19.27058824] ; [15.27058824  6.72941176],0
s3,1,0.049659,3.85295,[30 28] ; [ 6 16],[26.1 31.9] ; [ 9.9 12.1],0
d5,1,0.057405,3.610805,[43 20] ; [10 12],[39.28235294 23.71764706] ; [13.71764706  8.28235294],0
a3,1,0.079959,3.065742,[36 26] ; [ 8 14],[32.47619048 29.52380952] ; [11.52380952 10.47619048],0
d4,1,0.108809,2.571429,[45 18] ; [11 10],[42. 21.] ; [14.  7.],0
n5,1,0.109791,2.557227,[39 21] ; [10 12],[35.85365854 24.14634146] ; [13.14634146  8.85365854],0
a4,1,0.142401,2.151822,[22 41] ; [ 4 18],[19.27058824 43.72941176] ; [ 6.72941176 15.27058824],0
v1,1,0.1524,2.048067,[26 32] ; [ 6 16],[23.2 34.8] ; [ 8.8 13.2],0
p4,1,0.155065,2.021704,[34 29] ; [ 8 14],[31.12941176 31.87058824] ; [10.87058824 11.12941176],0
s4,1,0.166857,1.910957,[11 51] ; [ 7 15],[13.28571429 48.71428571] ; [ 4.71428571 17.28571429],0
r2,1,0.189927,1.718182,[34 21] ; [10 12],[31.42857143 23.57142857] ; [12.57142857  9.42857143],0
s8,1,0.20926,1.57654,[20 42] ; [ 4 18],[17.71428571 44.28571429] ; [ 6.28571429 15.71428571],0
s6,1,0.258038,1.279253,[33 27] ; [ 9 13],[30.73170732 29.26829268] ; [11.26829268 10.73170732],0
d2,1,0.322717,0.977904,[19 44] ; [ 4 17],[17.25 45.75] ; [ 5.75 15.25],0
n2,1,0.349615,0.874854,[11  8] ; [11  4],[12.29411765  6.70588235] ; [9.70588235 5.29411765],0
d3,1,0.374241,0.789533,[35 27] ; [10 12],[33.21428571 28.78571429] ; [11.78571429 10.21428571],0
u3,1,0.392041,0.732601,[11 15] ; [ 4 10],[ 9.75 16.25] ; [5.25 8.75],0
n4,1,0.399134,0.710934,[38 25] ; [11 11],[36.31764706 26.68235294] ; [12.68235294  9.31764706],0
a2,1,0.464611,0.534763,[ 6 57] ; [ 1 21],[ 5.18823529 57.81176471] ; [ 1.81176471 20.18823529],0
s7,1,0.477337,0.504941,[26 33] ; [ 7 13],[24.64556962 34.35443038] ; [ 8.35443038 11.64556962],0
n6,1,0.484007,0.48982,[43 17] ; [14  8],[41.70731707 18.29268293] ; [15.29268293  6.70731707],0
a6,1,0.502056,0.450587,[31 32] ; [ 9 13],[29.64705882 33.35294118] ; [10.35294118 11.64705882],0
p7,1,0.505163,0.444073,[31 30] ; [13  9],[32.3373494 28.6626506] ; [11.6626506 10.3373494],0
d1,1,0.51113,0.431752,[22 41] ; [ 6 16],[20.75294118 42.24705882] ; [ 7.24705882 14.75294118],0
p3,1,0.512176,0.429618,[25 38] ; [ 7 15],[23.71764706 39.28235294] ; [ 8.28235294 13.71764706],0
r3,1,0.523825,0.406357,[41 18] ; [13  8],[39.825 19.175] ; [14.175  6.825],0
b5,1,0.544115,0.367965,[39 24] ; [12 10],[37.8 25.2] ; [13.2  8.8],0
v2,1,0.570302,0.322178,[26 34] ; [ 8 14],[24.87804878 35.12195122] ; [ 9.12195122 12.87804878],0
n3,1,0.601247,0.273119,[11  8] ; [10  5],[11.73529412  7.26470588] ; [9.26470588 5.73529412],0
s2,1,0.608787,0.261944,[26 35] ; [ 8 14],[24.98795181 36.01204819] ; [ 9.01204819 12.98795181],0
a7,1,0.613893,0.254545,[34 29] ; [10 11],[33. 30.] ; [11. 10.],0
v4,1,0.653859,0.201069,[44 13] ; [18  4],[44.73417722 12.26582278] ; [17.26582278  4.73417722],0
p6,1,0.663888,0.188835,[20 42] ; [ 6 16],[19.19047619 42.80952381] ; [ 6.80952381 15.19047619],0
b4,1,0.677373,0.173098,[34 29] ; [13  9],[34.83529412 28.16470588] ; [12.16470588  9.83529412],0
r1,1,0.726134,0.122691,[17 44] ; [ 7 15],[17.63855422 43.36144578] ; [ 6.36144578 15.63855422],0
n1,1,0.75494,0.097427,[ 6 13] ; [ 4 11],[ 5.58823529 13.41176471] ; [ 4.41176471 10.58823529],0
p1,1,0.756899,0.095824,[ 4 59] ; [ 1 21],[ 3.70588235 59.29411765] ; [ 1.29411765 20.70588235],0
b1,1,0.761746,0.091923,[32 31] ; [12 10],[32.61176471 30.38823529] ; [11.38823529 10.61176471],0
u2,1,0.820789,0.051316,[13 13] ; [7 6],[13.33333333 12.66666667] ; [6.66666667 6.33333333],0
p8,1,0.845649,0.037898,[24 38] ; [ 8 14],[23.61904762 38.38095238] ; [ 8.38095238 13.61904762],0
v3,1,0.904186,0.01449,[12 50] ; [ 4 18],[11.80952381 50.19047619] ; [ 4.19047619 17.80952381],0
s5,1,0.994045,5.6e-05,[14 45] ; [ 5 16],[14.0125 44.9875] ; [ 4.9875 16.0125],0
