Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.001334,10.294757,[ 9 42] ; [25 28],[16.67307692 34.32692308] ; [17.32692308 35.67307692],0
d4,1,0.003258,8.657048,[18 33] ; [34 19],[25.5 25.5] ; [26.5 26.5],0
r3,1,0.008413,6.943347,[33 18] ; [46  7],[38.74038462 12.25961538] ; [40.25961538 12.74038462],0
p10,1,0.035425,4.424567,[ 6 44] ; [15 37],[10.29411765 39.70588235] ; [10.70588235 41.29411765],0
a3,1,0.03699,4.350884,[18 33] ; [29 23],[23.27184466 27.72815534] ; [23.72815534 28.27184466],0
r4,1,0.044673,4.030938,[29 22] ; [40 13],[33.83653846 17.16346154] ; [35.16346154 17.83653846],0
r2,1,0.070472,3.271985,[37 14] ; [46  7],[40.70192308 10.29807692] ; [42.29807692 10.70192308],0
r1,1,0.073141,3.211092,[29 22] ; [39 14],[33.34615385 17.65384615] ; [34.65384615 18.34615385],0
n1,1,0.077787,3.110539,[ 6 14] ; [10  7],[ 8.64864865 11.35135135] ; [7.35135135 9.64864865],0
b5,1,0.079176,3.081726,[23 28] ; [33 20],[27.46153846 23.53846154] ; [28.53846154 24.46153846],0
d5,1,0.115653,2.475217,[21 30] ; [30 23],[25.00961538 25.99038462] ; [25.99038462 27.00961538],0
p2,1,0.118641,2.435166,[23 28] ; [32 21],[26.97115385 24.02884615] ; [28.02884615 24.97115385],0
p6,1,0.13405,2.244961,[ 8 42] ; [15 38],[11.16504854 38.83495146] ; [11.83495146 41.16504854],0
a6,1,0.169732,1.885313,[22 29] ; [30 23],[25.5 25.5] ; [26.5 26.5],0
v4,1,0.169746,1.885185,[37 13] ; [45  8],[39.80582524 10.19417476] ; [42.19417476 10.80582524],0
n4,1,0.170414,1.879299,[29 22] ; [37 16],[32.36538462 18.63461538] ; [33.63461538 19.36538462],0
u3,1,0.181105,1.788537,[12 21] ; [13 11],[14.47368421 18.52631579] ; [10.52631579 13.47368421],0
s5,1,0.240115,1.379919,[10 40] ; [ 6 46],[ 7.84313725 42.15686275] ; [ 8.15686275 43.84313725],0
b1,1,0.244649,1.353603,[25 26] ; [32 21],[27.95192308 23.04807692] ; [29.04807692 23.95192308],0
v2,1,0.262527,1.255385,[14 36] ; [20 32],[16.66666667 33.33333333] ; [17.33333333 34.66666667],0
p5,1,0.298406,1.081302,[ 3 48] ; [ 1 51],[ 1.98058252 49.01941748] ; [ 2.01941748 49.98058252],0
a2,1,0.32671,0.961894,[ 1 50] ; [ 3 50],[ 1.96153846 49.03846154] ; [ 2.03846154 50.96153846],0
n3,1,0.330818,0.945692,[12  7] ; [14  4],[13.35135135  5.64864865] ; [12.64864865  5.35135135],0
n6,1,0.336564,0.923478,[28 23] ; [34 19],[30.40384615 20.59615385] ; [31.59615385 21.40384615],0
p4,1,0.340519,0.908477,[16 35] ; [21 31],[18.32038835 32.67961165] ; [18.67961165 33.32038835],0
p3,1,0.357633,0.846188,[14 37] ; [19 34],[16.18269231 34.81730769] ; [16.81730769 36.18269231],0
p8,1,0.395284,0.722627,[11 40] ; [15 37],[12.87378641 38.12621359] ; [13.12621359 38.87378641],0
d2,1,0.41595,0.66173,[13 38] ; [10 43],[11.27884615 39.72115385] ; [11.72115385 41.27884615],0
s6,1,0.443429,0.587392,[18 32] ; [23 30],[19.90291262 30.09708738] ; [21.09708738 31.90291262],0
a8,1,0.504501,0.445455,[ 4 45] ; [ 6 43],[ 5. 44.] ; [ 5. 44.],0
a4,1,0.519857,0.414178,[11 39] ; [ 9 44],[ 9.70873786 40.29126214] ; [10.29126214 42.70873786],0
b4,1,0.531257,0.391986,[31 20] ; [29 24],[29.42307692 21.57692308] ; [30.57692308 22.42307692],0
b2,1,0.538926,0.377534,[ 9 24] ; [10 19],[10.11290323 22.88709677] ; [ 8.88709677 20.11290323],0
b3,1,0.538926,0.377534,[ 9 24] ; [10 19],[10.11290323 22.88709677] ; [ 8.88709677 20.11290323],0
n5,1,0.565242,0.330708,[26 25] ; [30 23],[27.46153846 23.53846154] ; [28.53846154 24.46153846],0
s1,1,0.673449,0.177594,[ 6 44] ; [ 5 48],[ 5.33980583 44.66019417] ; [ 5.66019417 47.33980583],0
p1,1,0.675853,0.174832,[ 4 47] ; [ 3 49],[ 3.46601942 47.53398058] ; [ 3.53398058 48.46601942],0
p11,1,0.685996,0.163454,[23 28] ; [26 27],[24.02884615 26.97115385] ; [24.97115385 28.02884615],0
u2,1,0.689125,0.160034,[14 19] ; [11 12],[14.73214286 18.26785714] ; [10.26785714 12.73214286],0
s8,1,0.701677,0.146733,[ 8 42] ; [10 43],[ 8.73786408 41.26213592] ; [ 9.26213592 43.73786408],0
n2,1,0.707852,0.140432,[14  7] ; [13  5],[14.53846154  6.46153846] ; [12.46153846  5.53846154],0
p7,1,0.768246,0.08683,[25 26] ; [27 25],[25.74757282 25.25242718] ; [26.25242718 25.74757282],0
s2,1,0.779872,0.078112,[16 35] ; [15 37],[15.34951456 35.65048544] ; [15.65048544 36.34951456],0
s7,1,0.816748,0.053699,[12 37] ; [13 36],[12.5 36.5] ; [12.5 36.5],0
a5,1,0.818825,0.052467,[21 30] ; [23 30],[21.57692308 29.42307692] ; [22.42307692 30.57692308],0
s3,1,0.820108,0.051713,[21 29] ; [23 29],[21.56862745 28.43137255] ; [22.43137255 29.56862745],0
s4,1,0.858318,0.031868,[ 8 43] ; [ 9 44],[ 8.33653846 42.66346154] ; [ 8.66346154 44.33653846],0
v3,1,0.873575,0.025319,[15 34] ; [17 36],[15.37254902 33.62745098] ; [16.62745098 36.37254902],0
v1,1,0.938628,0.005928,[16 35] ; [17 36],[16.18269231 34.81730769] ; [16.81730769 36.18269231],0
a1,1,0.96129,0.002356,[ 3 48] ; [ 3 50],[ 2.94230769 48.05769231] ; [ 3.05769231 49.94230769],0
