Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,3e-06,21.831211,[306  20] ; [28 11],[298.31232877  27.68767123] ; [35.68767123  3.31232877],1
p9,1,0.000413,12.471123,[294  30] ; [28 11],[287.40495868  36.59504132] ; [34.59504132  4.40495868],1
p8,1,0.00455,8.049985,[185 138] ; [13 26],[176.66850829 146.33149171] ; [21.33149171 17.66850829],0
p11,1,0.004673,8.00177,[272  56] ; [25 14],[265.4386921  62.5613079] ; [31.5613079  7.4386921],0
p10,1,0.014218,6.010843,[289  38] ; [29 10],[284.1147541  42.8852459] ; [33.8852459  5.1147541],0
v1,1,0.016461,5.752965,[198 120] ; [16 22],[191.15730337 126.84269663] ; [22.84269663 15.15730337],0
p5,1,0.020015,5.410571,[ 54 269] ; [ 1 38],[ 49.07458564 273.92541436] ; [ 5.92541436 33.07458564],0
b3,1,0.026791,4.904257,[ 88 123] ; [ 5 21],[ 82.79746835 128.20253165] ; [10.20253165 15.79746835],0
b2,1,0.026791,4.904257,[ 88 123] ; [ 5 21],[ 82.79746835 128.20253165] ; [10.20253165 15.79746835],0
p2,1,0.031226,4.640499,[284  42] ; [29 10],[279.55616438  46.44383562] ; [33.44383562  5.55616438],0
v3,1,0.036407,4.377923,[156 159] ; [12 26],[149.91501416 165.08498584] ; [18.08498584 19.91501416],0
p4,1,0.038453,4.284865,[228  97] ; [21 18],[222.32142857 102.67857143] ; [26.67857143 12.32142857],0
s5,1,0.045823,3.988079,[154 159] ; [11 24],[148.40517241 164.59482759] ; [16.59482759 18.40517241],0
p7,1,0.049981,3.84211,[220  97] ; [21 18],[214.59831461 102.40168539] ; [26.40168539 12.59831461],0
n2,1,0.070437,3.272802,[49 11] ; [3 3],[47.27272727 12.72727273] ; [4.72727273 1.27272727],0
p1,1,0.113922,2.49895,[ 34 291] ; [ 1 38],[ 31.25 293.75] ; [ 3.75 35.25],0
a3,1,0.117175,2.454682,[261  65] ; [27 12],[257.22739726  68.77260274] ; [30.77260274  8.22739726],0
r2,1,0.130464,2.286979,[315  10] ; [35  3],[313.36088154  11.63911846] ; [36.63911846  1.36088154],0
d1,1,0.135629,2.226867,[224 104] ; [22 17],[219.85831063 108.14168937] ; [26.14168937 12.85831063],0
n1,1,0.137465,2.206111,[29 31] ; [1 5],[27.27272727 32.72727273] ; [2.72727273 3.27272727],0
a8,1,0.141697,2.159431,[ 56 246] ; [ 3 32],[ 52.87240356 249.12759644] ; [ 6.12759644 28.87240356],0
p12,1,0.159803,1.97609,[ 42 284] ; [ 2 37],[ 39.29863014 286.70136986] ; [ 4.70136986 34.29863014],0
r1,1,0.168772,1.893819,[280  48] ; [30  9],[277.05722071  50.94277929] ; [32.94277929  6.05722071],0
p6,1,0.180842,1.790691,[152 170] ; [14 25],[148.06648199 173.93351801] ; [17.93351801 21.06648199],0
s8,1,0.182202,1.779571,[211 115] ; [21 18],[207.2109589 118.7890411] ; [24.7890411 14.2109589],0
s4,1,0.206837,1.593429,[ 63 259] ; [11 28],[ 66.00554017 255.99445983] ; [ 7.99445983 31.00554017],0
s7,1,0.231201,1.433461,[241  74] ; [25 12],[238.03977273  76.96022727] ; [27.96022727  9.03977273],0
b4,1,0.233882,1.417095,[186 142] ; [26 13],[189.47138965 138.52861035] ; [22.52861035 16.47138965],0
s1,1,0.245083,1.351117,[ 18 306] ; [ 4 35],[ 19.63636364 304.36363636] ; [ 2.36363636 36.63636364],0
p3,1,0.276765,1.182906,[188 137] ; [19 20],[184.82142857 140.17857143] ; [22.17857143 16.82142857],0
a6,1,0.360536,0.836027,[207 117] ; [22 17],[204.39669421 119.60330579] ; [24.60330579 14.39669421],0
a7,1,0.450249,0.570026,[232  94] ; [30  9],[234.00547945  91.99452055] ; [27.99452055 11.00547945],0
v4,1,0.573656,0.316603,[316  11] ; [37  2],[315.3852459  11.6147541] ; [37.6147541  1.3852459],0
a5,1,0.6165,0.250817,[257  70] ; [32  7],[258.20491803  68.79508197] ; [30.79508197  8.20491803],0
b5,1,0.633655,0.227137,[198 130] ; [22 17],[196.62125341 131.37874659] ; [23.37874659 15.62125341],0
s6,1,0.647537,0.209019,[280  41] ; [33  6],[279.09166667  41.90833333] ; [33.90833333  5.09166667],0
u2,1,0.649063,0.207083,[40 27] ; [8 4],[40.70886076 26.29113924] ; [7.29113924 4.70886076],0
v2,1,0.655276,0.199313,[190 126] ; [22 17],[188.70985915 127.29014085] ; [23.29014085 15.70985915],0
d4,1,0.667697,0.184307,[283  41] ; [35  4],[283.83471074  40.16528926] ; [34.16528926  4.83471074],0
d3,1,0.696792,0.15183,[232  93] ; [29 10],[233.03571429  91.96428571] ; [27.96428571 11.03571429],0
a4,1,0.726297,0.122539,[169 158] ; [19 20],[167.96721311 159.03278689] ; [20.03278689 18.96721311],0
a1,1,0.756264,0.096342,[ 21 307] ; [ 2 37],[ 20.55585831 307.44414169] ; [ 2.44414169 36.55585831],0
