Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,58.11758,[ 23 121] ; [66 39],[51.46987952 92.53012048] ; [37.53012048 67.46987952],1
s2,1,0.0,50.766549,[ 34 106] ; [74 32],[61.46341463 78.53658537] ; [46.53658537 59.46341463],1
s6,1,0.0,34.166557,[61 81] ; [84 21],[83.36032389 58.63967611] ; [61.63967611 43.36032389],1
s3,1,0.0,33.445025,[46 93] ; [74 31],[68.36065574 70.63934426] ; [51.63934426 53.36065574],1
u1,1,8e-06,19.868899,[ 13 131] ; [33 73],[ 26.496 117.504] ; [19.504 86.496],1
a3,1,9.7e-05,15.189502,[82 60] ; [86 20],[96.19354839 45.80645161] ; [71.80645161 34.19354839],1
v4,1,0.001703,9.845131,[118  26] ; [100   5],[126.07228916  17.92771084] ; [91.92771084 13.07228916],0
d2,1,0.001749,9.79575,[63 77] ; [69 37],[75.12195122 64.87804878] ; [56.87804878 49.12195122],0
s5,1,0.001792,9.751464,[ 20 113] ; [32 67],[ 29.81034483 103.18965517] ; [22.18965517 76.81034483],0
d1,1,0.00253,9.118737,[66 78] ; [69 37],[77.76 66.24] ; [57.24 48.76],0
n6,1,0.002834,8.911422,[111  33] ; [96  9],[119.71084337  24.28915663] ; [87.28915663 17.71084337],0
a2,1,0.002851,8.900473,[ 21 123] ; [32 74],[ 30.528 113.472] ; [22.472 83.528],0
a5,1,0.002956,8.834703,[97 47] ; [89 17],[107.136  36.864] ; [78.864 27.136],0
s1,1,0.003511,8.52103,[  2 139] ; [10 95],[  6.87804878 134.12195122] ; [ 5.12195122 99.87804878],0
p4,1,0.003932,8.315037,[52 91] ; [58 48],[63.17269076 79.82730924] ; [46.82730924 59.17269076],0
p6,1,0.009768,6.676652,[ 17 125] ; [26 80],[ 24.62096774 117.37903226] ; [18.37903226 87.62096774],0
b5,1,0.014596,5.964584,[83 61] ; [77 29],[92.16 51.84] ; [67.84 38.16],0
p9,1,0.016443,5.754909,[98 43] ; [87 18],[106.03658537  34.96341463] ; [78.96341463 26.03658537],0
r1,1,0.018096,5.586803,[96 48] ; [85 21],[104.256  39.744] ; [76.744 29.256],0
p5,1,0.048681,3.88631,[  6 138] ; [11 93],[  9.87096774 134.12903226] ; [ 7.12903226 96.87096774],0
r3,1,0.053701,3.721967,[118  24] ; [97  9],[123.10483871  18.89516129] ; [91.89516129 14.10483871],0
p3,1,0.060855,3.513925,[ 40 104] ; [41 64],[46.84337349 97.15662651] ; [34.15662651 70.84337349],0
d4,1,0.073045,3.213223,[105  38] ; [88 18],[110.83935743  32.16064257] ; [82.16064257 23.83935743],0
r2,1,0.075852,3.151609,[127  16] ; [99  5],[130.84210526  12.15789474] ; [95.15789474  8.84210526],0
b4,1,0.076426,3.139315,[96 48] ; [59 47],[89.28 54.72] ; [65.72 40.28],0
d5,1,0.104758,2.631578,[101  43] ; [84 22],[106.56  37.44] ; [78.44 27.56],0
d3,1,0.10753,2.590157,[82 62] ; [71 35],[88.128 55.872] ; [64.872 41.128],0
u3,1,0.122847,2.380645,[28 34] ; [13  7],[31. 31.] ; [10. 10.],0
p8,1,0.141019,2.166801,[ 29 114] ; [30 76],[ 33.88353414 109.11646586] ; [25.11646586 80.88353414],0
p2,1,0.143917,2.135565,[92 52] ; [77 29],[97.344 46.656] ; [71.656 34.344],0
r4,1,0.157344,1.999571,[112  32] ; [90 16],[116.352  27.648] ; [85.648 20.352],0
a4,1,0.174954,1.839971,[64 78] ; [57 49],[69.28225806 72.71774194] ; [51.71774194 54.28225806],0
s4,1,0.17756,1.817925,[ 17 125] ; [19 86],[ 20.69635628 121.30364372] ; [15.30364372 89.69635628],0
v2,1,0.190143,1.716513,[56 76] ; [54 52],[61.00840336 70.99159664] ; [48.99159664 57.00840336],0
v3,1,0.191149,1.708742,[41 95] ; [39 63],[45.71428571 90.28571429] ; [34.28571429 67.71428571],0
a1,1,0.203455,1.617397,[ 11 133] ; [  4 102],[  8.64 135.36] ; [ 6.36 99.64],0
n5,1,0.209954,1.571746,[114  29] ; [91 15],[117.73092369  25.26907631] ; [87.26907631 18.73092369],0
v1,1,0.229876,1.44163,[58 83] ; [48 50],[62.53556485 78.46443515] ; [43.46443515 54.53556485],0
a6,1,0.269255,1.220537,[98 46] ; [65 41],[93.888 50.112] ; [69.112 36.888],0
n1,1,0.330538,0.94679,[18 18] ; [18 11],[19.93846154 16.06153846] ; [16.06153846 12.93846154],0
b2,1,0.330873,0.945479,[35 44] ; [29 50],[32. 47.] ; [32. 47.],0
b3,1,0.330873,0.945479,[35 44] ; [29 50],[32. 47.] ; [32. 47.],0
p10,1,0.332047,0.940899,[95 47] ; [77 29],[98.48387097 43.51612903] ; [73.51612903 32.48387097],0
p11,1,0.411134,0.675519,[106  38] ; [73 33],[103.104  40.896] ; [75.896 30.104],0
n3,1,0.417793,0.656514,[24 12] ; [22  7],[25.47692308 10.52307692] ; [20.52307692  8.47692308],0
u4,1,0.423376,0.640924,[  3 141] ; [  4 102],[  4.032 139.968] ; [  2.968 103.032],0
u2,1,0.443613,0.58692,[34 28] ; [ 9 11],[32.51219512 29.48780488] ; [10.48780488  9.51219512],0
p12,1,0.597113,0.279372,[ 11 133] ; [10 95],[ 12.14457831 131.85542169] ; [ 8.85542169 96.14457831],0
a7,1,0.765773,0.088749,[97 46] ; [70 36],[95.90763052 47.09236948] ; [71.09236948 34.90763052],0
p1,1,0.819954,0.051804,[ 15 129] ; [12 94],[ 15.552 128.448] ; [11.448 94.552],0
n2,1,0.902524,0.015,[27 11] ; [21  8],[27.2238806 10.7761194] ; [20.7761194  8.2238806],0
a8,1,0.952368,0.003568,[ 17 119] ; [12 82],[ 17.14782609 118.85217391] ; [11.85217391 82.14782609],0
b1,1,0.963388,0.002107,[58 86] ; [43 63],[58.176 85.824] ; [42.824 63.176],0
