Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,199.292625,[  5 121] ; [389 147],[74.99093656 51.00906344] ; [319.00906344 216.99093656],1
d3,1,0.0,110.551009,[35 90] ; [412 124],[84.53101362 40.46898638] ; [362.46898638 173.53101362],1
d5,1,0.0,99.657984,[64 62] ; [477  59],[102.96978852  23.03021148] ; [438.03021148  97.96978852],1
a3,1,0.0,39.81886,[64 61] ; [421 113],[91.99544765 33.00455235] ; [393.00455235 140.99544765],1
a5,1,0.0,34.971681,[69 57] ; [429 107],[94.78549849 31.21450151] ; [403.21450151 132.78549849],1
d2,1,0.0,34.763854,[34 92] ; [300 234],[63.76363636 62.23636364] ; [270.23636364 263.76363636],1
a4,1,0.0,30.185991,[31 93] ; [280 255],[58.51896813 65.48103187] ; [252.48103187 282.51896813],1
a2,1,0.0,27.670259,[  9 117] ; [160 376],[32.16616314 93.83383686] ; [136.83383686 399.16616314],1
u1,1,0.0,26.058608,[  4 122] ; [124 412],[ 24.36253776 101.63746224] ; [103.63746224 432.36253776],1
s2,1,2e-05,18.174072,[44 79] ; [303 228],[65.26146789 57.73853211] ; [281.73853211 249.26146789],1
r3,1,0.000119,14.803074,[110  16] ; [513  21],[118.93636364   7.06363636] ; [504.06363636  29.93636364],1
r1,1,0.000196,13.869519,[87 37] ; [452  83],[101.42033384  22.57966616] ; [437.57966616  97.42033384],1
v2,1,0.000642,11.649382,[50 67] ; [311 207],[66.51496063 50.48503937] ; [294.48503937 223.51496063],1
a7,1,0.001219,10.461179,[75 51] ; [396 139],[89.78214826 36.21785174] ; [381.21785174 153.78214826],0
s8,1,0.001952,9.593751,[43 81] ; [267 266],[58.50837139 65.49162861] ; [251.49162861 281.50837139],0
p4,1,0.002685,9.00993,[65 60] ; [353 179],[79.5281583 45.4718417] ; [338.4718417 193.5281583],0
p2,1,0.004325,8.142158,[95 30] ; [460  73],[105.4331307  19.5668693] ; [449.5668693  83.4331307],0
v1,1,0.004719,7.984007,[58 65] ; [319 203],[71.89302326 51.10697674] ; [305.10697674 216.89302326],0
p9,1,0.010985,6.46768,[98 24] ; [470  59],[106.44546851  15.55453149] ; [461.55453149  67.44546851],0
s6,1,0.011379,6.405141,[74 48] ; [381 146],[85.53158706 36.46841294] ; [369.46841294 157.53158706],0
r2,1,0.016082,5.793838,[116  10] ; [514  17],[120.82191781   5.17808219] ; [509.17808219  21.82191781],0
p10,1,0.016867,5.710137,[95 27] ; [460  72],[103.53211009  18.46788991] ; [451.46788991  80.53211009],0
b3,1,0.018,5.596127,[21 54] ; [143 191],[30.07334963 44.92665037] ; [133.92665037 200.07334963],0
b2,1,0.018,5.596127,[21 54] ; [143 191],[30.07334963 44.92665037] ; [133.92665037 200.07334963],0
a1,1,0.018779,5.521943,[  1 125] ; [ 31 505],[  6.09063444 119.90936556] ; [ 25.90936556 510.09063444],0
r4,1,0.019463,5.459461,[110  16] ; [501  35],[116.29305136   9.70694864] ; [494.70694864  41.29305136],0
s7,1,0.020043,5.408171,[50 65] ; [285 229],[61.24801272 53.75198728] ; [273.75198728 240.24801272],0
n3,1,0.024783,5.039002,[28  4] ; [76 37],[22.95172414  9.04827586] ; [81.04827586 31.95172414],0
a6,1,0.030484,4.68181,[76 50] ; [376 159],[86.16036309 39.83963691] ; [365.83963691 169.16036309],0
s5,1,0.036807,4.359332,[33 89] ; [191 324],[42.9010989 79.0989011] ; [181.0989011 333.9010989],0
n6,1,0.043354,4.081556,[108  18] ; [490  45],[113.99092284  12.00907716] ; [484.00907716  50.99092284],0
u3,1,0.044904,4.022227,[28 34] ; [70 45],[34.32768362 27.67231638] ; [63.67231638 51.32768362],0
p8,1,0.048835,3.881018,[58 63] ; [304 222],[67.70015456 53.29984544] ; [294.29984544 231.70015456],0
u2,1,0.056237,3.64503,[28 34] ; [68 45],[34.01142857 27.98857143] ; [61.98857143 51.01142857],0
p6,1,0.059722,3.545094,[39 84] ; [216 312],[48.1797235 74.8202765] ; [206.8202765 321.1797235],0
n4,1,0.063502,3.443487,[104  21] ; [478  58],[110.06051437  14.93948563] ; [471.93948563  64.06051437],0
s3,1,0.073466,3.203834,[61 60] ; [315 216],[69.7791411 51.2208589] ; [306.2208589 224.7791411],0
p1,1,0.079597,3.073115,[ 16 109] ; [ 42 492],[ 11.00151745 113.99848255] ; [ 46.99848255 487.00151745],0
v3,1,0.111572,2.531809,[45 78] ; [230 287],[52.8515625 70.1484375] ; [222.1484375 294.8515625],0
u4,1,0.120803,2.406877,[  1 125] ; [ 18 518],[  3.6163142 122.3836858] ; [ 15.3836858 520.6163142],0
s1,1,0.142853,2.146953,[  6 115] ; [ 13 514],[  3.54783951 117.45216049] ; [ 15.45216049 511.54783951],0
p11,1,0.15482,2.024101,[97 29] ; [442  94],[102.58912387  23.41087613] ; [436.41087613  99.58912387],0
n2,1,0.179827,1.799051,[29  4] ; [88 26],[26.26530612  6.73469388] ; [90.73469388 23.26530612],0
p7,1,0.180108,1.796736,[74 48] ; [348 171],[80.31825273 41.68174727] ; [341.68174727 177.31825273],0
p3,1,0.185277,1.754783,[58 66] ; [285 249],[64.63829787 59.36170213] ; [278.36170213 255.63829787],0
a8,1,0.232124,1.427801,[ 13 101] ; [ 77 409],[17.1 96.9] ; [ 72.9 413.1],0
p12,1,0.297913,1.083512,[  8 116] ; [ 50 482],[ 10.96341463 113.03658537] ; [ 47.03658537 484.96341463],0
b4,1,0.322509,0.978746,[67 59] ; [311 225],[71.94561934 54.05438066] ; [306.05438066 229.94561934],0
b5,1,0.398745,0.712109,[71 55] ; [324 212],[75.18126888 50.81873112] ; [319.81873112 216.18126888],0
s4,1,0.514646,0.424609,[ 23 101] ; [ 85 442],[ 20.57142857 103.42857143] ; [ 87.42857143 439.57142857],0
b1,1,0.86065,0.030817,[49 77] ; [213 323],[49.86706949 76.13293051] ; [212.13293051 323.86706949],0
n1,1,0.959354,0.002597,[14 18] ; [48 63],[13.87412587 18.12587413] ; [48.12587413 62.87412587],0
p5,1,0.964909,0.001935,[ 17 107] ; [ 72 459],[ 16.84885496 107.15114504] ; [ 72.15114504 458.84885496],0
