Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,4e-06,21.164895,[10 79] ; [18 19],[19.77777778 69.22222222] ; [ 8.22222222 28.77777778],1
s6,1,0.004769,7.965044,[37 52] ; [25 11],[44.144 44.856] ; [17.856 18.144],0
s2,1,0.010695,6.515385,[28 62] ; [20 16],[34.28571429 55.71428571] ; [13.71428571 22.28571429],0
a3,1,0.037445,4.330072,[57 33] ; [16 21],[51.73228346 38.26771654] ; [21.26771654 15.73228346],0
p6,1,0.072159,3.233222,[ 7 82] ; [ 7 30],[ 9.88888889 79.11111111] ; [ 4.11111111 32.88888889],0
u3,1,0.108338,2.578304,[18 15] ; [16  5],[20.77777778 12.22222222] ; [13.22222222  7.77777778],0
r1,1,0.122001,2.391436,[60 30] ; [29  7],[63.57142857 26.42857143] ; [25.42857143 10.57142857],0
n1,1,0.14311,2.144194,[12 18] ; [ 3 13],[ 9.7826087 20.2173913] ; [ 5.2173913 10.7826087],0
b2,1,0.154964,2.022694,[20 26] ; [ 5 15],[17.42424242 28.57575758] ; [ 7.57575758 12.42424242],0
b3,1,0.154964,2.022694,[20 26] ; [ 5 15],[17.42424242 28.57575758] ; [ 7.57575758 12.42424242],0
v4,1,0.158554,1.987962,[73 16] ; [34  3],[75.57936508 13.42063492] ; [31.42063492  5.57936508],0
s5,1,0.168609,1.895265,[18 67] ; [11 22],[20.88983051 64.11016949] ; [ 8.11016949 24.88983051],0
d5,1,0.171299,1.871537,[68 22] ; [32  5],[70.86614173 19.13385827] ; [29.13385827  7.86614173],0
s8,1,0.177145,1.821416,[19 71] ; [12 25],[21.96850394 68.03149606] ; [ 9.03149606 27.96850394],0
n6,1,0.211779,1.559224,[45 45] ; [23 14],[48.18897638 41.81102362] ; [19.81102362 17.18897638],0
a7,1,0.232233,1.427134,[61 29] ; [29  8],[63.77952756 26.22047244] ; [26.22047244 10.77952756],0
a5,1,0.233383,1.420126,[48 42] ; [24 13],[51.02362205 38.97637795] ; [20.97637795 16.02362205],0
a4,1,0.276061,1.18638,[36 54] ; [11 26],[33.30708661 56.69291339] ; [13.69291339 23.30708661],0
d1,1,0.301428,1.067868,[42 48] ; [21 16],[44.64566929 45.35433071] ; [18.35433071 18.64566929],0
r3,1,0.317875,0.997672,[80 10] ; [35  2],[81.49606299  8.50393701] ; [33.50393701  3.49606299],0
p5,1,0.357102,0.848058,[ 2 87] ; [ 2 35],[ 2.82539683 86.17460317] ; [ 1.17460317 35.82539683],0
v2,1,0.392771,0.730348,[40 45] ; [20 16],[42.14876033 42.85123967] ; [17.85123967 18.14876033],0
s7,1,0.422008,0.644715,[25 58] ; [ 8 27],[23.21186441 59.78813559] ; [ 9.78813559 25.21186441],0
b5,1,0.462414,0.540046,[55 35] ; [20 17],[53.1496063 36.8503937] ; [21.8503937 15.1496063],0
p2,1,0.493788,0.468261,[50 40] ; [23 14],[51.73228346 38.26771654] ; [21.26771654 15.73228346],0
s4,1,0.528451,0.397369,[19 71] ; [ 6 31],[17.71653543 72.28346457] ; [ 7.28346457 29.71653543],0
r4,1,0.551811,0.354083,[66 24] ; [29  8],[67.32283465 22.67716535] ; [27.67716535  9.32283465],0
d3,1,0.569031,0.324307,[56 34] ; [25 12],[57.4015748 32.5984252] ; [23.5984252 13.4015748],0
p10,1,0.574179,0.315741,[44 44] ; [20 16],[45.41935484 42.58064516] ; [18.58064516 17.41935484],0
u1,1,0.580829,0.304896,[ 7 83] ; [ 4 33],[ 7.79527559 82.20472441] ; [ 3.20472441 33.79527559],0
n4,1,0.608833,0.261878,[36 54] ; [13 24],[34.72440945 55.27559055] ; [14.27559055 22.72440945],0
b4,1,0.608833,0.261878,[54 36] ; [24 13],[55.27559055 34.72440945] ; [22.72440945 14.27559055],0
b1,1,0.650333,0.205481,[33 57] ; [12 25],[31.88976378 58.11023622] ; [13.11023622 23.88976378],0
p11,1,0.665607,0.186783,[50 40] ; [19 18],[48.8976378 41.1023622] ; [20.1023622 16.8976378],0
n2,1,0.669501,0.182186,[18 12] ; [8 7],[17.33333333 12.66666667] ; [8.66666667 6.33333333],0
u2,1,0.696532,0.152105,[20 12] ; [12  9],[19.32075472 12.67924528] ; [12.67924528  8.32075472],0
a2,1,0.703079,0.145288,[10 80] ; [ 5 32],[10.62992126 79.37007874] ; [ 4.37007874 32.62992126],0
r2,1,0.735626,0.114009,[78 10] ; [32  5],[77.44 10.56] ; [32.56  4.44],0
p1,1,0.78619,0.073583,[ 6 83] ; [ 3 34],[ 6.35714286 82.64285714] ; [ 2.64285714 34.35714286],0
v1,1,0.806268,0.060144,[36 53] ; [15 20],[36.60483871 52.39516129] ; [14.39516129 20.60483871],0
s1,1,0.816591,0.053793,[ 4 86] ; [ 2 35],[ 4.2519685 85.7480315] ; [ 1.7480315 35.2519685],0
v3,1,0.817693,0.053136,[22 61] ; [10 25],[22.50847458 60.49152542] ; [ 9.49152542 25.50847458],0
a6,1,0.824778,0.049019,[53 37] ; [21 16],[52.44094488 37.55905512] ; [21.55905512 15.44094488],0
d4,1,0.832662,0.044643,[74 16] ; [31  6],[74.40944882 15.59055118] ; [30.59055118  6.40944882],0
