Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,84.606643,[83 18] ; [ 29 105],[48.13617021 52.86382979] ; [63.86382979 70.13617021],1
s6,1,0.0,57.932362,[84 16] ; [46 89],[55.31914894 44.68085106] ; [74.68085106 60.31914894],1
s7,1,0.0,25.517223,[50 45] ; [ 27 105],[32.2246696 62.7753304] ; [44.7753304 87.2246696],1
s8,1,1e-06,24.742819,[52 49] ; [ 28 108],[34.092827 66.907173] ; [45.907173 90.092827],1
s5,1,1e-06,24.048171,[42 52] ; [ 20 112],[25.78761062 68.21238938] ; [36.21238938 95.78761062],1
s4,1,2e-06,23.126318,[34 67] ; [ 12 125],[19.5210084 81.4789916] ; [ 26.4789916 110.5210084],1
u1,1,0.000163,14.210673,[20 81] ; [  6 131],[11.03361345 89.96638655] ; [ 14.96638655 122.03361345],1
p10,1,0.001132,10.598255,[76 22] ; [77 58],[64.35193133 33.64806867] ; [88.64806867 46.35193133],0
p9,1,0.012415,6.250562,[78 19] ; [89 47],[69.52360515 27.47639485] ; [97.47639485 38.52360515],0
a5,1,0.012906,6.181949,[72 29] ; [76 61],[62.80672269 38.19327731] ; [85.19327731 51.80672269],0
a2,1,0.013866,6.055097,[22 79] ; [ 14 123],[15.27731092 85.72268908] ; [ 20.72268908 116.27731092],0
u3,1,0.014007,6.037275,[30  8] ; [28 24],[24.48888889 13.51111111] ; [33.51111111 18.48888889],0
r3,1,0.014171,6.016768,[100   1] ; [126  11],[95.90756303  5.09243697] ; [130.09243697   6.90756303],0
d5,1,0.062597,3.467199,[82 18] ; [98 39],[75.94936709 24.05063291] ; [104.05063291  32.94936709],0
p4,1,0.065863,3.383237,[51 49] ; [53 83],[44.06779661 55.93220339] ; [59.93220339 76.06779661],0
p12,1,0.068106,3.328081,[ 7 92] ; [  3 133],[ 4.21276596 94.78723404] ; [  5.78723404 130.21276596],0
d2,1,0.079055,3.084216,[46 55] ; [47 90],[39.46638655 61.53361345] ; [53.53361345 83.46638655],0
a1,1,0.081382,3.037089,[ 8 93] ; [  4 133],[ 5.09243697 95.90756303] ; [  6.90756303 130.09243697],0
r4,1,0.096956,2.754908,[91 10] ; [113  24],[86.57142857 14.42857143] ; [117.42857143  19.57142857],0
n1,1,0.123006,2.378626,[10 18] ; [ 9 37],[ 7.18918919 20.81081081] ; [11.81081081 34.18918919],0
p6,1,0.13058,2.285596,[32 68] ; [ 30 100],[26.95652174 73.04347826] ; [35.04347826 94.95652174],0
d4,1,0.147618,2.09669,[87 14] ; [108  29],[82.75210084 18.24789916] ; [112.24789916  24.75210084],0
d1,1,0.15797,1.993556,[58 43] ; [66 71],[52.62184874 48.37815126] ; [71.37815126 65.62184874],0
v1,1,0.165851,1.920056,[42 55] ; [46 88],[36.95238095 60.04761905] ; [51.04761905 82.95238095],0
n2,1,0.189099,1.724625,[21  7] ; [27 18],[18.4109589  9.5890411] ; [29.5890411 15.4109589],0
p11,1,0.200387,1.639551,[62 39] ; [95 42],[66.62605042 34.37394958] ; [90.37394958 46.62605042],0
b3,1,0.272564,1.203798,[12 40] ; [24 51],[14.74015748 37.25984252] ; [21.25984252 53.74015748],0
b2,1,0.272564,1.203798,[12 40] ; [24 51],[14.74015748 37.25984252] ; [21.25984252 53.74015748],0
a4,1,0.298575,1.080549,[39 62] ; [44 93],[35.22268908 65.77731092] ; [47.77731092 89.22268908],0
n3,1,0.367083,0.813516,[22  6] ; [31 14],[20.32876712  7.67123288] ; [32.67123288 12.32876712],0
d3,1,0.367295,0.812797,[74 26] ; [94 43],[70.88607595 29.11392405] ; [97.11392405 39.88607595],0
p8,1,0.382047,0.764105,[37 63] ; [58 78],[40.25423729 59.74576271] ; [54.74576271 81.25423729],0
r2,1,0.419367,0.652089,[94  6] ; [124  12],[92.37288136  7.62711864] ; [125.62711864  10.37288136],0
n4,1,0.438014,0.60148,[37 64] ; [57 80],[39.8907563 61.1092437] ; [54.1092437 82.8907563],0
v2,1,0.485479,0.48653,[50 44] ; [64 68],[47.4159292 46.5840708] ; [66.5840708 65.4159292],0
p3,1,0.559369,0.340798,[42 58] ; [52 84],[39.83050847 60.16949153] ; [54.16949153 81.83050847],0
p2,1,0.597422,0.278902,[75 25] ; [106  30],[76.69491525 23.30508475] ; [104.30508475  31.69491525],0
r1,1,0.672957,0.178163,[72 28] ; [102  35],[73.41772152 26.58227848] ; [100.58227848  36.41772152],0
v3,1,0.696244,0.152409,[26 70] ; [38 91],[27.30666667 68.69333333] ; [36.69333333 92.30666667],0
p1,1,0.696455,0.152186,[ 8 92] ; [  9 126],[ 7.23404255 92.76595745] ; [  9.76595745 125.23404255],0
p5,1,0.700633,0.147815,[ 4 95] ; [  7 130],[ 4.61440678 94.38559322] ; [  6.38559322 130.61440678],0
u2,1,0.733484,0.115937,[24 14] ; [31 21],[23.22222222 14.77777778] ; [31.77777778 20.22222222],0
a3,1,0.741899,0.108465,[61 40] ; [85 51],[62.21940928 38.78059072] ; [83.78059072 52.21940928],0
p7,1,0.777542,0.07982,[52 45] ; [76 61],[53.05982906 43.94017094] ; [74.94017094 62.05982906],0
a6,1,0.802131,0.062795,[65 36] ; [86 51],[64.07983193 36.92016807] ; [86.92016807 50.07983193],0
b4,1,0.811123,0.057111,[62 39] ; [82 55],[61.1092437 39.8907563] ; [82.8907563 54.1092437],0
n6,1,0.812492,0.056269,[65 35] ; [87 50],[64.1350211 35.8649789] ; [87.8649789 49.1350211],0
s1,1,0.835744,0.04299,[ 5 96] ; [  6 131],[ 4.66806723 96.33193277] ; [  6.33193277 130.66806723],0
a8,1,0.853551,0.034073,[ 6 87] ; [  9 118],[ 6.34090909 86.65909091] ; [  8.65909091 118.34090909],0
b5,1,0.917814,0.010648,[62 39] ; [85 52],[62.38235294 38.61764706] ; [84.61764706 52.38235294],0
b1,1,0.925424,0.008762,[37 64] ; [51 86],[37.34453782 63.65546218] ; [50.65546218 86.34453782],0
a7,1,0.96173,0.002302,[74 26] ; [101  36],[73.83966245 26.16033755] ; [101.16033755  35.83966245],0
