Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,2e-06,22.339275,[ 10 119] ; [12 17],[ 17.96202532 111.03797468] ; [ 4.03797468 24.96202532],1
s4,1,0.00535,7.757142,[  7 122] ; [ 6 22],[ 10.68152866 118.31847134] ; [ 2.31847134 25.68152866],0
p3,1,0.006005,7.548753,[61 67] ; [22  7],[67.66878981 60.33121019] ; [15.33121019 13.66878981],0
p4,1,0.009183,6.786908,[65 61] ; [22  6],[71.18181818 54.81818182] ; [15.81818182 12.18181818],0
p1,1,0.009556,6.715864,[ 10 120] ; [ 7 22],[ 13.89937107 116.10062893] ; [ 3.10062893 25.89937107],0
p12,1,0.017518,5.643702,[  6 121] ; [ 5 24],[  8.95512821 118.04487179] ; [ 2.04487179 26.95512821],0
s8,1,0.033085,4.541356,[36 93] ; [14 15],[40.82278481 88.17721519] ; [ 9.17721519 19.82278481],0
b5,1,0.039542,4.237437,[85 45] ; [13 16],[80.12578616 49.87421384] ; [17.87421384 11.12578616],0
u2,1,0.051815,3.781731,[19 19] ; [7 1],[21.47826087 16.52173913] ; [4.52173913 3.47826087],0
s3,1,0.071293,3.253,[33 94] ; [ 3 26],[29.30769231 97.69230769] ; [ 6.69230769 22.30769231],0
u3,1,0.079384,3.077459,[16 23] ; [6 2],[18.25531915 20.74468085] ; [3.74468085 4.25531915],0
s6,1,0.087781,2.914597,[57 71] ; [18 11],[61.14649682 66.85350318] ; [13.85350318 15.14649682],0
p7,1,0.08907,2.891109,[79 47] ; [23  6],[82.91612903 43.08387097] ; [19.08387097  9.91612903],0
r1,1,0.093518,2.812747,[98 32] ; [26  3],[101.3836478  28.6163522] ; [22.6163522  6.3836478],0
u1,1,0.145193,2.122043,[ 14 116] ; [ 6 23],[ 16.35220126 113.64779874] ; [ 3.64779874 25.35220126],0
p10,1,0.151492,2.057166,[98 29] ; [25  3],[100.78064516  26.21935484] ; [22.21935484  5.78064516],0
p8,1,0.16347,1.941829,[64 61] ; [19 10],[67.37012987 57.62987013] ; [15.62987013 13.37012987],0
v2,1,0.163734,1.939398,[94 33] ; [25  4],[96.87820513 30.12179487] ; [22.12179487  6.87820513],0
a5,1,0.191443,1.706478,[87 43] ; [23  6],[89.93710692 40.06289308] ; [20.06289308  8.93710692],0
p6,1,0.210501,1.567981,[41 85] ; [13 16],[43.89677419 82.10322581] ; [10.10322581 18.89677419],0
v1,1,0.239677,1.382493,[80 49] ; [14 14],[77.23566879 51.76433121] ; [16.76433121 11.23566879],0
a1,1,0.319788,0.989812,[  7 123] ; [ 3 26],[  8.17610063 121.82389937] ; [ 1.82389937 27.17610063],0
r2,1,0.337685,0.9192,[120   7] ; [26  3],[118.85897436   8.14102564] ; [27.14102564  1.85897436],0
r4,1,0.353524,0.860768,[113  17] ; [27  2],[114.46540881  15.53459119] ; [25.53459119  3.46540881],0
