Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,8e-05,15.550319,[ 9 37] ; [98 91],[20.94468085 25.05531915] ; [ 86.05531915 102.94468085],1
p10,1,0.000666,11.581974,[29 17] ; [160  28],[37.15384615  8.84615385] ; [151.84615385  36.15384615],1
p9,1,0.001972,9.575265,[30 16] ; [160  28],[37.35042735  8.64957265] ; [152.64957265  35.35042735],0
v4,1,0.00309,8.753789,[39  7] ; [182   7],[43.25957447  2.74042553] ; [177.74042553  11.25957447],0
p4,1,0.003581,8.484852,[19 27] ; [123  67],[27.6779661 18.3220339] ; [114.3220339  75.6779661],0
a7,1,0.006187,7.494984,[26 20] ; [144  44],[33.41880342 12.58119658] ; [136.58119658  51.41880342],0
p7,1,0.006987,7.276363,[19 24] ; [124  63],[26.73478261 16.26521739] ; [116.26521739  70.73478261],0
n6,1,0.010215,6.597066,[31 15] ; [158  30],[37.15384615  8.84615385] ; [151.84615385  36.15384615],0
d3,1,0.011118,6.446432,[23 22] ; [134  55],[30.19230769 14.80769231] ; [126.80769231  62.19230769],0
s1,1,0.011639,6.365032,[ 6 39] ; [  7 181],[ 2.51072961 42.48927039] ; [ 10.48927039 177.51072961],0
p6,1,0.029856,4.717583,[ 9 36] ; [ 70 119],[15.19230769 29.80769231] ; [ 63.80769231 125.19230769],0
a6,1,0.034168,4.486254,[23 22] ; [129  61],[29.10638298 15.89361702] ; [122.89361702  67.10638298],0
n1,1,0.03821,4.295641,[8 6] ; [10 28],[4.84615385 9.15384615] ; [13.15384615 24.84615385],0
p11,1,0.04016,4.211098,[30 16] ; [151  39],[35.27966102 10.72033898] ; [145.72033898  44.27966102],0
p3,1,0.089922,2.875773,[16 30] ; [92 97],[21.14042553 24.85957447] ; [ 86.85957447 102.14042553],0
r4,1,0.093837,2.807284,[37  9] ; [170  20],[40.34745763  5.65254237] ; [166.65254237  23.34745763],0
s8,1,0.133827,2.247541,[21 25] ; [110  80],[25.53389831 20.46610169] ; [105.46610169  84.53389831],0
n5,1,0.140512,2.172345,[31 15] ; [147  42],[34.84255319 11.15744681] ; [143.15744681  45.84255319],0
d5,1,0.14479,2.126301,[32 13] ; [153  36],[35.57692308  9.42307692] ; [149.42307692  39.57692308],0
d4,1,0.168948,1.892255,[34 11] ; [160  30],[37.14893617  7.85106383] ; [156.85106383  33.14893617],0
n4,1,0.174085,1.847409,[32 14] ; [150  40],[35.47457627 10.52542373] ; [146.52542373  43.47457627],0
a5,1,0.180014,1.797505,[28 18] ; [135  55],[31.77118644 14.22881356] ; [131.22881356  58.77118644],0
u1,1,0.208206,1.583854,[12 34] ; [ 34 156],[ 8.96610169 37.03389831] ; [ 37.03389831 152.96610169],0
d1,1,0.216995,1.524136,[24 22] ; [118  72],[27.6779661 18.3220339] ; [114.3220339  75.6779661],0
a8,1,0.225546,1.468734,[ 5 40] ; [ 33 143],[ 7.73755656 37.26244344] ; [ 30.26244344 145.73755656],0
r2,1,0.226743,1.461178,[41  5] ; [177  11],[42.85470085  3.14529915] ; [175.14529915  12.85470085],0
n2,1,0.236689,1.400206,[12  3] ; [24 14],[10.18867925  4.81132075] ; [25.81132075 12.18867925],0
u4,1,0.285141,1.142423,[ 3 43] ; [  6 184],[ 1.75423729 44.24576271] ; [  7.24576271 182.75423729],0
a2,1,0.323201,0.975951,[ 8 38] ; [ 46 144],[10.52542373 35.47457627] ; [ 43.47457627 146.52542373],0
p12,1,0.350372,0.872111,[ 2 44] ; [ 16 174],[ 3.50847458 42.49152542] ; [ 14.49152542 175.50847458],0
b1,1,0.366421,0.815765,[23 23] ; [ 81 109],[20.27118644 25.72881356] ; [ 83.72881356 106.27118644],0
a1,1,0.376555,0.78192,[ 4 42] ; [ 10 180],[ 2.72881356 43.27118644] ; [ 11.27118644 178.72881356],0
s7,1,0.389198,0.741447,[23 19] ; [114  70],[25.46017699 16.53982301] ; [111.53982301  72.46017699],0
r3,1,0.395782,0.721104,[43  3] ; [182   7],[44.04255319  1.95744681] ; [180.95744681   8.04255319],0
p1,1,0.403795,0.696997,[ 2 44] ; [ 15 175],[ 3.31355932 42.68644068] ; [ 13.68644068 176.31355932],0
u2,1,0.492923,0.47014,[9 4] ; [33 23],[7.91304348 5.08695652] ; [34.08695652 21.91304348],0
d2,1,0.502631,0.449376,[25 20] ; [95 95],[22.9787234 22.0212766] ; [97.0212766 92.9787234],0
s3,1,0.598151,0.277793,[37  9] ; [159  31],[38.20338983  7.79661017] ; [157.79661017  32.20338983],0
b4,1,0.627831,0.235013,[27 19] ; [104  86],[25.53389831 20.46610169] ; [105.46610169  84.53389831],0
