Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,5.4e-05,16.295289,[12  3] ; [ 3 19],[6.08108108 8.91891892] ; [ 8.91891892 13.08108108],1
d3,1,0.00053,12.008522,[14  1] ; [ 8 14],[8.91891892 6.08108108] ; [13.08108108  8.91891892],1
a4,1,0.001256,10.406116,[10  5] ; [ 3 18],[5.41666667 9.58333333] ; [ 7.58333333 13.41666667],0
a5,1,0.011156,6.440354,[13  2] ; [10 12],[9.32432432 5.67567568] ; [13.67567568  8.32432432],0
v2,1,0.01117,6.438095,[7 8] ; [ 2 19],[ 3.75 11.25] ; [ 5.25 15.75],0
n4,1,0.021803,5.261432,[13  2] ; [11 11],[9.72972973 5.27027027] ; [14.27027027  7.72972973],0
s5,1,0.043343,4.081983,[7 7] ; [ 4 18],[4.27777778 9.72222222] ; [ 6.72222222 15.27777778],0
p5,1,0.049112,3.871537,[5 9] ; [ 2 20],[ 2.72222222 11.27777778] ; [ 4.27777778 17.72222222],0
a2,1,0.053305,3.734337,[ 4 11] ; [ 1 21],[ 2.02702703 12.97297297] ; [ 2.97297297 19.02702703],0
p3,1,0.055982,3.652597,[9 5] ; [ 7 15],[6.22222222 7.77777778] ; [ 9.77777778 12.22222222],0
p6,1,0.062719,3.463997,[7 8] ; [ 4 18],[ 4.45945946 10.54054054] ; [ 6.54054054 15.45945946],0
n6,1,0.064695,3.412733,[12  3] ; [11 11],[9.32432432 5.67567568] ; [13.67567568  8.32432432],0
p10,1,0.068055,3.329323,[14  1] ; [15  7],[11.75675676  3.24324324] ; [17.24324324  4.75675676],0
r1,1,0.070197,3.278398,[10  5] ; [ 8 14],[7.2972973 7.7027027] ; [10.7027027 11.2972973],0
s7,1,0.090969,2.857143,[8 6] ; [ 6 15],[5.6 8.4] ; [ 8.4 12.6],0
a7,1,0.092842,2.824387,[11  4] ; [10 12],[8.51351351 6.48648649] ; [12.48648649  9.51351351],0
v4,1,0.116126,2.468802,[14  1] ; [16  6],[12.16216216  2.83783784] ; [17.83783784  4.16216216],0
n5,1,0.121447,2.398563,[13  2] ; [14  8],[10.94594595  4.05405405] ; [16.05405405  5.94594595],0
r4,1,0.126699,2.332495,[7 8] ; [ 5 17],[ 4.86486486 10.13513514] ; [ 7.13513514 14.86486486],0
a3,1,0.151494,2.057143,[12  3] ; [12  9],[10.  5.] ; [14.  7.],0
s4,1,0.154441,2.027827,[ 4 11] ; [ 2 20],[ 2.43243243 12.56756757] ; [ 3.56756757 18.43243243],0
s8,1,0.225038,1.47195,[7 8] ; [ 6 16],[5.27027027 9.72972973] ; [ 7.72972973 14.27027027],0
s2,1,0.225038,1.47195,[7 8] ; [ 6 16],[5.27027027 9.72972973] ; [ 7.72972973 14.27027027],0
b3,1,0.2253,1.470289,[ 2 10] ; [5 8],[3.36 8.64] ; [3.64 9.36],0
b2,1,0.2253,1.470289,[ 2 10] ; [5 8],[3.36 8.64] ; [3.64 9.36],0
n2,1,0.252136,1.311429,[6 1] ; [6 4],[4.94117647 2.05882353] ; [7.05882353 2.94117647],0
s6,1,0.253995,1.301196,[9 6] ; [ 9 13],[7.2972973 7.7027027] ; [10.7027027 11.2972973],0
p12,1,0.336309,0.92445,[ 2 13] ; [ 1 21],[ 1.21621622 13.78378378] ; [ 1.78378378 20.21621622],0
p8,1,0.38479,0.755343,[9 6] ; [10 12],[7.7027027 7.2972973] ; [11.2972973 10.7027027],0
a6,1,0.38479,0.755343,[9 6] ; [10 12],[7.7027027 7.2972973] ; [11.2972973 10.7027027],0
p4,1,0.38479,0.755343,[9 6] ; [10 12],[7.7027027 7.2972973] ; [11.2972973 10.7027027],0
p11,1,0.45655,0.55434,[7 8] ; [13  9],[8.10810811 6.89189189] ; [11.89189189 10.10810811],0
a1,1,0.502651,0.449334,[ 1 14] ; [ 3 19],[ 1.62162162 13.37837838] ; [ 2.37837838 19.62162162],0
b4,1,0.536158,0.382707,[11  4] ; [14  8],[10.13513514  4.86486486] ; [14.86486486  7.13513514],0
s3,1,0.563293,0.334035,[7 8] ; [ 7 12],[6.17647059 8.82352941] ; [ 7.82352941 11.17647059],0
u3,1,0.611541,0.257937,[1 2] ; [5 5],[1.38461538 1.61538462] ; [4.61538462 5.38461538],0
u2,1,0.611541,0.257937,[1 2] ; [5 5],[1.38461538 1.61538462] ; [4.61538462 5.38461538],0
v1,1,0.637809,0.22162,[7 8] ; [12 10],[7.7027027 7.2972973] ; [11.2972973 10.7027027],0
b5,1,0.640854,0.217627,[10  5] ; [13  9],[9.32432432 5.67567568] ; [13.67567568  8.32432432],0
p7,1,0.64266,0.21528,[6 7] ; [ 8 13],[5.35294118 7.64705882] ; [ 8.64705882 12.35294118],0
n3,1,0.771519,0.084325,[4 3] ; [5 5],[3.70588235 3.29411765] ; [5.29411765 4.70588235],0
n1,1,0.771519,0.084325,[4 3] ; [5 5],[3.70588235 3.29411765] ; [5.29411765 4.70588235],0
s1,1,0.790827,0.070351,[ 1 14] ; [ 2 20],[ 1.21621622 13.78378378] ; [ 1.78378378 20.21621622],0
r2,1,0.810366,0.057578,[11  3] ; [18  4],[11.27777778  2.72222222] ; [17.72222222  4.27777778],0
b1,1,0.822818,0.050141,[9 6] ; [14  8],[9.32432432 5.67567568] ; [13.67567568  8.32432432],0
p1,1,0.889735,0.019221,[ 3 12] ; [ 4 18],[ 2.83783784 12.16216216] ; [ 4.16216216 17.83783784],0
