Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000151,14.359091,[ 2 38] ; [6 6],[ 6.15384615 33.84615385] ; [ 1.84615385 10.15384615],1
s5,1,0.000186,13.970259,[ 2 37] ; [6 6],[ 6.11764706 32.88235294] ; [ 1.88235294 10.11764706],1
s2,1,0.000642,11.649612,[ 3 37] ; [6 6],[ 6.92307692 33.07692308] ; [2.07692308 9.92307692],1
s4,1,0.000949,10.923611,[ 5 35] ; [7 5],[ 9.23076923 30.76923077] ; [2.76923077 9.23076923],1
n6,1,0.003424,8.566501,[17 22] ; [11  1],[21.41176471 17.58823529] ; [6.58823529 5.41176471],0
p2,1,0.00533,7.764055,[12 28] ; [9 3],[16.15384615 23.84615385] ; [4.84615385 7.15384615],0
d2,1,0.006546,7.393491,[15 24] ; [10  2],[19.11764706 19.88235294] ; [5.88235294 6.11764706],0
s7,1,0.009951,6.643735,[ 5 31] ; [6 6],[ 8.25 27.75] ; [2.75 9.25],0
p11,1,0.010149,6.608529,[ 8 32] ; [7 5],[11.53846154 28.46153846] ; [3.46153846 8.53846154],0
s8,1,0.024547,5.055556,[ 5 35] ; [5 7],[ 7.69230769 32.30769231] ; [2.30769231 9.69230769],0
n4,1,0.040267,4.206611,[24 16] ; [11  1],[26.92307692 13.07692308] ; [8.07692308 3.92307692],0
p6,1,0.054576,3.694991,[ 4 35] ; [4 8],[ 6.11764706 32.88235294] ; [ 1.88235294 10.11764706],0
v4,1,0.056236,3.645059,[21 19] ; [10  2],[23.84615385 16.15384615] ; [7.15384615 4.84615385],0
u2,1,0.062579,3.467692,[ 6 12] ; [4 1],[ 7.82608696 10.17391304] ; [2.17391304 2.82608696],0
v2,1,0.072654,3.222026,[ 5 34] ; [4 7],[ 7.02 31.98] ; [1.98 9.02],0
p9,1,0.074091,3.189968,[11 26] ; [7 5],[13.59183673 23.40816327] ; [4.40816327 7.59183673],0
p3,1,0.081389,3.036944,[ 7 33] ; [5 7],[ 9.23076923 30.76923077] ; [2.76923077 9.23076923],0
p10,1,0.084162,2.982635,[12 27] ; [7 5],[14.52941176 24.47058824] ; [4.47058824 7.52941176],0
n2,1,0.104205,2.639985,[ 8 14] ; [5 2],[ 9.86206897 12.13793103] ; [3.13793103 3.86206897],0
u3,1,0.104355,2.637698,[ 4 14] ; [3 2],[ 5.47826087 12.52173913] ; [1.52173913 3.47826087],0
p4,1,0.111772,2.528984,[10 29] ; [6 6],[12.23529412 26.76470588] ; [3.76470588 8.23529412],0
s3,1,0.125202,2.351006,[10 28] ; [6 6],[12.16 25.84] ; [3.84 8.16],0
n5,1,0.128452,2.311111,[28 12] ; [11  1],[30. 10.] ; [9. 3.],0
r1,1,0.148513,2.087455,[14 26] ; [7 5],[16.15384615 23.84615385] ; [4.84615385 7.15384615],0
b4,1,0.166459,1.914545,[21 19] ; [9 3],[23.07692308 16.92307692] ; [6.92307692 5.07692308],0
n3,1,0.171857,1.866667,[ 6 15] ; [4 3],[ 7.5 13.5] ; [2.5 4.5],0
p1,1,0.181799,1.782857,[ 4 36] ; [3 9],[ 5.38461538 34.61538462] ; [ 1.61538462 10.38461538],0
d1,1,0.26953,1.219139,[13 27] ; [6 6],[14.61538462 25.38461538] ; [4.38461538 7.61538462],0
b2,1,0.299625,1.075862,[11 18] ; [2 8],[ 9.66666667 19.33333333] ; [3.33333333 6.66666667],0
b3,1,0.299625,1.075862,[11 18] ; [2 8],[ 9.66666667 19.33333333] ; [3.33333333 6.66666667],0
b5,1,0.334564,0.931151,[17 23] ; [7 5],[18.46153846 21.53846154] ; [5.53846154 6.46153846],0
s1,1,0.344806,0.892482,[ 3 37] ; [ 2 10],[ 3.84615385 36.15384615] ; [ 1.15384615 10.84615385],0
p12,1,0.356741,0.849333,[ 1 39] ; [ 1 11],[ 1.53846154 38.46153846] ; [ 0.46153846 11.53846154],0
d5,1,0.386152,0.751024,[21 19] ; [8 4],[22.30769231 17.69230769] ; [6.69230769 5.30769231],0
a6,1,0.386152,0.751024,[19 21] ; [4 8],[17.69230769 22.30769231] ; [5.30769231 6.69230769],0
p8,1,0.475896,0.508253,[ 9 30] ; [4 8],[ 9.94117647 29.05882353] ; [3.05882353 8.94117647],0
a4,1,0.483756,0.490385,[12 27] ; [5 7],[13. 26.] ; [4. 8.],0
a1,1,0.552888,0.352169,[ 6 34] ; [ 1 11],[ 5.38461538 34.61538462] ; [ 1.61538462 10.38461538],0
v3,1,0.627691,0.235205,[ 5 35] ; [2 9],[ 5.49019608 34.50980392] ; [1.50980392 9.49019608],0
p7,1,0.63693,0.222779,[10 28] ; [4 8],[10.64 27.36] ; [3.36 8.64],0
p5,1,0.67987,0.170272,[ 2 37] ; [ 1 11],[ 2.29411765 36.70588235] ; [ 0.70588235 11.29411765],0
b1,1,0.760576,0.092857,[22 18] ; [6 6],[21.53846154 18.46153846] ; [6.46153846 5.53846154],0
r2,1,0.778505,0.079111,[23 14] ; [8 4],[23.40816327 13.59183673] ; [7.59183673 4.40816327],0
d4,1,0.838424,0.041579,[22 18] ; [7 5],[22.30769231 17.69230769] ; [6.69230769 5.30769231],0
d3,1,0.838424,0.041579,[18 22] ; [5 7],[17.69230769 22.30769231] ; [5.30769231 6.69230769],0
a3,1,0.906366,0.013835,[22 17] ; [7 5],[22.17647059 16.82352941] ; [6.82352941 5.17647059],0
