Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.004812,7.948743,[13  5] ; [1 7],[9.69230769 8.30769231] ; [4.30769231 3.69230769],0
p2,1,0.019437,5.461806,[15  3] ; [3 5],[12.46153846  5.53846154] ; [5.53846154 2.46153846],0
n2,1,0.030754,4.666667,[6 2] ; [1 5],[4. 4.] ; [3. 3.],0
p7,1,0.032189,4.588426,[12  5] ; [2 6],[9.52 7.48] ; [4.48 3.52],0
p8,1,0.061972,3.483818,[10  8] ; [1 6],[ 7.92 10.08] ; [3.08 3.92],0
a6,1,0.069676,3.290625,[9 9] ; [1 7],[ 6.92307692 11.07692308] ; [3.07692308 4.92307692],0
v1,1,0.115078,2.483069,[ 2 16] ; [3 5],[ 3.46153846 14.53846154] ; [1.53846154 6.46153846],0
p10,1,0.164725,1.930303,[12  6] ; [3 5],[10.38461538  7.61538462] ; [4.61538462 3.38461538],0
s6,1,0.164725,1.930303,[12  6] ; [3 5],[10.38461538  7.61538462] ; [4.61538462 3.38461538],0
p4,1,0.233703,1.418182,[9 9] ; [2 6],[ 7.61538462 10.38461538] ; [3.38461538 4.61538462],0
b3,1,0.260531,1.265934,[ 2 11] ; [2 3],[ 2.88888889 10.11111111] ; [1.11111111 3.88888889],0
b2,1,0.260531,1.265934,[ 2 11] ; [2 3],[ 2.88888889 10.11111111] ; [1.11111111 3.88888889],0
b1,1,0.26501,1.242394,[ 7 11] ; [5 3],[8.30769231 9.69230769] ; [3.69230769 4.30769231],0
s3,1,0.26501,1.242394,[11  7] ; [3 5],[9.69230769 8.30769231] ; [4.30769231 3.69230769],0
s2,1,0.26501,1.242394,[11  7] ; [3 5],[9.69230769 8.30769231] ; [4.30769231 3.69230769],0
r3,1,0.26501,1.242394,[11  7] ; [3 5],[9.69230769 8.30769231] ; [4.30769231 3.69230769],0
d4,1,0.271644,1.208424,[13  5] ; [4 4],[11.76923077  6.23076923] ; [5.23076923 2.76923077],0
b4,1,0.346912,0.884722,[ 8 10] ; [2 6],[ 6.92307692 11.07692308] ; [3.07692308 4.92307692],0
s8,1,0.393454,0.728241,[ 5 13] ; [1 7],[ 4.15384615 13.84615385] ; [1.84615385 6.15384615],0
p9,1,0.395416,0.722222,[10  8] ; [3 5],[9. 9.] ; [4. 4.],0
a3,1,0.395416,0.722222,[ 8 10] ; [5 3],[9. 9.] ; [4. 4.],0
s7,1,0.40905,0.681561,[11  7] ; [3 4],[10.08  7.92] ; [3.92 3.08],0
p11,1,0.420113,0.65,[12  6] ; [4 4],[11.07692308  6.92307692] ; [4.92307692 3.07692308],0
d3,1,0.420113,0.65,[12  6] ; [4 4],[11.07692308  6.92307692] ; [4.92307692 3.07692308],0
b5,1,0.420113,0.65,[12  6] ; [4 4],[11.07692308  6.92307692] ; [4.92307692 3.07692308],0
s5,1,0.432738,0.615463,[ 4 11] ; [1 7],[ 3.26086957 11.73913043] ; [1.73913043 6.26086957],0
v3,1,0.539667,0.376157,[ 1 17] ; [1 7],[ 1.38461538 16.61538462] ; [0.61538462 7.38461538],0
d2,1,0.596613,0.280135,[ 7 11] ; [4 4],[ 7.61538462 10.38461538] ; [3.38461538 4.61538462],0
n6,1,0.596613,0.280135,[11  7] ; [4 4],[10.38461538  7.61538462] ; [4.61538462 3.38461538],0
d5,1,0.596613,0.280135,[11  7] ; [4 4],[10.38461538  7.61538462] ; [4.61538462 3.38461538],0
v2,1,0.606759,0.264922,[ 6 11] ; [2 6],[ 5.44 11.56] ; [2.56 5.44],0
u3,1,0.611541,0.257937,[5 5] ; [2 1],[5.38461538 4.61538462] ; [1.61538462 1.38461538],0
r1,1,0.618757,0.247619,[ 3 15] ; [2 6],[ 3.46153846 14.53846154] ; [1.53846154 6.46153846],0
a4,1,0.620079,0.245756,[ 5 13] ; [3 5],[ 5.53846154 12.46153846] ; [2.46153846 5.53846154],0
n3,1,0.639994,0.21875,[5 3] ; [3 3],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
n1,1,0.732678,0.116667,[2 6] ; [2 4],[2.28571429 5.71428571] ; [1.71428571 4.28571429],0
a5,1,0.740797,0.109428,[ 8 10] ; [3 5],[ 7.61538462 10.38461538] ; [3.38461538 4.61538462],0
n4,1,0.793117,0.068783,[10  8] ; [4 4],[9.69230769 8.30769231] ; [4.30769231 3.69230769],0
n5,1,0.836701,0.042484,[12  6] ; [5 3],[11.76923077  6.23076923] ; [5.23076923 2.76923077],0
d1,1,0.836701,0.042484,[ 6 12] ; [3 5],[ 6.23076923 11.76923077] ; [2.76923077 5.23076923],0
r2,1,0.851054,0.035259,[9 8] ; [4 3],[9.20833333 7.79166667] ; [3.79166667 3.20833333],0
p3,1,0.946434,0.004514,[ 7 11] ; [3 5],[ 6.92307692 11.07692308] ; [3.07692308 4.92307692],0
