Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.000366,12.699153,[28  5] ; [11 16],[21.45 11.55] ; [17.55  9.45],1
p10,1,0.000845,11.138827,[29  3] ; [14 13],[23.3220339  8.6779661] ; [19.6779661  7.3220339],1
p3,1,0.00097,10.88441,[25  8] ; [ 9 18],[18.7 14.3] ; [15.3 11.7],1
p9,1,0.001654,9.89899,[30  3] ; [15 12],[24.75  8.25] ; [20.25  6.75],0
r1,1,0.001654,9.89899,[30  3] ; [15 12],[24.75  8.25] ; [20.25  6.75],0
v3,1,0.008324,6.962447,[17 16] ; [ 5 22],[12.1 20.9] ; [ 9.9 17.1],0
p4,1,0.013306,6.127946,[26  7] ; [13 14],[21.45 11.55] ; [17.55  9.45],0
a3,1,0.022097,5.238095,[22 11] ; [10 17],[17.6 15.4] ; [14.4 12.6],0
a4,1,0.023413,5.137613,[ 8 24] ; [ 1 26],[ 4.88135593 27.11864407] ; [ 4.11864407 22.88135593],0
a7,1,0.025754,4.972452,[28  5] ; [16 11],[24.2  8.8] ; [19.8  7.2],0
p12,1,0.047883,3.914095,[ 9 24] ; [ 2 25],[ 6.05 26.95] ; [ 4.95 22.05],0
p8,1,0.053708,3.721759,[27  6] ; [16 11],[23.65  9.35] ; [19.35  7.65],0
s5,1,0.07306,3.212897,[14 18] ; [ 5 19],[10.85714286 21.14285714] ; [ 8.14285714 15.85714286],0
d3,1,0.087141,2.926407,[17 16] ; [ 8 19],[13.75 19.25] ; [11.25 15.75],0
p2,1,0.091652,2.845118,[29  4] ; [19  8],[26.4  6.6] ; [21.6  5.4],0
b1,1,0.113233,2.508511,[19 14] ; [10 17],[15.95 17.05] ; [13.05 13.95],0
r4,1,0.134796,2.23638,[31  2] ; [22  5],[29.15  3.85] ; [23.85  3.15],0
n6,1,0.156439,2.008318,[30  3] ; [21  6],[28.05  4.95] ; [22.95  4.05],0
v2,1,0.162292,1.952739,[20 13] ; [11 15],[17.33898305 15.66101695] ; [13.66101695 12.33898305],0
s2,1,0.16548,1.923418,[20 12] ; [12 15],[17.3559322 14.6440678] ; [14.6440678 12.3559322],0
p11,1,0.17565,1.834052,[28  5] ; [19  8],[25.85  7.15] ; [21.15  5.85],0
n4,1,0.17753,1.818182,[27  6] ; [18  9],[24.75  8.25] ; [20.25  6.75],0
b3,1,0.179712,1.8,[10  8] ; [ 6 12],[ 8. 10.] ; [ 8. 10.],0
b2,1,0.179712,1.8,[10  8] ; [ 6 12],[ 8. 10.] ; [ 8. 10.],0
s7,1,0.181105,1.788537,[21 11] ; [12 13],[18.52631579 13.47368421] ; [14.47368421 10.52631579],0
a8,1,0.206396,1.596528,[ 3 27] ; [ 6 21],[ 4.73684211 25.26315789] ; [ 4.26315789 22.73684211],0
n5,1,0.296938,1.087898,[27  6] ; [19  8],[25.3  7.7] ; [20.7  6.3],0
d4,1,0.334552,0.931197,[13 20] ; [14 13],[14.85 18.15] ; [12.15 14.85],0
u3,1,0.39033,0.737913,[7 4] ; [8 9],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
r3,1,0.405268,0.692641,[30  3] ; [26  1],[30.8  2.2] ; [25.2  1.8],0
p1,1,0.425099,0.636175,[ 9 24] ; [ 5 22],[ 7.7 25.3] ; [ 6.3 20.7],0
s6,1,0.447246,0.577622,[21 12] ; [14 12],[19.57627119 13.42372881] ; [15.42372881 10.57627119],0
s1,1,0.455691,0.556458,[ 1 31] ; [ 2 25],[ 1.62711864 30.37288136] ; [ 1.37288136 25.62711864],0
b5,1,0.471194,0.519175,[19 14] ; [18  9],[20.35 12.65] ; [16.65 10.35],0
v4,1,0.481321,0.495868,[31  2] ; [24  3],[30.25  2.75] ; [24.75  2.25],0
v1,1,0.510569,0.4329,[15 18] ; [10 17],[13.75 19.25] ; [11.25 15.75],0
s8,1,0.510569,0.4329,[15 18] ; [10 17],[13.75 19.25] ; [11.25 15.75],0
d2,1,0.592366,0.286664,[ 8 25] ; [ 5 22],[ 7.15 25.85] ; [ 5.85 21.15],0
p5,1,0.653095,0.20202,[ 9 24] ; [ 6 21],[ 8.25 24.75] ; [ 6.75 20.25],0
n2,1,0.77816,0.079365,[3 1] ; [4 2],[2.8 1.2] ; [4.2 1.8],0
s4,1,0.79525,0.06734,[ 7 26] ; [ 5 22],[ 6.6 26.4] ; [ 5.4 21.6],0
s3,1,0.799279,0.064658,[20 12] ; [16 11],[19.52542373 12.47457627] ; [16.47457627 10.52542373],0
u2,1,0.823218,0.049911,[6 5] ; [10  7],[6.28571429 4.71428571] ; [9.71428571 7.28571429],0
r2,1,0.83518,0.04329,[31  2] ; [25  2],[30.8  2.2] ; [25.2  1.8],0
b4,1,0.937635,0.006122,[18 15] ; [15 12],[18.15 14.85] ; [14.85 12.15],0
p7,1,0.980276,0.000611,[28  5] ; [22  4],[27.96610169  5.03389831] ; [22.03389831  3.96610169],0
n1,1,1.0,0.0,[2 2] ; [3 3],[2. 2.] ; [3. 3.],0
