Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.9e-05,18.294718,[76  6] ; [17 12],[68.7027027 13.2972973] ; [24.2972973  4.7027027],1
r4,1,0.000383,12.611094,[65 18] ; [13 17],[57.2920354 25.7079646] ; [20.7079646  9.2920354],1
p10,1,0.000911,11.001245,[54 25] ; [10 20],[46.3853211 32.6146789] ; [17.6146789 12.3853211],1
p11,1,0.003866,8.345617,[58 25] ; [12 18],[51.4159292 31.5840708] ; [18.5840708 11.4159292],0
r3,1,0.004011,8.278759,[68 14] ; [17 13],[62.23214286 19.76785714] ; [22.76785714  7.23214286],0
a1,1,0.005498,7.707826,[ 2 81] ; [ 5 25],[ 5.14159292 77.85840708] ; [ 1.85840708 28.14159292],0
p9,1,0.009994,6.636032,[56 24] ; [13 17],[50.18181818 29.81818182] ; [18.81818182 11.18181818],0
s7,1,0.031605,4.619817,[31 48] ; [ 5 24],[26.33333333 52.66666667] ; [ 9.66666667 19.33333333],0
n5,1,0.033188,4.536069,[64 19] ; [17 13],[59.49557522 23.50442478] ; [21.50442478  8.49557522],0
p2,1,0.033248,4.532979,[61 21] ; [16 14],[56.375 25.625] ; [20.625  9.375],0
p4,1,0.040932,4.178824,[40 43] ; [ 8 22],[35.25663717 47.74336283] ; [12.74336283 17.25663717],0
s6,1,0.056316,3.642696,[43 37] ; [10 20],[38.54545455 41.45454545] ; [14.45454545 15.54545455],0
s2,1,0.076043,3.147517,[31 51] ; [ 6 24],[27.08928571 54.91071429] ; [ 9.91071429 20.08928571],0
p3,1,0.076043,3.147517,[31 51] ; [ 6 24],[27.08928571 54.91071429] ; [ 9.91071429 20.08928571],0
s5,1,0.08496,2.967363,[17 64] ; [ 2 27],[13.99090909 67.00909091] ; [ 5.00909091 23.99090909],0
p7,1,0.098511,2.729484,[44 37] ; [11 19],[40.13513514 40.86486486] ; [14.86486486 15.13513514],0
s8,1,0.143552,2.139467,[25 57] ; [ 5 25],[21.96428571 60.03571429] ; [ 8.03571429 21.96428571],0
n3,1,0.148731,2.085217,[19  5] ; [8 6],[17.05263158  6.94736842] ; [9.94736842 4.05263158],0
b2,1,0.158187,1.991477,[10 42] ; [ 7 13],[12.27777778 39.72222222] ; [ 4.72222222 15.27777778],0
b3,1,0.158187,1.991477,[10 42] ; [ 7 13],[12.27777778 39.72222222] ; [ 4.72222222 15.27777778],0
n4,1,0.161071,1.964139,[58 24] ; [17 13],[54.91071429 27.08928571] ; [20.08928571  9.91071429],0
p8,1,0.171109,1.873203,[34 47] ; [ 8 21],[30.92727273 50.07272727] ; [11.07272727 17.92727273],0
d5,1,0.178906,1.806685,[39 43] ; [10 20],[35.875 46.125] ; [13.125 16.875],0
u2,1,0.209527,1.57469,[12 31] ; [ 8 10],[14.09836066 28.90163934] ; [ 5.90163934 12.09836066],0
n2,1,0.230804,1.435897,[18  7] ; [8 7],[16.25  8.75] ; [9.75 5.25],0
s3,1,0.256997,1.284861,[39 41] ; [11 19],[36.36363636 43.63636364] ; [13.63636364 16.36363636],0
r2,1,0.265273,1.24103,[71 12] ; [23  7],[69.04424779 13.95575221] ; [24.95575221  5.04424779],0
