Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.002929,8.850943,[3 4] ; [ 8 94],[0.70642202 6.29357798] ; [10.29357798 91.70642202],0
s5,1,0.006615,7.374766,[4 3] ; [18 94],[1.29411765 5.70588235] ; [20.70588235 91.29411765],0
s1,1,0.017338,5.661881,[2 5] ; [  6 106],[0.47058824 6.52941176] ; [  7.52941176 104.47058824],0
p4,1,0.0183,5.567238,[5 1] ; [40 73],[2.26890756 3.73109244] ; [42.73109244 70.26890756],0
s6,1,0.025661,4.978738,[6 1] ; [48 65],[3.15 3.85] ; [50.85 62.15],0
p3,1,0.027572,4.854614,[5 2] ; [35 78],[2.33333333 4.66666667] ; [37.66666667 75.33333333],0
v3,1,0.054115,3.709154,[5 2] ; [39 72],[2.61016949 4.38983051] ; [41.38983051 69.61016949],0
p8,1,0.089827,2.877476,[4 3] ; [31 83],[2.02479339 4.97520661] ; [32.97520661 81.02479339],0
p1,1,0.091447,2.848715,[2 5] ; [ 10 103],[0.7 6.3] ; [ 11.3 101.7],0
s7,1,0.167419,1.905907,[4 3] ; [33 71],[2.33333333 4.66666667] ; [34.66666667 69.33333333],0
s3,1,0.167896,1.901634,[5 2] ; [50 62],[3.23529412 3.76470588] ; [51.76470588 60.23529412],0
s2,1,0.192889,1.695415,[4 3] ; [37 75],[2.41176471 4.58823529] ; [38.58823529 73.41176471],0
p7,1,0.21643,1.527885,[4 2] ; [46 66],[2.54237288 3.45762712] ; [47.45762712 64.54237288],0
s8,1,0.233901,1.416983,[3 4] ; [26 87],[1.69166667 5.30833333] ; [27.30833333 85.69166667],0
a5,1,0.260466,1.26628,[3 4] ; [73 41],[4.39669421 2.60330579] ; [71.60330579 42.39669421],0
p2,1,0.355293,0.854461,[3 4] ; [69 45],[4.16528926 2.83471074] ; [67.83471074 46.16528926],0
b5,1,0.378625,0.775161,[5 2] ; [62 52],[3.87603306 3.12396694] ; [63.12396694 50.87603306],0
p6,1,0.379656,0.771815,[2 4] ; [21 91],[1.16949153 4.83050847] ; [21.83050847 90.16949153],0
d4,1,0.444299,0.585154,[4 3] ; [80 33],[4.9 2.1] ; [79.1 33.9],0
r4,1,0.452321,0.564829,[6 1] ; [83 31],[5.14876033 1.85123967] ; [83.85123967 30.14876033],0
a3,1,0.46894,0.524472,[5 2] ; [65 48],[4.08333333 2.91666667] ; [65.91666667 47.08333333],0
v2,1,0.484873,0.487883,[2 5] ; [47 65],[2.88235294 4.11764706] ; [46.11764706 65.88235294],0
d3,1,0.536342,0.382361,[5 2] ; [68 46],[4.2231405 2.7768595] ; [68.7768595 45.2231405],0
r1,1,0.536459,0.382142,[6 1] ; [86 28],[5.32231405 1.67768595] ; [86.67768595 27.32231405],0
a1,1,0.551126,0.355304,[1 6] ; [  9 105],[0.5785124 6.4214876] ; [  9.4214876 104.5785124],0
p10,1,0.562168,0.335965,[1 5] ; [31 82],[1.61344538 4.38655462] ; [30.38655462 82.61344538],0
b4,1,0.565669,0.329983,[5 2] ; [69 45],[4.28099174 2.71900826] ; [69.71900826 44.28099174],0
p11,1,0.58369,0.300307,[3 4] ; [61 53],[3.70247934 3.29752066] ; [60.29752066 53.70247934],0
d2,1,0.646597,0.210218,[4 3] ; [54 58],[3.41176471 3.58823529] ; [54.58823529 57.41176471],0
n2,1,0.669489,0.182201,[1 1] ; [24 13],[1.28205128 0.71794872] ; [23.71794872 13.28205128],0
r3,1,0.69691,0.151707,[6 1] ; [90 23],[5.6 1.4] ; [90.4 22.6],0
a7,1,0.726154,0.122672,[4 3] ; [72 41],[4.43333333 2.56666667] ; [71.56666667 41.43333333],0
b3,1,0.76164,0.092008,[2 5] ; [25 48],[2.3625 4.6375] ; [24.6375 48.3625],0
b2,1,0.76164,0.092008,[2 5] ; [25 48],[2.3625 4.6375] ; [24.6375 48.3625],0
v4,1,0.775487,0.081342,[6 1] ; [92 21],[5.71666667 1.28333333] ; [92.28333333 20.71666667],0
a4,1,0.813967,0.055372,[3 4] ; [43 69],[2.70588235 4.29411765] ; [43.29411765 68.70588235],0
v1,1,0.822373,0.050398,[3 4] ; [44 70],[2.71900826 4.28099174] ; [44.28099174 69.71900826],0
a6,1,0.822373,0.050398,[4 3] ; [70 44],[4.28099174 2.71900826] ; [69.71900826 44.28099174],0
r2,1,0.831022,0.045536,[6 1] ; [99 13],[6.17647059 0.82352941] ; [98.82352941 13.17647059],0
u3,1,0.841542,0.039969,[1 1] ; [21 28],[0.8627451 1.1372549] ; [21.1372549 27.8627451],0
n3,1,0.8428,0.039328,[1 1] ; [20 15],[1.13513514 0.86486486] ; [19.86486486 15.13513514],0
d1,1,0.886932,0.020217,[3 4] ; [52 62],[3.18181818 3.81818182] ; [51.81818182 62.18181818],0
u2,1,0.929421,0.007845,[1 1] ; [22 25],[0.93877551 1.06122449] ; [22.06122449 24.93877551],0
b1,1,0.932292,0.007218,[4 3] ; [67 47],[4.10743802 2.89256198] ; [66.89256198 47.10743802],0
u1,1,0.963934,0.002045,[1 6] ; [17 97],[1.04132231 5.95867769] ; [16.95867769 97.04132231],0
d5,1,0.977153,0.00082,[5 2] ; [82 32],[5.03305785 1.96694215] ; [81.96694215 32.03305785],0
