Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.0,25.305426,[ 3 26] ; [25  9],[12.88888889 16.11111111] ; [15.11111111 18.88888889],1
v3,1,0.001645,9.90918,[ 5 24] ; [19 15],[11.04761905 17.95238095] ; [12.95238095 21.04761905],0
d5,1,0.00357,8.490306,[17 11] ; [32  3],[21.77777778  6.22222222] ; [27.22222222  7.77777778],0
d4,1,0.029657,4.729064,[18 11] ; [30  5],[21.75  7.25] ; [26.25  8.75],0
b4,1,0.031009,4.65248,[13 16] ; [25 10],[17.21875 11.78125] ; [20.78125 14.21875],0
s6,1,0.031497,4.625661,[14 15] ; [24  8],[18.06557377 10.93442623] ; [19.93442623 12.06557377],0
n4,1,0.033066,4.542358,[15 14] ; [27  8],[19.03125  9.96875] ; [22.96875 12.03125],0
d1,1,0.042014,4.134641,[10 19] ; [21 14],[14.046875 14.953125] ; [16.953125 18.046875],0
n5,1,0.049498,3.858373,[16 12] ; [28  7],[19.55555556  8.44444444] ; [24.44444444 10.55555556],0
p9,1,0.099235,2.717797,[21  8] ; [31  4],[23.5625  5.4375] ; [28.4375  6.5625],0
s7,1,0.125547,2.346715,[13 16] ; [20 11],[15.95 13.05] ; [17.05 13.95],0
s3,1,0.125788,2.34373,[11 18] ; [20 15],[14.046875 14.953125] ; [16.953125 18.046875],0
s2,1,0.137857,2.201719,[12 17] ; [21 14],[14.953125 14.046875] ; [18.046875 16.953125],0
p1,1,0.141343,2.16328,[ 5 24] ; [ 2 33],[ 3.171875 25.828125] ; [ 3.828125 31.171875],0
p10,1,0.164827,1.929375,[19  9] ; [29  6],[21.33333333  6.66666667] ; [26.66666667  8.33333333],0
d3,1,0.18021,1.795888,[14 13] ; [24 11],[16.5483871 10.4516129] ; [21.4516129 13.5483871],0
s5,1,0.203388,1.617875,[ 8 20] ; [13 16],[10.31578947 17.68421053] ; [10.68421053 18.31578947],0
n1,1,0.211016,1.564444,[6 4] ; [4 8],[4.54545455 5.45454545] ; [5.45454545 6.54545455],0
u1,1,0.236328,1.402368,[ 1 28] ; [ 4 31],[ 2.265625 26.734375] ; [ 2.734375 32.265625],0
r2,1,0.246693,1.341936,[22  5] ; [32  3],[23.51612903  3.48387097] ; [30.48387097  4.51612903],0
p3,1,0.256626,1.286867,[15 14] ; [23 12],[17.21875 11.78125] ; [20.78125 14.21875],0
a3,1,0.256626,1.286867,[15 14] ; [23 12],[17.21875 11.78125] ; [20.78125 14.21875],0
n6,1,0.314398,1.01211,[21  8] ; [29  6],[22.65625  6.34375] ; [27.34375  7.65625],0
s4,1,0.314398,1.01211,[ 8 21] ; [ 6 29],[ 6.34375 22.65625] ; [ 7.65625 27.34375],0
v4,1,0.34577,0.888922,[27  2] ; [30  5],[25.828125  3.171875] ; [31.171875  3.828125],0
p7,1,0.359237,0.84056,[18  9] ; [27  8],[19.59677419  7.40322581] ; [25.40322581  9.59677419],0
p8,1,0.362445,0.829405,[19 10] ; [19 16],[17.21875 11.78125] ; [20.78125 14.21875],0
a5,1,0.369322,0.805945,[15 14] ; [22 13],[16.765625 12.234375] ; [20.234375 14.765625],0
s8,1,0.451259,0.567488,[13 16] ; [19 16],[14.5 14.5] ; [17.5 17.5],0
p11,1,0.488685,0.479421,[22  7] ; [29  6],[23.109375  5.890625] ; [27.890625  7.109375],0
a6,1,0.533204,0.388281,[16 13] ; [22 13],[17.21875 11.78125] ; [20.78125 14.21875],0
a1,1,0.53579,0.383398,[ 2 27] ; [ 4 31],[ 2.71875 26.28125] ; [ 3.28125 31.71875],0
a2,1,0.53579,0.383398,[ 2 27] ; [ 4 31],[ 2.71875 26.28125] ; [ 3.28125 31.71875],0
u3,1,0.542541,0.37085,[7 6] ; [5 7],[6.24 6.76] ; [5.76 6.24],0
d2,1,0.559545,0.340493,[12 17] ; [12 23],[10.875 18.125] ; [13.125 21.875],0
b1,1,0.565041,0.33105,[12 17] ; [17 18],[13.140625 15.859375] ; [15.859375 19.140625],0
a4,1,0.585608,0.297255,[11 18] ; [11 24],[ 9.96875 19.03125] ; [12.03125 22.96875],0
a8,1,0.588738,0.292319,[ 4 25] ; [ 3 29],[ 3.32786885 25.67213115] ; [ 3.67213115 28.32786885],0
p5,1,0.635111,0.225194,[ 3 26] ; [ 5 30],[ 3.625 25.375] ; [ 4.375 30.625],0
n2,1,0.672754,0.178397,[7 3] ; [8 5],[6.52173913 3.47826087] ; [8.47826087 4.52173913],0
b2,1,0.677708,0.172717,[ 9 10] ; [ 9 13],[ 8.34146341 10.65853659] ; [ 9.65853659 12.34146341],0
b3,1,0.677708,0.172717,[ 9 10] ; [ 9 13],[ 8.34146341 10.65853659] ; [ 9.65853659 12.34146341],0
a7,1,0.6821,0.167772,[17 11] ; [23 12],[17.77777778 10.22222222] ; [22.22222222 12.77777778],0
u2,1,0.755794,0.096726,[9 5] ; [7 5],[8.61538462 5.38461538] ; [7.38461538 4.61538462],0
b5,1,0.76223,0.091539,[18 11] ; [23 12],[18.578125 10.421875] ; [22.421875 12.578125],0
