Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,73.592671,[ 43 113] ; [186  77],[85.2601432 70.7398568] ; [143.7398568 119.2601432],1
p8,1,0.0,46.042254,[ 52 100] ; [179  82],[85.01694915 66.98305085] ; [145.98305085 115.01694915],1
p6,1,0.0,44.650777,[ 27 127] ; [131 128],[58.91525424 95.08474576] ; [ 99.08474576 159.91525424],1
p2,1,0.0,26.058601,[114  42] ; [241  22],[132.17183771  23.82816229] ; [222.82816229  40.17183771],1
p5,1,2e-06,22.265581,[  3 153] ; [ 45 218],[ 17.87112172 138.12887828] ; [ 30.12887828 232.87112172],1
n5,1,1.9e-05,18.327764,[99 54] ; [218  44],[116.86987952  36.13012048] ; [200.13012048  61.86987952],1
p7,1,3.4e-05,17.168715,[84 67] ; [196  64],[102.87104623  48.12895377] ; [177.12895377  82.87104623],1
d2,1,0.000124,14.727131,[64 91] ; [159 103],[82.88968825 72.11031175] ; [140.11031175 121.88968825],1
n4,1,0.000409,12.492859,[109  46] ; [223  40],[123.11004785  31.88995215] ; [208.88995215  54.11004785],1
d1,1,0.000571,11.869544,[85 71] ; [187  76],[101.26968974  54.73031026] ; [170.73031026  92.26968974],1
a2,1,0.000793,11.258115,[ 28 128] ; [ 87 176],[ 42.81622912 113.18377088] ; [ 72.18377088 190.81622912],1
d3,1,0.000822,11.190683,[98 58] ; [205  58],[112.81145585  43.18854415] ; [190.18854415  72.81145585],1
d5,1,0.001099,10.653573,[121  35] ; [235  28],[132.54415274  23.45584726] ; [223.45584726  39.54415274],0
a5,1,0.002756,8.962025,[115  41] ; [225  38],[126.58711217  29.41288783] ; [213.41288783  49.58711217],0
s6,1,0.003263,8.654126,[93 62] ; [192  68],[106.44578313  48.55421687] ; [178.55421687  81.44578313],0
p12,1,0.004112,8.233624,[  7 147] ; [ 35 228],[ 15.51079137 138.48920863] ; [ 26.48920863 236.51079137],0
u1,1,0.006067,7.530236,[ 24 132] ; [ 71 192],[ 35.3699284 120.6300716] ; [ 59.6300716 203.3699284],0
p10,1,0.008058,7.020457,[120  33] ; [231  31],[129.40481928  23.59518072] ; [221.59518072  40.40481928],0
p11,1,0.008629,6.898132,[116  40] ; [223  40],[126.21479714  29.78520286] ; [212.78520286  50.21479714],0
p9,1,0.013921,6.048137,[124  28] ; [235  26],[132.12590799  19.87409201] ; [226.87409201  34.12590799],0
