Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.001044,10.747965,[36 27] ; [ 58 115],[25.09322034 37.90677966] ; [ 68.90677966 104.09322034],0
p6,1,0.003511,8.521004,[28 35] ; [ 42 128],[18.92703863 44.07296137] ; [ 51.07296137 118.92703863],0
p3,1,0.009176,6.788301,[36 27] ; [ 66 107],[27.22881356 35.77118644] ; [74.77118644 98.22881356],0
s2,1,0.021418,5.292493,[35 27] ; [ 68 104],[27.29059829 34.70940171] ; [75.70940171 96.29059829],0
d5,1,0.042777,4.104205,[56  7] ; [134  40],[50.50632911 12.49367089] ; [139.49367089  34.50632911],0
r4,1,0.053214,3.737196,[60  3] ; [150  24],[55.82278481  7.17721519] ; [154.17721519  19.82278481],0
s3,1,0.088603,2.899571,[39 23] ; [85 84],[33.28138528 28.71861472] ; [90.71861472 78.28138528],0
d1,1,0.089129,2.890032,[39 24] ; [86 88],[33.2278481 29.7721519] ; [91.7721519 82.2278481],0
b1,1,0.099399,2.715164,[26 37] ; [ 52 122],[20.73417722 42.26582278] ; [ 57.26582278 116.73417722],0
s1,1,0.115584,2.476169,[ 2 60] ; [  1 169],[ 0.80172414 61.19827586] ; [  2.19827586 167.80172414],0
p8,1,0.133636,2.249755,[35 27] ; [78 94],[29.94017094 32.05982906] ; [83.05982906 88.94017094],0
n3,1,0.137291,2.208057,[8 5] ; [35  8],[9.98214286 3.01785714] ; [33.01785714  9.98214286],0
p11,1,0.149077,2.081673,[53 10] ; [131  43],[48.91139241 14.08860759] ; [135.08860759  38.91139241],0
v2,1,0.151456,2.057521,[25 32] ; [90 74],[29.66063348 27.33936652] ; [85.33936652 78.66063348],0
p1,1,0.152726,2.044807,[ 5 58] ; [  6 166],[ 2.94893617 60.05106383] ; [  8.05106383 163.94893617],0
p5,1,0.180752,1.791428,[ 2 61] ; [ 14 158],[ 4.2893617 58.7106383] ; [ 11.7106383 160.2893617],0
p4,1,0.182226,1.779374,[40 23] ; [93 80],[35.50423729 27.49576271] ; [97.49576271 75.50423729],0
p10,1,0.206084,1.598722,[53 10] ; [130  40],[49.4806867 13.5193133] ; [133.5193133  36.4806867],0
a1,1,0.225185,1.471017,[ 1 62] ; [  9 165],[ 2.65822785 60.34177215] ; [  7.34177215 166.65822785],0
a8,1,0.236994,1.398386,[10 50] ; [ 17 141],[ 7.43119266 52.56880734] ; [ 19.56880734 138.43119266],0
n5,1,0.263435,1.250616,[40 23] ; [123  50],[43.51271186 19.48728814] ; [119.48728814  53.51271186],0
a2,1,0.274906,1.192101,[14 49] ; [ 28 146],[11.16455696 51.83544304] ; [ 30.83544304 143.16455696],0
a4,1,0.275874,1.187304,[28 35] ; [ 63 109],[24.39574468 38.60425532] ; [ 66.60425532 105.39574468],0
r3,1,0.282968,1.152779,[61  2] ; [162  12],[59.27848101  3.72151899] ; [163.72151899  10.27848101],0
p9,1,0.283037,1.152448,[54  9] ; [136  35],[51.15384615 11.84615385] ; [138.84615385  32.15384615],0
u2,1,0.310554,1.028317,[16 10] ; [37 37],[13.78 12.22] ; [39.22 34.78],0
n6,1,0.312249,1.021137,[48 15] ; [142  31],[50.72033898 12.27966102] ; [139.27966102  33.72033898],0
n1,1,0.345652,0.889355,[ 3 10] ; [16 27],[4.41071429 8.58928571] ; [14.58928571 28.41071429],0
d3,1,0.378156,0.776687,[40 23] ; [121  53],[42.79746835 20.20253165] ; [118.20253165  55.79746835],0
n2,1,0.436132,0.606439,[9 4] ; [35  9],[10.03508772  2.96491228] ; [33.96491228 10.03508772],0
b2,1,0.443155,0.588101,[13 25] ; [21 56],[11.23478261 26.76521739] ; [22.76521739 54.23478261],0
b3,1,0.443155,0.588101,[13 25] ; [21 56],[11.23478261 26.76521739] ; [22.76521739 54.23478261],0
d4,1,0.44484,0.583766,[49 14] ; [143  31],[51.03797468 11.96202532] ; [140.96202532  33.03797468],0
u3,1,0.474633,0.51117,[16 10] ; [39 34],[14.44444444 11.55555556] ; [40.55555556 32.44444444],0
a5,1,0.487762,0.48146,[45 18] ; [116  58],[42.79746835 20.20253165] ; [118.20253165  55.79746835],0
v3,1,0.524598,0.404844,[16 43] ; [ 53 115],[17.9339207 41.0660793] ; [ 51.0660793 116.9339207],0
p7,1,0.557506,0.344041,[38 23] ; [98 71],[36.06956522 24.93043478] ; [99.93043478 69.06956522],0
p2,1,0.56067,0.338546,[53 10] ; [139  33],[51.47234043 11.52765957] ; [140.52765957  31.47234043],0
n4,1,0.595994,0.28108,[45 18] ; [118  56],[43.32911392 19.67088608] ; [119.67088608  54.32911392],0
a7,1,0.608398,0.262514,[48 14] ; [129  45],[46.5 15.5] ; [130.5  43.5],0
r1,1,0.727735,0.121201,[49 13] ; [133  40],[48.01702128 13.98297872] ; [133.98297872  39.01702128],0
u1,1,0.740495,0.109692,[ 9 54] ; [ 22 152],[ 8.24050633 54.75949367] ; [ 22.75949367 151.24050633],0
a3,1,0.77483,0.081832,[37 26] ; [98 75],[36.03813559 26.96186441] ; [98.96186441 74.03813559],0
b4,1,0.841589,0.039944,[40 23] ; [108  66],[39.34177215 23.65822785] ; [108.65822785  65.34177215],0
v4,1,0.870007,0.026781,[59  4] ; [163  10],[59.26271186  3.73728814] ; [162.73728814  10.26271186],0
v1,1,0.903322,0.014754,[30 29] ; [88 82],[30.40174672 28.59825328] ; [87.59825328 82.40174672],0
s4,1,0.918969,0.010349,[12 51] ; [ 33 135],[12.27272727 50.72727273] ; [ 32.72727273 135.27272727],0
s5,1,0.922913,0.009363,[19 41] ; [ 53 118],[18.7012987 41.2987013] ; [ 53.2987013 117.7012987],0
a6,1,0.949126,0.004071,[43 20] ; [118  56],[42.79746835 20.20253165] ; [118.20253165  55.79746835],0
b5,1,0.950082,0.003919,[41 22] ; [114  60],[41.20253165 21.79746835] ; [113.79746835  60.20253165],0
p12,1,0.968923,0.001518,[ 5 58] ; [ 14 159],[ 5.0720339 57.9279661] ; [ 13.9279661 159.0720339],0
r2,1,0.985207,0.000344,[57  5] ; [158  14],[56.96581197  5.03418803] ; [158.03418803  13.96581197],0
