Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,30.903232,[51 14] ; [ 4 22],[39.28571429 25.71428571] ; [15.71428571 10.28571429],1
v4,1,1.9e-05,18.321905,[58  6] ; [13 13],[50.48888889 13.51111111] ; [20.51111111  5.48888889],1
p2,1,0.000258,13.355225,[49 16] ; [ 9 17],[41.42857143 23.57142857] ; [16.57142857  9.42857143],1
r2,1,0.000264,13.308132,[57  8] ; [13 12],[50.55555556 14.44444444] ; [19.44444444  5.55555556],1
s3,1,0.003707,8.422051,[36 29] ; [ 5 19],[29.94382022 35.05617978] ; [11.05617978 12.94382022],0
p4,1,0.003789,8.382294,[29 36] ; [ 3 22],[23.11111111 41.88888889] ; [ 8.88888889 16.11111111],0
s2,1,0.004212,8.19,[31 34] ; [ 4 22],[25. 40.] ; [10. 16.],0
n6,1,0.010332,6.576777,[44 21] ; [10 16],[38.57142857 26.42857143] ; [15.42857143 10.57142857],0
b5,1,0.0118,6.340645,[48 17] ; [12 14],[42.85714286 22.14285714] ; [17.14285714  8.85714286],0
a7,1,0.016061,5.796225,[40 24] ; [ 9 17],[34.84444444 29.15555556] ; [14.15555556 11.84444444],0
d5,1,0.018041,5.592154,[42 22] ; [10 16],[36.97777778 27.02222222] ; [15.02222222 10.97777778],0
s6,1,0.019927,5.418243,[34 29] ; [ 7 19],[29.02247191 33.97752809] ; [11.97752809 14.02247191],0
d3,1,0.023634,5.121279,[36 27] ; [ 8 18],[31.14606742 31.85393258] ; [12.85393258 13.14606742],0
p7,1,0.041866,4.140596,[28 37] ; [ 5 20],[23.83333333 41.16666667] ; [ 9.16666667 15.83333333],0
s8,1,0.04224,4.12556,[21 44] ; [ 3 23],[17.14285714 47.85714286] ; [ 6.85714286 19.14285714],0
d4,1,0.068058,3.329236,[45 19] ; [13 13],[41.24444444 22.75555556] ; [16.75555556  9.24444444],0
p6,1,0.077556,3.115385,[16 49] ; [ 2 23],[13. 52.] ; [ 5. 20.],0
u3,1,0.081607,3.032609,[26 20] ; [ 5 11],[23. 23.] ; [8. 8.],0
r1,1,0.094973,2.78799,[40 25] ; [11 15],[36.42857143 28.57142857] ; [14.57142857 11.42857143],0
s5,1,0.098508,2.729529,[14 48] ; [ 2 24],[11.27272727 50.72727273] ; [ 4.72727273 21.27272727],0
a1,1,0.10955,2.560698,[ 2 63] ; [ 3 23],[ 3.57142857 61.42857143] ; [ 1.42857143 24.57142857],0
u2,1,0.110308,2.549803,[24 20] ; [ 5 11],[21.26666667 22.73333333] ; [7.73333333 8.26666667],0
a6,1,0.118937,2.431263,[29 36] ; [ 7 19],[25.71428571 39.28571429] ; [10.28571429 15.71428571],0
b2,1,0.120396,2.412162,[ 7 27] ; [ 7 10],[ 9.33333333 24.66666667] ; [ 4.66666667 12.33333333],0
b3,1,0.120396,2.412162,[ 7 27] ; [ 7 10],[ 9.33333333 24.66666667] ; [ 4.66666667 12.33333333],0
p9,1,0.127344,2.324582,[33 28] ; [ 9 16],[29.79069767 31.20930233] ; [12.20930233 12.79069767],0
p3,1,0.131475,2.275,[23 42] ; [ 5 21],[20. 45.] ; [ 8. 18.],0
s7,1,0.18871,1.727664,[21 38] ; [ 5 19],[18.48192771 40.51807229] ; [ 7.51807229 16.48192771],0
v2,1,0.235699,1.406138,[20 41] ; [ 5 20],[17.73255814 43.26744186] ; [ 7.26744186 17.73255814],0
p10,1,0.235741,1.405883,[31 31] ; [ 9 16],[28.50574713 33.49425287] ; [11.49425287 13.50574713],0
