Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000319,12.956799,[93 32] ; [11 17],[84.96732026 40.03267974] ; [19.03267974  8.96732026],1
r4,1,0.004503,8.068809,[85 40] ; [11 17],[78.43137255 46.56862745] ; [17.56862745 10.43137255],0
p9,1,0.012237,6.276139,[111  13] ; [20  8],[106.86842105  17.13157895] ; [24.13157895  3.86842105],0
b1,1,0.012546,6.232022,[40 85] ; [16 12],[45.75163399 79.24836601] ; [10.24836601 17.75163399],0
p3,1,0.017359,5.659686,[59 66] ; [ 6 21],[53.45394737 71.54605263] ; [11.54605263 15.45394737],0
n5,1,0.018304,5.566773,[94 30] ; [15 13],[88.92105263 35.07894737] ; [20.07894737  7.92105263],0
v3,1,0.020416,5.375973,[41 81] ; [ 3 24],[36.02684564 85.97315436] ; [ 7.97315436 19.02684564],0
p10,1,0.023336,5.143301,[104  18] ; [18  9],[99.89261745 22.10738255] ; [22.10738255  4.89261745],0
b4,1,0.048191,3.903297,[83 42] ; [13 15],[78.43137255 46.56862745] ; [17.56862745 10.43137255],0
n1,1,0.057341,3.612675,[13 27] ; [6 3],[15.51020408 24.48979592] ; [3.48979592 5.51020408],0
r3,1,0.116579,2.462691,[114  10] ; [23  5],[111.76315789  12.23684211] ; [25.23684211  2.76315789],0
u3,1,0.126609,2.333598,[18 29] ; [7 4],[20.25862069 26.74137931] ; [4.74137931 6.25862069],0
s4,1,0.150866,2.06347,[ 21 104] ; [ 8 20],[ 23.69281046 101.30718954] ; [ 5.30718954 22.69281046],0
b3,1,0.161792,1.957398,[27 50] ; [ 4 17],[24.35714286 52.64285714] ; [ 6.64285714 14.35714286],0
b2,1,0.161792,1.957398,[27 50] ; [ 4 17],[24.35714286 52.64285714] ; [ 6.64285714 14.35714286],0
r2,1,0.175176,1.838081,[99 23] ; [18  8],[96.44594595 25.55405405] ; [20.55405405  5.44594595],0
n2,1,0.2559,1.290806,[30 10] ; [10  1],[31.37254902  8.62745098] ; [8.62745098 2.37254902],0
d5,1,0.278365,1.175054,[93 32] ; [18 10],[90.68627451 34.31372549] ; [20.31372549  7.68627451],0
a2,1,0.297083,1.087241,[ 10 115] ; [ 4 24],[ 11.4379085 113.5620915] ; [ 2.5620915 25.4379085],0
v4,1,0.30478,1.053161,[110  14] ; [22  5],[108.39735099  15.60264901] ; [23.60264901  3.39735099],0
v1,1,0.349269,0.876113,[54 67] ; [ 9 17],[51.85714286 69.14285714] ; [11.14285714 14.85714286],0
a7,1,0.387108,0.748008,[78 47] ; [15 13],[75.98039216 49.01960784] ; [17.01960784 10.98039216],0
d3,1,0.40022,0.707665,[69 56] ; [13 15],[66.99346405 58.00653595] ; [15.00653595 12.99346405],0
u2,1,0.413972,0.667365,[24 24] ; [7 4],[25.22033898 22.77966102] ; [5.77966102 5.22033898],0
d2,1,0.415904,0.66186,[43 81] ; [12 16],[44.86842105 79.13157895] ; [10.13157895 17.86842105],0
a4,1,0.421394,0.646425,[41 84] ; [ 7 21],[39.21568627 85.78431373] ; [ 8.78431373 19.21568627],0
b5,1,0.440075,0.596086,[75 50] ; [19  9],[76.79738562 48.20261438] ; [17.20261438 10.79738562],0
p5,1,0.445249,0.582718,[ 15 108] ; [ 2 26],[ 13.84768212 109.15231788] ; [ 3.15231788 24.84768212],0
s5,1,0.449407,0.572146,[30 88] ; [ 5 22],[28.48275862 89.51724138] ; [ 6.51724138 20.48275862],0
s3,1,0.466723,0.529724,[57 67] ; [15 13],[58.73684211 65.26315789] ; [13.26315789 14.73684211],0
d4,1,0.479843,0.499221,[93 32] ; [19  9],[91.50326797 33.49673203] ; [20.49673203  7.50326797],0
a5,1,0.512775,0.4284,[71 54] ; [14 14],[69.44444444 55.55555556] ; [15.55555556 12.44444444],0
p8,1,0.522836,0.408296,[61 63] ; [11 15],[59.52 64.48] ; [12.48 13.52],0
s7,1,0.541526,0.372718,[50 69] ; [10 18],[48.57142857 70.42857143] ; [11.42857143 16.57142857],0
s6,1,0.543782,0.368576,[73 49] ; [15 13],[71.57333333 50.42666667] ; [16.42666667 11.57333333],0
p12,1,0.584698,0.298701,[  8 116] ; [ 1 26],[  7.39072848 116.60927152] ; [ 1.60927152 25.39072848],0
p1,1,0.592368,0.286661,[ 13 111] ; [ 2 26],[ 12.23684211 111.76315789] ; [ 2.76315789 25.23684211],0
n3,1,0.636838,0.222902,[30 10] ; [9 2],[30.58823529  9.41176471] ; [8.41176471 2.58823529],0
p7,1,0.6818,0.168107,[65 57] ; [15 11],[65.94594595 56.05405405] ; [14.05405405 11.94594595],0
s8,1,0.68383,0.165847,[44 81] ; [11 17],[44.93464052 80.06535948] ; [10.06535948 17.93464052],0
p4,1,0.716506,0.131865,[65 60] ; [13 14],[64.14473684 60.85526316] ; [13.85526316 13.14473684],0
p2,1,0.73851,0.111441,[99 25] ; [20  6],[98.37333333 25.62666667] ; [20.62666667  5.37333333],0
s2,1,0.755614,0.096874,[54 71] ; [13 15],[54.73856209 70.26143791] ; [12.26143791 15.73856209],0
u1,1,0.778537,0.079088,[  6 119] ; [ 1 27],[  5.71895425 119.28104575] ; [ 1.28104575 26.71895425],0
p6,1,0.827202,0.047651,[45 77] ; [ 9 17],[44.51351351 77.48648649] ; [ 9.48648649 16.51351351],0
a1,1,0.885695,0.020665,[  8 117] ; [ 2 26],[  8.16993464 116.83006536] ; [ 1.83006536 26.16993464],0
a3,1,0.930645,0.007575,[77 48] ; [17 11],[76.79738562 48.20261438] ; [17.20261438 10.79738562],0
a8,1,0.943029,0.005107,[ 12 105] ; [ 3 25],[ 12.10344828 104.89655172] ; [ 2.89655172 25.10344828],0
a6,1,0.96472,0.001956,[72 53] ; [16 12],[71.89542484 53.10457516] ; [16.10457516 11.89542484],0
d1,1,0.96472,0.001956,[53 72] ; [12 16],[53.10457516 71.89542484] ; [11.89542484 16.10457516],0
v2,1,0.98615,0.000301,[54 67] ; [12 15],[53.95945946 67.04054054] ; [12.04054054 14.95945946],0
