Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.009876,6.657174,[ 3 26] ; [7 9],[ 6.44444444 22.55555556] ; [ 3.55555556 12.44444444],0
s6,1,0.011061,6.455466,[ 7 22] ; [10  6],[10.95555556 18.04444444] ; [6.04444444 9.95555556],0
p7,1,0.025351,4.999748,[ 6 21] ; [8 6],[ 9.2195122 17.7804878] ; [4.7804878 9.2195122],0
p2,1,0.042123,4.130268,[10 19] ; [10  5],[13.18181818 15.81818182] ; [6.81818182 8.18181818],0
p10,1,0.0512,3.801724,[13 16] ; [12  4],[16.11111111 12.88888889] ; [8.88888889 7.11111111],0
s2,1,0.054244,3.705182,[ 5 24] ; [7 9],[ 7.73333333 21.26666667] ; [ 4.26666667 11.73333333],0
p3,1,0.063972,3.4313,[ 9 20] ; [9 6],[11.86363636 17.13636364] ; [6.13636364 8.86363636],0
p9,1,0.065686,3.387669,[13 15] ; [12  4],[15.90909091 12.09090909] ; [9.09090909 6.90909091],0
a3,1,0.071593,3.246125,[18 11] ; [14  2],[20.62222222  8.37777778] ; [11.37777778  4.62222222],0
b1,1,0.123207,2.376078,[17 12] ; [13  3],[19.33333333  9.66666667] ; [10.66666667  5.33333333],0
a5,1,0.123207,2.376078,[17 12] ; [13  3],[19.33333333  9.66666667] ; [10.66666667  5.33333333],0
p11,1,0.132694,2.260702,[ 8 21] ; [8 8],[10.31111111 18.68888889] ; [ 5.68888889 10.31111111],0
a2,1,0.194143,1.685896,[ 3 26] ; [ 4 12],[ 4.51111111 24.48888889] ; [ 2.48888889 13.51111111],0
b4,1,0.209077,1.577804,[20  9] ; [8 8],[18.04444444 10.95555556] ; [9.95555556 6.04444444],0
s5,1,0.249537,1.325893,[ 6 22] ; [ 6 10],[ 7.63636364 20.36363636] ; [ 4.36363636 11.63636364],0
a4,1,0.276981,1.181845,[11 17] ; [9 7],[12.72727273 15.27272727] ; [7.27272727 8.72727273],0
p4,1,0.353855,0.859585,[10 18] ; [8 8],[11.45454545 16.54545455] ; [6.54545455 9.45454545],0
a6,1,0.35991,0.838208,[14 15] ; [10  6],[15.46666667 13.53333333] ; [8.53333333 7.46666667],0
p5,1,0.376354,0.782577,[ 3 26] ; [ 3 12],[ 3.95454545 25.04545455] ; [ 2.04545455 12.95454545],0
s7,1,0.386095,0.751205,[ 7 19] ; [6 9],[ 8.24390244 17.75609756] ; [ 4.75609756 10.24390244],0
p8,1,0.393669,0.72758,[ 9 20] ; [7 9],[10.31111111 18.68888889] ; [ 5.68888889 10.31111111],0
