Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,29.015771,[223 102] ; [109 128],[191.99288256 133.00711744] ; [140.00711744  96.99288256],1
v3,1,0.0,25.572172,[173 150] ; [ 76 161],[143.61964286 179.38035714] ; [105.38035714 131.61964286],1
p6,1,5.9e-05,16.135483,[156 170] ; [ 76 168],[132.6877193 193.3122807] ; [ 99.3122807 144.6877193],1
p4,1,6.2e-05,16.050851,[233  97] ; [132 111],[210.20942408 119.79057592] ; [154.79057592  88.20942408],1
s8,1,0.000301,13.063067,[181 148] ; [ 97 147],[159.61954625 169.38045375] ; [118.38045375 125.61954625],1
p8,1,0.000753,11.353652,[200 125] ; [114 127],[180.30035336 144.69964664] ; [133.69964664 107.30035336],1
p2,1,0.001029,10.774453,[293  37] ; [193  52],[278.92173913  51.07826087] ; [207.07826087  37.92173913],0
p9,1,0.001154,10.561903,[290  39] ; [188  53],[275.89824561  53.10175439] ; [202.10175439  38.89824561],0
n5,1,0.001321,10.313552,[300  33] ; [197  47],[286.83015598  46.16984402] ; [210.16984402  33.83015598],0
b5,1,0.005315,7.768975,[211 123] ; [127 119],[194.64137931 139.35862069] ; [143.35862069 102.64137931],0
p7,1,0.006987,7.276329,[228  93] ; [145  96],[213.0480427 107.9519573] ; [159.9519573  81.0480427],0
p3,1,0.007003,7.272073,[193 137] ; [115 129],[177.07317073 152.92682927] ; [130.92682927 113.07317073],0
p10,1,0.007582,7.129615,[284  45] ; [189  54],[272.05769231  56.94230769] ; [200.94230769  42.05769231],0
s5,1,0.013469,6.106415,[132 190] ; [ 73 164],[118.08586762 203.91413238] ; [ 86.91413238 150.08586762],0
b2,1,0.016256,5.77497,[100 130] ; [44 98],[ 89.03225806 140.96774194] ; [54.96774194 87.03225806],0
b3,1,0.016256,5.77497,[100 130] ; [44 98],[ 89.03225806 140.96774194] ; [54.96774194 87.03225806],0
p11,1,0.01968,5.440098,[281  53] ; [188  58],[270.07931034  63.92068966] ; [198.92068966  47.07931034],0
p5,1,0.029471,4.739886,[ 53 276] ; [ 24 220],[ 44.21116928 284.78883072] ; [ 32.78883072 211.21116928],0
u4,1,0.046107,3.977667,[ 11 323] ; [  2 244],[  7.4862069 326.5137931] ; [  5.5137931 240.4862069],0
n6,1,0.064565,3.416049,[299  32] ; [209  36],[291.92361111  39.07638889] ; [216.07638889  28.92361111],0
s2,1,0.073054,3.213029,[185 141] ; [120 124],[174.43859649 151.56140351] ; [130.56140351 113.43859649],0
n1,1,0.094419,2.797367,[27 22] ; [23 36],[22.68518519 26.31481481] ; [27.31481481 31.68518519],0
r2,1,0.096479,2.76281,[326   6] ; [233  10],[322.76173913   9.23826087] ; [236.23826087   6.76173913],0
r3,1,0.097984,2.738058,[325   9] ; [229  13],[321.24305556  12.75694444] ; [232.75694444   9.24305556],0
v4,1,0.103804,2.646109,[324   9] ; [231  13],[320.30329289  12.69670711] ; [234.69670711   9.30329289],0
r4,1,0.106761,2.601527,[323  11] ; [231  15],[319.02758621  14.97241379] ; [234.97241379  11.02758621],0
p12,1,0.107601,2.589103,[ 36 293] ; [ 17 226],[ 30.48426573 298.51573427] ; [ 22.51573427 220.48426573],0
a3,1,0.109208,2.56565,[258  73] ; [176  68],[249.83304348  81.16695652] ; [184.16695652  59.83304348],0
d1,1,0.118448,2.437726,[222 112] ; [148  98],[213.06896552 120.93103448] ; [156.93103448  89.06896552],0
a8,1,0.143051,2.144827,[ 56 236] ; [ 32 192],[ 49.79844961 242.20155039] ; [ 38.20155039 185.79844961],0
s6,1,0.172935,1.857311,[237  91] ; [160  79],[229.65784832  98.34215168] ; [167.34215168  71.65784832],0
a5,1,0.181414,1.786004,[274  60] ; [190  55],[267.66148532  66.33851468] ; [196.33851468  48.66148532],0
d3,1,0.185656,1.751758,[246  87] ; [168  76],[238.92894281  94.07105719] ; [175.07105719  68.92894281],0
b1,1,0.20982,1.572669,[128 206] ; [107 139],[135.32758621 198.67241379] ; [ 99.67241379 146.32758621],0
u3,1,0.210118,1.570611,[49 27] ; [38 32],[45.28767123 30.71232877] ; [41.71232877 28.28767123],0
u1,1,0.216219,1.529292,[ 81 253] ; [ 49 197],[ 74.86206897 259.13793103] ; [ 55.13793103 190.86206897],0
d5,1,0.245996,1.3459,[283  49] ; [200  45],[277.91334489  54.08665511] ; [205.08665511  39.91334489],0
s7,1,0.275016,1.191554,[181 135] ; [122 110],[174.72262774 141.27737226] ; [128.27737226 103.72262774],0
n2,1,0.308619,1.036579,[38 11] ; [42 19],[35.63636364 13.36363636] ; [44.36363636 16.63636364],0
s1,1,0.34485,0.892319,[ 11 316] ; [ 12 231],[ 13.19473684 313.80526316] ; [  9.80526316 233.19473684],0
n3,1,0.347515,0.882511,[37 12] ; [39 19],[34.80373832 14.19626168] ; [41.19626168 16.80373832],0
a1,1,0.375265,0.786156,[ 19 315] ; [ 10 236],[ 16.7 317.3] ; [ 12.3 233.7],0
p1,1,0.414278,0.66649,[ 34 298] ; [ 20 223],[ 31.17913043 300.82086957] ; [ 22.82086957 220.17913043],0
a4,1,0.420777,0.648144,[172 159] ; [119 126],[167.22395833 163.77604167] ; [123.77604167 121.22395833],0
d4,1,0.472459,0.516218,[282  50] ; [201  42],[278.88  53.12] ; [204.12  38.88],0
a2,1,0.506743,0.440787,[ 98 236] ; [ 66 180],[ 94.44137931 239.55862069] ; [ 69.55862069 176.44137931],0
s3,1,0.520934,0.412044,[186 139] ; [145  97],[189.72663139 135.27336861] ; [141.27336861 100.72663139],0
