Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,25.603321,[ 4 55] ; [15 12],[13.03488372 45.96511628] ; [ 5.96511628 21.03488372],1
p9,1,0.000103,15.084021,[23 36] ; [22  4],[31.23529412 27.76470588] ; [13.76470588 12.23529412],1
s5,1,0.000106,15.034502,[ 9 48] ; [14 10],[16.18518519 40.81481481] ; [ 6.81481481 17.18518519],1
s6,1,0.000119,14.805146,[24 35] ; [23  4],[32.24418605 26.75581395] ; [14.75581395 12.24418605],1
s4,1,0.000681,11.539903,[10 50] ; [14 13],[16.55172414 43.44827586] ; [ 7.44827586 19.55172414],1
s2,1,0.000759,11.338605,[19 41] ; [19  8],[26.20689655 33.79310345] ; [11.79310345 15.20689655],1
p6,1,0.001108,10.63857,[ 6 52] ; [11 16],[11.6 46.4] ; [ 5.4 21.6],0
p10,1,0.002692,9.005014,[21 38] ; [19  8],[27.44186047 31.55813953] ; [12.55813953 14.44186047],0
u1,1,0.004639,8.015173,[ 3 57] ; [ 7 20],[ 6.89655172 53.10344828] ; [ 3.10344828 23.89655172],0
r4,1,0.007048,7.260741,[36 24] ; [24  3],[41.37931034 18.62068966] ; [18.62068966  8.37931034],0
s3,1,0.01347,6.106322,[22 36] ; [18  9],[27.29411765 30.70588235] ; [12.70588235 14.29411765],0
a2,1,0.040167,4.210818,[ 7 53] ; [ 8 19],[10.34482759 49.65517241] ; [ 4.65517241 22.34482759],0
a3,1,0.042733,4.10595,[30 29] ; [20  7],[34.30232558 24.69767442] ; [15.69767442 11.30232558],0
a7,1,0.048907,3.878545,[38 21] ; [23  4],[41.84883721 17.15116279] ; [19.15116279  7.84883721],0
r3,1,0.067138,3.351648,[49 11] ; [26  1],[51.72413793  8.27586207] ; [23.27586207  3.72413793],0
a6,1,0.067974,3.331282,[32 28] ; [20  7],[35.86206897 24.13793103] ; [16.13793103 10.86206897],0
d5,1,0.071318,3.252423,[42 17] ; [24  3],[45.27906977 13.72093023] ; [20.72093023  6.27906977],0
n6,1,0.082413,3.016658,[27 33] ; [17  9],[30.69767442 29.30232558] ; [13.30232558 12.69767442],0
v2,1,0.087862,2.913118,[23 35] ; [15 10],[26.55421687 31.44578313] ; [11.44578313 13.55421687],0
d3,1,0.095592,2.777589,[35 24] ; [21  6],[38.41860465 20.58139535] ; [17.58139535  9.41860465],0
a4,1,0.102004,2.673925,[18 42] ; [13 14],[21.37931034 38.62068966] ; [ 9.62068966 17.37931034],0
p1,1,0.105774,2.616247,[ 3 57] ; [ 4 22],[ 4.88372093 55.11627907] ; [ 2.11627907 23.88372093],0
v1,1,0.111538,2.532298,[16 43] ; [12 15],[19.20930233 39.79069767] ; [ 8.79069767 18.20930233],0
