Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.002825,8.917109,[ 45 105] ; [18 13],[52.20994475 97.79005525] ; [10.79005525 20.20994475],0
p8,1,0.007952,7.04436,[ 33 116] ; [14 17],[ 38.90555556 110.09444444] ; [ 8.09444444 22.90555556],0
p6,1,0.261124,1.26279,[ 14 136] ; [ 5 26],[ 15.74585635 134.25414365] ; [ 3.25414365 27.74585635],0
p11,1,0.555099,0.348262,[114  36] ; [22  9],[112.70718232  37.29281768] ; [23.29281768  7.70718232],0
p2,1,0.800796,0.063664,[103  47] ; [22  9],[103.59116022  46.40883978] ; [21.40883978  9.59116022],0
