Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6e-06,20.392064,[77 30] ; [25 42],[62.72413793 44.27586207] ; [39.27586207 27.72413793],1
d5,1,7.5e-05,15.690963,[85 22] ; [34 33],[73.17816092 33.82183908] ; [45.82183908 21.17816092],1
a6,1,0.000219,13.663413,[75 32] ; [28 39],[63.33908046 43.66091954] ; [39.66091954 27.33908046],1
d4,1,0.000898,11.027117,[84 23] ; [36 30],[74.21965318 32.78034682] ; [45.78034682 20.21965318],1
a2,1,0.000901,11.020159,[28 80] ; [ 4 63],[19.74857143 88.25142857] ; [12.25142857 54.74857143],1
r4,1,0.001691,9.858269,[84 24] ; [37 30],[74.67428571 33.32571429] ; [46.32571429 20.67428571],0
u1,1,0.001733,9.812769,[21 87] ; [ 2 65],[14.19428571 93.80571429] ; [ 8.80571429 58.19428571],0
r1,1,0.001899,9.64447,[79 28] ; [34 33],[69.48850575 37.51149425] ; [43.51149425 23.48850575],0
s6,1,0.002729,8.980468,[52 56] ; [17 50],[42.58285714 65.41714286] ; [26.41714286 40.58285714],0
v1,1,0.004966,7.89182,[45 62] ; [14 52],[36.49132948 70.50867052] ; [22.50867052 43.49132948],0
d1,1,0.007068,7.255708,[58 50] ; [22 45],[49.37142857 58.62857143] ; [30.62857143 36.37142857],0
r3,1,0.010288,6.584266,[93 15] ; [47 20],[86.4 21.6] ; [53.6 13.4],0
b5,1,0.026255,4.939173,[73 35] ; [34 33],[66.03428571 41.96571429] ; [40.96571429 26.03428571],0
a5,1,0.030329,4.690559,[68 40] ; [31 36],[61.09714286 46.90285714] ; [37.90285714 29.09714286],0
v4,1,0.039256,4.249774,[91 17] ; [47 19],[85.65517241 22.34482759] ; [52.34482759 13.65517241],0
p4,1,0.04445,4.03939,[44 64] ; [17 49],[37.86206897 70.13793103] ; [23.13793103 42.86206897],0
p2,1,0.048235,3.901787,[68 40] ; [32 35],[61.71428571 46.28571429] ; [38.28571429 28.71428571],0
b4,1,0.048235,3.901787,[68 40] ; [32 35],[61.71428571 46.28571429] ; [38.28571429 28.71428571],0
v2,1,0.051903,3.778889,[46 61] ; [18 46],[40.04678363 66.95321637] ; [23.95321637 40.04678363],0
b1,1,0.058818,3.570406,[47 61] ; [39 28],[53.07428571 54.92571429] ; [32.92571429 34.07428571],0
r2,1,0.059697,3.545794,[93 14] ; [50 16],[88.44508671 18.55491329] ; [54.55491329 11.44508671],0
u3,1,0.071731,3.242969,[23 16] ; [12 20],[19.22535211 19.77464789] ; [15.77464789 16.22535211],0
a3,1,0.092542,2.829597,[69 37] ; [35 32],[63.72254335 42.27745665] ; [40.27745665 26.72254335],0
p8,1,0.098627,2.727599,[37 70] ; [15 51],[32.16184971 74.83815029] ; [19.83815029 46.16184971],0
p1,1,0.107126,2.596116,[10 97] ; [ 2 65],[ 7.37931034 99.62068966] ; [ 4.62068966 62.37931034],0
d2,1,0.155902,2.013534,[54 53] ; [26 40],[49.47976879 57.52023121] ; [30.52023121 35.47976879],0
p6,1,0.209064,1.577895,[27 79] ; [11 53],[23.69411765 82.30588235] ; [14.30588235 49.69411765],0
n3,1,0.222487,1.488256,[27 14] ; [16 15],[24.48611111 16.51388889] ; [18.51388889 12.48611111],0
s7,1,0.225279,1.470423,[29 74] ; [12 49],[25.75 77.25] ; [15.25 45.75],0
a4,1,0.252598,1.308878,[45 62] ; [22 44],[41.43930636 65.56069364] ; [25.56069364 40.43930636],0
p3,1,0.262771,1.254099,[34 73] ; [16 51],[30.74712644 76.25287356] ; [19.25287356 47.74712644],0
s8,1,0.294963,1.096829,[23 85] ; [10 57],[20.36571429 87.63428571] ; [12.63428571 54.36571429],0
