Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,2e-06,22.521571,[ 18 224] ; [15 33],[ 27.53793103 214.46206897] ; [ 5.46206897 42.53793103],1
p8,1,5e-06,20.73231,[131 110] ; [43  5],[145.10034602  95.89965398] ; [28.89965398 19.10034602],1
p12,1,6e-06,20.53517,[ 22 219] ; [16 32],[ 31.68858131 209.31141869] ; [ 6.31141869 41.68858131],1
p4,1,7e-05,15.807599,[151  92] ; [44  4],[162.83505155  80.16494845] ; [32.16494845 15.83505155],1
s1,1,0.000223,13.6277,[  6 235] ; [ 7 41],[ 10.84083045 230.15916955] ; [ 2.15916955 45.84083045],1
b5,1,0.000297,13.090666,[155  89] ; [17 31],[143.7260274 100.2739726] ; [28.2739726 19.7260274],1
p3,1,0.000401,12.525933,[131 113] ; [39  9],[142.05479452 101.94520548] ; [27.94520548 20.05479452],1
p6,1,0.000768,11.318061,[103 139] ; [32 14],[113.4375 128.5625] ; [21.5625 24.4375],1
s7,1,0.002025,9.526801,[184  49] ; [46  1],[191.39285714  41.60714286] ; [38.60714286  8.39285714],0
s5,1,0.002419,9.200825,[103 128] ; [30 13],[112.12773723 118.87226277] ; [20.87226277 22.12773723],0
a1,1,0.00457,8.042053,[ 10 234] ; [ 7 41],[ 14.20547945 229.79452055] ; [ 2.79452055 45.20547945],0
n4,1,0.005625,7.666553,[191  51] ; [46  2],[197.77241379  44.22758621] ; [39.22758621  8.77241379],0
n5,1,0.005793,7.613611,[192  51] ; [46  2],[198.74226804  44.25773196] ; [39.25773196  8.74226804],0
v1,1,0.017685,5.627106,[136  98] ; [36 11],[143.23131673  90.76868327] ; [28.76868327 18.23131673],0
v3,1,0.034398,4.474795,[100 134] ; [28 19],[106.59074733 127.40925267] ; [21.40925267 25.59074733],0
p7,1,0.048319,3.898851,[160  75] ; [38  8],[165.58718861  69.41281139] ; [32.41281139 13.58718861],0
a2,1,0.060862,3.513725,[ 73 171] ; [ 8 40],[ 67.68493151 176.31506849] ; [13.31506849 34.68493151],0
u4,1,0.069881,3.285823,[ 10 234] ; [ 5 43],[ 12.53424658 231.46575342] ; [ 2.46575342 45.53424658],0
a6,1,0.078146,3.103055,[173  70] ; [28 20],[167.84536082  75.15463918] ; [33.15463918 14.84536082],0
n6,1,0.084963,2.967302,[211  31] ; [46  2],[214.46206897  27.53793103] ; [42.53793103  5.46206897],0
s6,1,0.104093,2.641691,[218  22] ; [46  1],[220.76655052  19.23344948] ; [43.23344948  3.76655052],0
u3,1,0.134184,2.243416,[40 13] ; [4 4],[38.2295082 14.7704918] ; [5.7704918 2.2295082],0
d3,1,0.167332,1.906683,[169  75] ; [38 10],[172.97260274  71.02739726] ; [34.02739726 13.97260274],0
u1,1,0.179036,1.805607,[ 57 187] ; [ 7 41],[ 53.47945205 190.52054795] ; [10.52054795 37.47945205],0
n1,1,0.20438,1.610795,[23 25] ; [10  5],[25.14285714 22.85714286] ; [7.85714286 7.14285714],0
n3,1,0.224531,1.475177,[38 12] ; [9 6],[36.15384615 13.84615385] ; [10.84615385  4.15384615],0
r3,1,0.322987,0.976813,[236   8] ; [45  3],[234.80821918   9.19178082] ; [46.19178082  1.80821918],0
a5,1,0.343964,0.8956,[193  51] ; [35 13],[190.52054795  53.47945205] ; [37.47945205 10.52054795],0
b4,1,0.37425,0.789505,[139 105] ; [24 24],[136.20547945 107.79452055] ; [26.79452055 21.20547945],0
v2,1,0.387112,0.747995,[144  88] ; [26 21],[141.36200717  90.63799283] ; [28.63799283 18.36200717],0
d1,1,0.438147,0.60113,[164  80] ; [35 13],[166.28767123  77.71232877] ; [32.71232877 15.28767123],0
r1,1,0.445522,0.582018,[201  41] ; [42  6],[202.77931034  39.22068966] ; [40.22068966  7.77931034],0
a3,1,0.45894,0.54848,[191  52] ; [40  8],[192.89690722  50.10309278] ; [38.10309278  9.89690722],0
u2,1,0.465976,0.531501,[33 19] ; [4 4],[32.06666667 19.93333333] ; [4.93333333 3.06666667],0
p9,1,0.470972,0.519694,[219  23] ; [45  3],[220.30344828  21.69655172] ; [43.69655172  4.30344828],0
s4,1,0.513818,0.426284,[ 56 187] ; [ 9 39],[ 54.27835052 188.72164948] ; [10.72164948 37.27835052],0
p2,1,0.552228,0.353341,[210  33] ; [43  5],[211.26804124  31.73195876] ; [41.73195876  6.26804124],0
r4,1,0.574626,0.315004,[229  15] ; [44  4],[228.12328767  15.87671233] ; [44.87671233  3.12328767],0
d5,1,0.626687,0.236581,[206  37] ; [42  6],[207.09278351  35.90721649] ; [40.90721649  7.09278351],0
a8,1,0.662228,0.190828,[ 38 187] ; [ 9 37],[ 39.02214022 185.97785978] ; [ 7.97785978 38.02214022],0
s2,1,0.663089,0.189793,[214  30] ; [41  7],[213.08219178  30.91780822] ; [41.91780822  6.08219178],0
d4,1,0.67666,0.17391,[207  36] ; [42  6],[207.92783505  35.07216495] ; [41.07216495  6.92783505],0
