Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,106.343638,[284 117] ; [ 60 157],[223.21035599 177.78964401] ; [120.78964401  96.21035599],1
p6,1,0.0,70.754624,[216 187] ; [ 40 175],[166.93851133 236.06148867] ; [ 89.06148867 125.93851133],1
p3,1,0.0,47.453561,[263 143] ; [ 78 139],[222.2247191 183.7752809] ; [118.7752809  98.2247191],1
p2,1,0.0,47.008558,[373  33] ; [155  63],[343.53846154  62.46153846] ; [184.46153846  33.53846154],1
p4,1,0.0,31.727328,[295 110] ; [109 108],[263.05466238 141.94533762] ; [140.94533762  76.05466238],1
r4,1,0.0,26.152434,[389  17] ; [183  35],[372.16666667  33.83333333] ; [199.83333333  18.16666667],1
p10,1,3e-06,21.565954,[361  42] ; [163  53],[341.15024233  61.84975767] ; [182.84975767  33.15024233],1
s5,1,8.5e-05,15.44765,[161 233] ; [ 50 153],[139.25293132 254.74706868] ; [ 71.74706868 131.25293132],1
v1,1,0.000166,14.184041,[246 153] ; [ 95 113],[224.14991763 174.85008237] ; [116.85008237  91.14991763],1
p9,1,0.0003,13.069555,[363  39] ; [171  43],[348.48701299  53.51298701] ; [185.51298701  28.48701299],1
r3,1,0.000394,12.558371,[393  10] ; [197  19],[384.11954766  18.88045234] ; [205.88045234  10.11954766],1
r1,1,0.000981,10.862506,[343  60] ; [162  56],[327.72141707  75.27858293] ; [177.27858293  40.72141707],1
p5,1,0.001768,9.776268,[ 71 333] ; [ 18 198],[ 57.99354839 346.00645161] ; [ 31.00645161 184.99354839],0
b5,1,0.005069,7.854512,[225 181] ; [146  72],[241.38782051 164.61217949] ; [129.61217949  88.38782051],0
p11,1,0.005608,7.672227,[347  59] ; [167  51],[334.42948718  71.57051282] ; [179.57051282  38.42948718],0
r2,1,0.00589,7.583577,[387  13] ; [198  18],[379.87012987  20.12987013] ; [205.12987013  10.87012987],0
s8,1,0.006826,7.318116,[212 191] ; [ 89 127],[195.96607431 207.03392569] ; [105.03392569 110.96607431],0
s7,1,0.007361,7.18273,[224 163] ; [ 96 111],[208.48484848 178.51515152] ; [111.51515152  95.48484848],0
v4,1,0.010964,6.471148,[391  13] ; [201  17],[384.51446945  19.48553055] ; [207.48553055  10.51446945],0
v2,1,0.012566,6.229262,[243 152] ; [106 102],[228.61525705 166.38474295] ; [120.38474295  87.61525705],0
v3,1,0.013759,6.068868,[187 211] ; [ 76 132],[172.72937294 225.27062706] ; [ 90.27062706 117.72937294],0
b4,1,0.01577,5.828294,[222 184] ; [141  77],[236.18269231 169.81730769] ; [126.81730769  91.18269231],0
s3,1,0.018329,5.564437,[244 157] ; [108 104],[230.26427406 170.73572594] ; [121.73572594  90.26427406],0
a8,1,0.019993,5.412475,[ 69 298] ; [ 22 174],[ 59.31971581 307.68028419] ; [ 31.68028419 164.31971581],0
d5,1,0.023493,5.131682,[345  60] ; [170  48],[334.79133226  70.20866774] ; [180.20866774  37.79133226],0
a3,1,0.036553,4.371101,[307  97] ; [148  69],[296.00644122 107.99355878] ; [158.99355878  58.00644122],0
s2,1,0.04702,3.944685,[224 179] ; [100 112],[212.31219512 190.68780488] ; [111.68780488 100.31219512],0
s6,1,0.054713,3.690798,[283 110] ; [138  76],[272.57495881 120.42504119] ; [148.42504119  65.57495881],0
d3,1,0.094258,2.800099,[289 117] ; [141  77],[279.77564103 126.22435897] ; [150.22435897  67.77564103],0
s1,1,0.128748,2.307542,[ 11 391] ; [ 11 204],[ 14.33387358 387.66612642] ; [  7.66612642 207.33387358],0
d4,1,0.160328,1.971132,[341  64] ; [173  44],[334.67845659  70.32154341] ; [179.32154341  37.67845659],0
a1,1,0.185524,1.752812,[ 25 381] ; [  8 210],[ 21.47115385 384.52884615] ; [ 11.52884615 206.47115385],0
d1,1,0.19105,1.709499,[260 146] ; [128  90],[252.44871795 153.55128205] ; [135.55128205  82.44871795],0
a2,1,0.25579,1.291402,[112 294] ; [ 51 167],[106.05448718 299.94551282] ; [ 56.94551282 161.05448718],0
d2,1,0.27316,1.20081,[207 199] ; [119  95],[213.47741935 192.52258065] ; [112.52258065 101.47741935],0
n5,1,0.287881,1.129507,[365  41] ; [189  28],[361.03370787  44.96629213] ; [192.96629213  24.03370787],0
n1,1,0.29583,1.092897,[27 37] ; [27 25],[29.79310345 34.20689655] ; [24.20689655 27.79310345],0
b2,1,0.42093,0.647717,[112 158] ; [50 84],[108.26732673 161.73267327] ; [53.73267327 80.26732673],0
b3,1,0.42093,0.647717,[112 158] ; [50 84],[108.26732673 161.73267327] ; [53.73267327 80.26732673],0
a5,1,0.552694,0.352513,[314  92] ; [164  54],[311.00641026  94.99358974] ; [166.99358974  51.00641026],0
u2,1,0.66707,0.185048,[48 49] ; [37 33],[49.37125749 47.62874251] ; [35.62874251 34.37125749],0
n2,1,0.675261,0.175509,[50 15] ; [39 14],[49.02542373 15.97457627] ; [39.97457627 13.02542373],0
u4,1,0.68059,0.169462,[  9 396] ; [  6 212],[  9.75120385 395.24879615] ; [  5.24879615 212.75120385],0
