Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,38.803596,[ 2 10] ; [165  25],[9.92079208 2.07920792] ; [157.07920792  32.92079208],1
r2,1,0.000417,12.452739,[7 4] ; [174  12],[10.10659898  0.89340102] ; [170.89340102  15.10659898],1
v2,1,0.0006,11.776218,[ 1 11] ; [107  74],[6.71502591 5.28497409] ; [101.28497409  79.71502591],1
p2,1,0.001488,10.092818,[4 8] ; [141  46],[8.74371859 3.25628141] ; [136.25628141  50.74371859],0
v4,1,0.003824,8.365671,[8 4] ; [172  15],[10.85427136  1.14572864] ; [169.14572864  17.85427136],0
p9,1,0.004372,8.122343,[4 8] ; [133  51],[8.3877551 3.6122449] ; [128.6122449  55.3877551],0
b1,1,0.005114,7.838571,[9 3] ; [ 66 124],[4.45544554 7.54455446] ; [ 70.54455446 119.45544554],0
p11,1,0.005114,7.838571,[3 9] ; [124  66],[7.54455446 4.45544554] ; [119.45544554  70.54455446],0
n2,1,0.007984,7.037009,[1 6] ; [39 20],[4.24242424 2.75757576] ; [35.75757576 23.24242424],0
n6,1,0.009031,6.816672,[3 9] ; [119  70],[7.28358209 4.71641791] ; [114.71641791  74.28358209],0
s3,1,0.010547,6.540124,[ 1 10] ; [91 96],[5.11111111 5.88888889] ; [ 86.88888889 100.11111111],0
s2,1,0.014626,5.960989,[ 1 11] ; [ 84 106],[5.04950495 6.95049505] ; [ 79.95049505 110.04950495],0
p7,1,0.018938,5.507242,[ 2 10] ; [96 90],[5.93939394 6.06060606] ; [92.06060606 93.93939394],0
s6,1,0.019678,5.440204,[3 9] ; [111  76],[6.87437186 5.12562814] ; [107.12562814  79.87437186],0
a6,1,0.025982,4.957213,[4 8] ; [124  66],[7.6039604 4.3960396] ; [120.3960396  69.6039604],0
r1,1,0.049027,3.874444,[6 6] ; [143  46],[8.89552239 3.10447761] ; [140.10447761  48.89552239],0
p4,1,0.053126,3.739943,[ 2 10] ; [ 85 103],[5.22 6.78] ; [ 81.78 106.22],0
s8,1,0.062334,3.474164,[ 1 11] ; [ 65 124],[3.94029851 8.05970149] ; [ 62.05970149 126.94029851],0
n3,1,0.079699,3.071037,[3 4] ; [44 15],[4.98484848 2.01515152] ; [42.01515152 16.98484848],0
a5,1,0.134867,2.235571,[6 6] ; [134  56],[8.31683168 3.68316832] ; [131.68316832  58.31683168],0
a3,1,0.186995,1.741134,[6 6] ; [130  60],[8.07920792 3.92079208] ; [127.92079208  62.07920792],0
p10,1,0.201041,1.634793,[6 6] ; [125  59],[8.02040816 3.97959184] ; [122.97959184  61.02040816],0
s7,1,0.223217,1.483571,[2 8] ; [ 71 110],[3.82198953 6.17801047] ; [ 69.17801047 111.82198953],0
p8,1,0.239358,1.384371,[3 9] ; [ 79 108],[4.94472362 7.05527638] ; [ 77.05527638 109.94472362],0
s5,1,0.291359,1.11333,[ 2 10] ; [ 56 124],[3.625 8.375] ; [ 54.375 125.625],0
u3,1,0.389843,0.739431,[5 1] ; [39 20],[4.06153846 1.93846154] ; [39.93846154 19.06153846],0
a7,1,0.39482,0.724047,[8 4] ; [147  43],[9.20792079 2.79207921] ; [145.79207921  44.20792079],0
n1,1,0.426814,0.631477,[3 4] ; [17 43],[2.08955224 4.91044776] ; [17.91044776 42.08955224],0
b5,1,0.493886,0.468049,[6 6] ; [114  76],[7.12871287 4.87128713] ; [112.87128713  77.12871287],0
d1,1,0.519109,0.415664,[7 5] ; [128  62],[8.01980198 3.98019802] ; [126.98019802  63.01980198],0
n4,1,0.573395,0.317035,[4 8] ; [ 79 111],[4.93069307 7.06930693] ; [ 78.06930693 111.93069307],0
d2,1,0.575503,0.313562,[5 7] ; [95 95],[5.94059406 6.05940594] ; [94.05940594 95.94059406],0
v1,1,0.636894,0.222827,[4 8] ; [ 74 110],[4.7755102 7.2244898] ; [ 73.2244898 110.7755102],0
s1,1,0.649424,0.206627,[ 1 11] ; [ 10 180],[ 0.65346535 11.34653465] ; [ 10.34653465 179.65346535],0
u2,1,0.668588,0.183258,[4 2] ; [34 25],[3.50769231 2.49230769] ; [34.49230769 24.50769231],0
p3,1,0.704409,0.143926,[4 8] ; [ 73 115],[4.62 7.38] ; [ 72.38 115.62],0
s4,1,0.711114,0.137166,[3 9] ; [ 39 151],[2.4950495 9.5049505] ; [ 39.5049505 150.4950495],0
d3,1,0.780667,0.077535,[9 3] ; [149  41],[9.38613861 2.61386139] ; [148.61386139  41.38613861],0
v3,1,0.808443,0.058775,[3 9] ; [ 50 127],[3.36507937 8.63492063] ; [ 49.63492063 127.36507937],0
b4,1,0.86321,0.029684,[8 4] ; [122  68],[7.72277228 4.27722772] ; [122.27722772  67.72277228],0
a2,1,0.878888,0.023219,[ 2 10] ; [ 35 155],[2.1980198 9.8019802] ; [ 34.8019802 155.1980198],0
b3,1,0.882607,0.021805,[2 4] ; [32 73],[1.83783784 4.16216216] ; [32.16216216 72.83783784],0
b2,1,0.882607,0.021805,[2 4] ; [32 73],[1.83783784 4.16216216] ; [32.16216216 72.83783784],0
a4,1,0.947726,0.004298,[5 7] ; [ 81 109],[5.10891089 6.89108911] ; [ 80.89108911 109.10891089],0
d4,1,0.99153,0.000113,[11  1] ; [174  16],[10.99009901  1.00990099] ; [174.00990099  15.99009901],0
