Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,37.910283,[20 37] ; [51  5],[35.81415929 21.18584071] ; [35.18584071 20.81415929],1
d2,1,1e-06,25.153897,[ 7 50] ; [32 24],[19.67256637 37.32743363] ; [19.32743363 36.67256637],1
a7,1,0.004955,7.895715,[33 24] ; [46 10],[39.84955752 17.15044248] ; [39.15044248 16.84955752],0
a4,1,0.005958,7.562955,[10 47] ; [23 33],[16.6460177 40.3539823] ; [16.3539823 39.6460177],0
a2,1,0.011335,6.412061,[ 3 54] ; [12 44],[ 7.56637168 49.43362832] ; [ 7.43362832 48.56637168],0
a3,1,0.017677,5.627897,[25 32] ; [37 19],[31.27433628 25.72566372] ; [30.72566372 25.27433628],0
a5,1,0.018772,5.522656,[21 36] ; [33 23],[27.23893805 29.76106195] ; [26.76106195 29.23893805],0
s2,1,0.034582,4.46571,[15 42] ; [25 30],[20.35714286 36.64285714] ; [19.64285714 35.35714286],0
u1,1,0.048214,3.902507,[ 1 56] ; [ 6 50],[ 3.53097345 53.46902655] ; [ 3.46902655 52.53097345],0
r3,1,0.056902,3.625448,[46 11] ; [52  4],[49.43362832  7.56637168] ; [48.56637168  7.43362832],0
a6,1,0.06371,3.43806,[30 27] ; [39 17],[34.80530973 22.19469027] ; [34.19469027 21.80530973],0
p9,1,0.073739,3.197764,[42 13] ; [32 21],[37.68518519 17.31481481] ; [36.31481481 16.68518519],0
n5,1,0.077043,3.126194,[22 35] ; [13 43],[17.65486726 39.34513274] ; [17.34513274 38.65486726],0
n2,1,0.094264,2.8,[18  6] ; [17 15],[15.  9.] ; [20. 12.],0
s3,1,0.105537,2.619814,[18 39] ; [26 30],[22.19469027 34.80530973] ; [21.80530973 34.19469027],0
u2,1,0.145174,2.122241,[13 18] ; [12  7],[15.5 15.5] ; [9.5 9.5],0
s5,1,0.154169,2.03051,[11 45] ; [17 37],[14.25454545 41.74545455] ; [13.74545455 40.25454545],0
r1,1,0.156986,2.00302,[32 25] ; [38 17],[35.625 21.375] ; [34.375 20.625],0
s7,1,0.216334,1.528527,[10 47] ; [14 37],[12.66666667 44.33333333] ; [11.33333333 39.66666667],0
v2,1,0.218277,1.515661,[21 34] ; [26 26],[24.1588785 30.8411215] ; [22.8411215 29.1588785],0
p11,1,0.222458,1.488442,[33 24] ; [26 30],[29.76106195 27.23893805] ; [29.23893805 26.76106195],0
p1,1,0.251545,1.314704,[ 5 52] ; [ 2 54],[ 3.53097345 53.46902655] ; [ 3.46902655 52.53097345],0
n1,1,0.299759,1.075267,[ 5 19] ; [11 22],[ 6.73684211 17.26315789] ; [ 9.26315789 23.73684211],0
u3,1,0.301204,1.068855,[19 13] ; [14  5],[20.70588235 11.29411765] ; [12.29411765  6.70588235],0
s6,1,0.347777,0.881553,[25 32] ; [29 26],[27.48214286 29.51785714] ; [26.51785714 28.48214286],0
p10,1,0.349781,0.874251,[35 21] ; [29 25],[32.58181818 23.41818182] ; [31.41818182 22.58181818],0
