Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,9e-06,19.664607,[58 34] ; [ 2 19],[48.84955752 43.15044248] ; [11.15044248  9.84955752],1
d5,1,0.000214,13.705583,[78 14] ; [10 11],[71.6460177 20.3539823] ; [16.3539823  4.6460177],1
d3,1,0.000426,12.412499,[71 21] ; [ 8 13],[64.31858407 27.68141593] ; [14.68141593  6.31858407],1
v2,1,0.007832,7.071419,[46 44] ; [ 4 17],[40.54054054 49.45945946] ; [ 9.45945946 11.54054054],0
a6,1,0.009631,6.70182,[70 22] ; [10 11],[65.13274336 26.86725664] ; [14.86725664  6.13274336],0
r3,1,0.012613,6.222581,[84  8] ; [15  6],[80.60176991 11.39823009] ; [18.39823009  2.60176991],0
s6,1,0.013027,6.165373,[49 42] ; [ 5 16],[43.875 47.125] ; [10.125 10.875],0
a2,1,0.022693,5.191834,[26 66] ; [ 1 20],[21.98230088 70.01769912] ; [ 5.01769912 15.98230088],0
s1,1,0.091468,2.848352,[ 4 87] ; [ 3 18],[ 5.6875 85.3125] ; [ 1.3125 19.6875],0
a3,1,0.093949,2.805368,[64 28] ; [10 10],[60.78571429 31.21428571] ; [13.21428571  6.78571429],0
s4,1,0.125347,2.349206,[10 80] ; [ 5 16],[12.16216216 77.83783784] ; [ 2.83783784 18.16216216],0
a5,1,0.133937,2.246274,[60 32] ; [10 11],[56.99115044 35.00884956] ; [13.00884956  7.99115044],0
s5,1,0.157432,1.998722,[15 74] ; [ 1 20],[12.94545455 76.05454545] ; [ 3.05454545 17.94545455],0
a4,1,0.160344,1.97098,[37 55] ; [ 5 16],[34.19469027 57.80530973] ; [ 7.80530973 13.19469027],0
n1,1,0.171205,1.872359,[11 20] ; [6 4],[12.85365854 18.14634146] ; [4.14634146 5.85365854],0
d2,1,0.209764,1.573054,[49 43] ; [ 8 13],[46.40707965 45.59292035] ; [10.59292035 10.40707965],0
r2,1,0.229886,1.441564,[83  9] ; [17  4],[81.4159292 10.5840708] ; [18.5840708  2.4159292],0
b4,1,0.231161,1.433704,[61 31] ; [11 10],[58.61946903 33.38053097] ; [13.38053097  7.61946903],0
n3,1,0.23478,1.411667,[19 13] ; [8 2],[20.57142857 11.42857143] ; [6.42857143 3.57142857],0
p4,1,0.236047,1.40405,[39 52] ; [12  9],[41.4375 49.5625] ; [ 9.5625 11.4375],0
p1,1,0.242467,1.366194,[ 6 85] ; [ 3 18],[ 7.3125 83.6875] ; [ 1.6875 19.3125],0
p11,1,0.244294,1.355646,[48 44] ; [ 8 13],[45.59292035 46.40707965] ; [10.40707965 10.59292035],0
s2,1,0.254671,1.297496,[30 61] ; [ 4 16],[27.87387387 63.12612613] ; [ 6.12612613 13.87387387],0
r1,1,0.260918,1.263878,[72 20] ; [14  7],[70.01769912 21.98230088] ; [15.98230088  5.01769912],0
r4,1,0.260918,1.263878,[72 20] ; [14  7],[70.01769912 21.98230088] ; [15.98230088  5.01769912],0
s7,1,0.270495,1.214236,[28 58] ; [ 4 16],[25.96226415 60.03773585] ; [ 6.03773585 13.96226415],0
p6,1,0.337088,0.921473,[17 72] ; [ 6 15],[18.60909091 70.39090909] ; [ 4.39090909 16.60909091],0
p3,1,0.36801,0.810374,[27 64] ; [ 8 12],[28.69369369 62.30630631] ; [ 6.30630631 13.69369369],0
u2,1,0.385831,0.752039,[14 13] ; [4 7],[12.78947368 14.21052632] ; [5.21052632 5.78947368],0
b5,1,0.428263,0.627531,[61 31] ; [12  9],[59.43362832 32.56637168] ; [13.56637168  7.43362832],0
v4,1,0.476396,0.507102,[80 12] ; [17  4],[78.97345133 13.02654867] ; [18.02654867  2.97345133],0
p7,1,0.500542,0.453787,[38 53] ; [10 10],[39.35135135 51.64864865] ; [ 8.64864865 11.35135135],0
n6,1,0.51701,0.419853,[63 28] ; [13  8],[61.75 29.25] ; [14.25  6.75],0
n4,1,0.562451,0.335478,[63 29] ; [13  8],[61.87610619 30.12389381] ; [14.12389381  6.87610619],0
p2,1,0.621512,0.243748,[56 36] ; [14  7],[56.99115044 35.00884956] ; [13.00884956  7.99115044],0
b2,1,0.624039,0.240232,[18 36] ; [ 4 11],[17.2173913 36.7826087] ; [ 4.7826087 10.2173913],0
b3,1,0.624039,0.240232,[18 36] ; [ 4 11],[17.2173913 36.7826087] ; [ 4.7826087 10.2173913],0
a1,1,0.628403,0.234233,[ 6 86] ; [ 2 19],[ 6.51327434 85.48672566] ; [ 1.48672566 19.51327434],0
n5,1,0.652502,0.202761,[52 40] ; [13  8],[52.92035398 39.07964602] ; [12.07964602  8.92035398],0
u3,1,0.724507,0.124215,[17 11] ; [6 5],[16.51282051 11.48717949] ; [6.48717949 4.51282051],0
s3,1,0.761485,0.092131,[38 54] ; [ 9 11],[38.60714286 53.39285714] ; [ 8.39285714 11.60714286],0
s8,1,0.767995,0.087024,[20 71] ; [ 4 17],[19.5 71.5] ; [ 4.5 16.5],0
v3,1,0.768917,0.086314,[29 62] ; [ 6 15],[28.4375 62.5625] ; [ 6.5625 14.4375],0
v1,1,0.826416,0.048093,[33 59] ; [ 7 14],[32.56637168 59.43362832] ; [ 7.43362832 13.56637168],0
n2,1,0.887001,0.020192,[20 12] ; [6 4],[19.80952381 12.19047619] ; [6.19047619 3.80952381],0
a8,1,0.906554,0.01378,[ 8 75] ; [ 2 17],[ 8.1372549 74.8627451] ; [ 1.8627451 17.1372549],0
p10,1,0.919189,0.010293,[25 66] ; [ 6 15],[25.1875 65.8125] ; [ 5.8125 15.1875],0
b1,1,0.958669,0.002686,[52 40] ; [12  9],[52.10619469 39.89380531] ; [11.89380531  9.10619469],0
p8,1,0.985244,0.000342,[32 60] ; [ 7 13],[32.03571429 59.96428571] ; [ 6.96428571 13.03571429],0
