Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.162214,[98 13] ; [33 36],[80.78333333 30.21666667] ; [50.21666667 18.78333333],1
r2,1,0.000522,12.037045,[101   9] ; [50 19],[92.79329609 17.20670391] ; [58.20670391 10.79329609],1
d4,1,0.000871,11.082789,[89 21] ; [40 29],[79.27374302 30.72625698] ; [49.72625698 19.27374302],1
a2,1,0.001146,10.575793,[19 92] ; [ 1 68],[12.33333333 98.66666667] ; [ 7.66666667 61.33333333],0
d1,1,0.002431,9.191875,[56 55] ; [19 50],[46.25 64.75] ; [28.75 40.25],0
a4,1,0.005052,7.86069,[43 68] ; [13 56],[34.53333333 76.46666667] ; [21.46666667 47.53333333],0
a3,1,0.005308,7.771523,[71 40] ; [29 39],[62.01117318 48.98882682] ; [37.98882682 30.01117318],0
a7,1,0.00626,7.473898,[81 30] ; [36 32],[72.55307263 38.44692737] ; [44.44692737 23.55307263],0
d3,1,0.008935,6.835741,[75 36] ; [32 35],[66.7247191 44.2752809] ; [40.2752809 26.7247191],0
a6,1,0.010306,6.581165,[73 38] ; [32 37],[64.75 46.25] ; [40.25 28.75],0
v2,1,0.011057,6.456158,[44 61] ; [16 53],[36.20689655 68.79310345] ; [23.79310345 45.20689655],0
d5,1,0.012941,6.17714,[82 29] ; [38 30],[74.41340782 36.58659218] ; [45.58659218 22.41340782],0
s6,1,0.015223,5.890517,[63 46] ; [27 42],[55.11235955 53.88764045] ; [34.88764045 34.11235955],0
a5,1,0.022756,5.18705,[66 45] ; [29 40],[58.58333333 52.41666667] ; [36.41666667 32.58333333],0
u3,1,0.050229,3.833806,[27 12] ; [19 21],[22.70886076 16.29113924] ; [23.29113924 16.70886076],0
r3,1,0.062383,3.472876,[101   9] ; [57 12],[97.09497207 12.90502793] ; [60.90502793  8.09497207],0
v1,1,0.065646,3.388674,[44 66] ; [18 50],[38.31460674 71.68539326] ; [23.68539326 44.31460674],0
a1,1,0.066207,3.374647,[  2 109] ; [ 5 64],[  4.31666667 106.68333333] ; [ 2.68333333 66.31666667],0
n3,1,0.084605,2.974138,[30 10] ; [16 13],[26.66666667 13.33333333] ; [19.33333333  9.66666667],0
s3,1,0.091733,2.8437,[54 56] ; [25 44],[48.54748603 61.45251397] ; [30.45251397 38.54748603],0
v4,1,0.113691,2.502148,[100   9] ; [58 11],[96.75280899 12.24719101] ; [61.24719101  7.75280899],0
p5,1,0.140971,2.167331,[  2 109] ; [ 4 64],[  3.72067039 107.27932961] ; [ 2.27932961 65.72067039],0
p2,1,0.168982,1.891948,[83 28] ; [45 24],[78.93333333 32.06666667] ; [49.06666667 19.93333333],0
u1,1,0.240156,1.379676,[ 10 101] ; [ 3 66],[  8.01666667 102.98333333] ; [ 4.98333333 64.01666667],0
p10,1,0.244215,1.356096,[72 37] ; [39 29],[68.3559322 40.6440678] ; [42.6440678 25.3559322],0
s7,1,0.269178,1.220933,[32 73] ; [15 51],[28.85964912 76.14035088] ; [18.14035088 47.85964912],0
b5,1,0.292875,1.106358,[73 38] ; [40 29],[69.68333333 41.31666667] ; [43.31666667 25.68333333],0
p7,1,0.310772,1.027391,[59 47] ; [32 35],[55.75722543 50.24277457] ; [35.24277457 31.75722543],0
s8,1,0.319844,0.989585,[33 77] ; [16 53],[30.11173184 79.88826816] ; [18.88826816 50.11173184],0
b4,1,0.327583,0.958429,[63 48] ; [34 35],[59.81666667 51.18333333] ; [37.18333333 31.81666667],0
d2,1,0.351904,0.866578,[43 68] ; [22 47],[40.08333333 70.91666667] ; [24.91666667 44.08333333],0
p8,1,0.363212,0.826756,[47 63] ; [24 43],[44.12429379 65.87570621] ; [26.87570621 40.12429379],0
n5,1,0.370397,0.802331,[37 72] ; [28 41],[39.80337079 69.19662921] ; [25.19662921 43.80337079],0
b1,1,0.42948,0.62423,[48 63] ; [34 35],[50.56666667 60.43333333] ; [31.43333333 37.56666667],0
p1,1,0.434915,0.609663,[  5 106] ; [ 5 64],[  6.16666667 104.83333333] ; [ 3.83333333 65.16666667],0
p9,1,0.489705,0.477174,[77 32] ; [44 23],[74.9375 34.0625] ; [46.0625 20.9375],0
s5,1,0.509031,0.436059,[30 77] ; [16 52],[28.12571429 78.87428571] ; [17.87428571 50.12571429],0
n6,1,0.54099,0.373708,[71 40] ; [41 28],[69.06666667 41.93333333] ; [42.93333333 26.06666667],0
p11,1,0.54099,0.373708,[71 40] ; [41 28],[69.06666667 41.93333333] ; [42.93333333 26.06666667],0
s1,1,0.557681,0.343735,[  3 107] ; [ 3 66],[  3.68715084 106.31284916] ; [ 2.31284916 66.68715084],0
u2,1,0.576353,0.312167,[20 19] ; [18 22],[18.75949367 20.24050633] ; [19.24050633 20.75949367],0
p6,1,0.665445,0.186976,[27 81] ; [19 49],[28.22727273 79.77272727] ; [17.77272727 50.22727273],0
s4,1,0.686005,0.163444,[26 85] ; [18 51],[27.13333333 83.86666667] ; [16.86666667 52.13333333],0
a8,1,0.690757,0.158267,[ 6 96] ; [ 3 64],[ 5.43195266 96.56804734] ; [ 3.56804734 63.43195266],0
n2,1,0.730159,0.118966,[26 14] ; [20  9],[26.66666667 13.33333333] ; [19.33333333  9.66666667],0
p12,1,0.737891,0.111989,[  1 109] ; [ 1 68],[  1.22905028 108.77094972] ; [ 0.77094972 68.22905028],0
s2,1,0.788044,0.072281,[44 66] ; [29 40],[44.8603352 65.1396648] ; [28.1396648 40.8603352],0
p3,1,0.927556,0.008266,[35 76] ; [21 47],[34.72625698 76.27374302] ; [21.27374302 46.72625698],0
b2,1,0.939198,0.005818,[14 42] ; [ 9 26],[14.15384615 41.84615385] ; [ 8.84615385 26.15384615],0
b3,1,0.939198,0.005818,[14 42] ; [ 9 26],[14.15384615 41.84615385] ; [ 8.84615385 26.15384615],0
n1,1,0.950044,0.003925,[12 29] ; [ 8 20],[11.88405797 29.11594203] ; [ 8.11594203 19.88405797],0
p4,1,0.965188,0.001905,[45 65] ; [28 41],[44.8603352 65.1396648] ; [28.1396648 40.8603352],0
