Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.007467,7.157056,[ 8 60] ; [2 1],[ 9.57746479 58.42253521] ; [0.42253521 2.57746479],0
v1,1,0.17207,1.864819,[20 48] ; [2 1],[21.07042254 46.92957746] ; [0.92957746 2.07042254],0
v2,1,0.178997,1.805932,[20 47] ; [2 1],[21.05714286 45.94285714] ; [0.94285714 2.05714286],0
a4,1,0.425049,0.636314,[29 38] ; [2 1],[29.67142857 37.32857143] ; [1.32857143 1.67142857],0
n1,1,0.476108,0.507766,[14 17] ; [2 1],[14.58823529 16.41176471] ; [1.41176471 1.58823529],0
s8,1,0.511587,0.430819,[12 54] ; [1 2],[12.43478261 53.56521739] ; [0.56521739 2.43478261],0
a6,1,0.521536,0.410854,[32 35] ; [2 1],[32.54285714 34.45714286] ; [1.45714286 1.54285714],0
s6,1,0.537857,0.379526,[32 34] ; [2 1],[32.52173913 33.47826087] ; [1.47826087 1.52173913],0
d3,1,0.589354,0.291354,[34 33] ; [2 1],[34.45714286 32.54285714] ; [1.54285714 1.45714286],0
a2,1,0.596643,0.280089,[14 54] ; [1 2],[14.36619718 53.63380282] ; [0.63380282 2.36619718],0
n2,1,0.617918,0.248805,[16 15] ; [2 1],[16.41176471 14.58823529] ; [1.58823529 1.41176471],0
a7,1,0.712444,0.135848,[38 30] ; [2 1],[38.30985915 29.69014085] ; [1.69014085 1.30985915],0
n6,1,0.712444,0.135848,[38 30] ; [2 1],[38.30985915 29.69014085] ; [1.69014085 1.30985915],0
n3,1,0.738269,0.111654,[17 13] ; [2 1],[17.27272727 12.72727273] ; [1.72727273 1.27272727],0
a5,1,0.749267,0.102148,[39 29] ; [2 1],[39.26760563 28.73239437] ; [1.73239437 1.26760563],0
b4,1,0.749267,0.102148,[39 29] ; [2 1],[39.26760563 28.73239437] ; [1.73239437 1.26760563],0
a3,1,0.749267,0.102148,[39 29] ; [2 1],[39.26760563 28.73239437] ; [1.73239437 1.26760563],0
v3,1,0.758751,0.094323,[16 47] ; [1 2],[16.22727273 46.77272727] ; [0.77272727 2.22727273],0
v4,1,0.805332,0.060739,[49 18] ; [2 1],[48.81428571 18.18571429] ; [2.18571429 0.81428571],0
s3,1,0.809616,0.058043,[27 40] ; [1 2],[26.8 40.2] ; [1.2 1.8],0
n5,1,0.825072,0.048853,[41 27] ; [2 1],[41.18309859 26.81690141] ; [1.81690141 1.18309859],0
s2,1,0.897533,0.016584,[20 47] ; [1 2],[20.1 46.9] ; [0.9 2.1],0
s7,1,0.917542,0.010719,[18 41] ; [1 2],[18.08064516 40.91935484] ; [0.91935484 2.08064516],0
b3,1,0.956559,0.002967,[14 30] ; [1 2],[14.04255319 29.95744681] ; [0.95744681 2.04255319],0
b2,1,0.956559,0.002967,[14 30] ; [1 2],[14.04255319 29.95744681] ; [0.95744681 2.04255319],0
