Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,31.767145,[125  23] ; [17 24],[111.1957672  36.8042328] ; [30.8042328 10.1957672],1
n6,1,0.000292,13.124152,[129  18] ; [26 15],[121.19680851  25.80319149] ; [33.80319149  7.19680851],1
a5,1,0.001915,9.629056,[117  33] ; [22 19],[109.16230366  40.83769634] ; [29.83769634 11.16230366],0
s4,1,0.004617,8.023789,[ 27 122] ; [16 25],[ 33.72105263 115.27894737] ; [ 9.27894737 31.72105263],0
a4,1,0.031032,4.651202,[76 74] ; [13 28],[69.89528796 80.10471204] ; [19.10471204 21.89528796],0
d1,1,0.045349,4.005623,[92 58] ; [18 23],[86.38743455 63.61256545] ; [23.61256545 17.38743455],0
u1,1,0.055976,3.652776,[ 35 115] ; [ 4 37],[ 30.62827225 119.37172775] ; [ 8.37172775 32.62827225],0
a7,1,0.061406,3.498984,[102  48] ; [34  7],[106.80628272  43.19371728] ; [29.19371728 11.80628272],0
d2,1,0.081891,3.026969,[81 68] ; [16 25],[76.06842105 72.93157895] ; [20.93157895 20.06842105],0
a8,1,0.111901,2.527171,[ 29 102] ; [ 4 34],[ 25.57988166 105.42011834] ; [ 7.42011834 30.57988166],0
b2,1,0.127807,2.31894,[38 70] ; [12 11],[41.22137405 66.77862595] ; [ 8.77862595 14.22137405],0
b3,1,0.127807,2.31894,[38 70] ; [12 11],[41.22137405 66.77862595] ; [ 8.77862595 14.22137405],0
p11,1,0.12866,2.308597,[113  37] ; [26 15],[109.16230366  40.83769634] ; [29.83769634 11.16230366],0
p9,1,0.14102,2.166795,[125  23] ; [29 10],[121.88235294  26.11764706] ; [32.11764706  6.88235294],0
r2,1,0.159066,1.983085,[139   6] ; [37  4],[137.20430108   7.79569892] ; [38.79569892  2.20430108],0
u4,1,0.160109,1.973193,[  2 148] ; [ 2 39],[  3.14136126 146.85863874] ; [ 0.85863874 40.14136126],0
u2,1,0.161438,1.960706,[18 15] ; [10  3],[20.08695652 12.91304348] ; [7.91304348 5.08695652],0
r3,1,0.166018,1.91854,[140   9] ; [35  5],[137.96296296  11.03703704] ; [37.03703704  2.96296296],0
v3,1,0.171551,1.869335,[59 88] ; [11 28],[55.32258065 91.67741935] ; [14.67741935 24.32258065],0
r1,1,0.180178,1.796158,[126  23] ; [31 10],[123.12105263  25.87894737] ; [33.87894737  7.12105263],0
p6,1,0.180255,1.795523,[50 99] ; [ 9 31],[ 46.51322751 102.48677249] ; [12.48677249 27.51322751],0
u3,1,0.181858,1.782374,[22 12] ; [11  2],[23.87234043 10.12765957] ; [9.12765957 3.87234043],0
v4,1,0.232852,1.423352,[139   7] ; [37  4],[137.41176471   8.58823529] ; [38.58823529  2.41176471],0
a3,1,0.233641,1.418559,[116  34] ; [28 13],[113.08900524  36.91099476] ; [30.91099476 10.08900524],0
d5,1,0.259163,1.273224,[121  28] ; [30 11],[118.41578947  30.58421053] ; [32.58421053  8.41578947],0
p2,1,0.284919,1.143478,[118  32] ; [29 12],[115.44502618  34.55497382] ; [31.55497382  9.44502618],0
p10,1,0.290613,1.116778,[116  34] ; [34  6],[118.42105263  31.57894737] ; [31.57894737  8.42105263],0
a2,1,0.309531,1.032676,[ 41 109] ; [ 8 33],[ 38.48167539 111.51832461] ; [10.51832461 30.48167539],0
p7,1,0.312233,1.021209,[79 64] ; [17 20],[76.26666667 66.73333333] ; [19.73333333 17.26666667],0
d4,1,0.315254,1.008537,[123  26] ; [31 10],[120.76842105  28.23157895] ; [33.23157895  7.76842105],0
r4,1,0.383421,0.759704,[129  21] ; [33  8],[127.22513089  22.77486911] ; [34.77486911  6.22513089],0
a6,1,0.441488,0.592412,[92 57] ; [28 13],[94.10526316 54.89473684] ; [25.89473684 15.10526316],0
p8,1,0.449365,0.572252,[58 89] ; [18 21],[60.06451613 86.93548387] ; [15.93548387 23.06451613],0
p4,1,0.496942,0.461461,[67 82] ; [16 25],[65.08947368 83.91052632] ; [17.91052632 23.08947368],0
b1,1,0.521196,0.411526,[54 96] ; [17 24],[55.7591623 94.2408377] ; [15.2408377 25.7591623],0
v1,1,0.542752,0.370463,[75 70] ; [19 22],[73.27956989 71.72043011] ; [20.72043011 20.27956989],0
b4,1,0.568406,0.325357,[84 66] ; [25 16],[85.60209424 64.39790576] ; [23.39790576 17.60209424],0
b5,1,0.652343,0.202959,[90 60] ; [23 18],[88.7434555 61.2565445] ; [24.2565445 16.7434555],0
s8,1,0.657159,0.196993,[100  49] ; [26 15],[98.81052632 50.18947368] ; [27.18947368 13.81052632],0
s5,1,0.662409,0.19061,[58 88] ; [17 22],[59.18918919 86.81081081] ; [15.81081081 23.18918919],0
n2,1,0.674227,0.176697,[33  9] ; [14  5],[32.36065574  9.63934426] ; [14.63934426  4.36065574],0
s6,1,0.709229,0.139048,[122  25] ; [33  8],[121.19680851  25.80319149] ; [33.80319149  7.19680851],0
v2,1,0.766936,0.087844,[84 64] ; [20 17],[83.2 64.8] ; [20.8 16.2],0
s2,1,0.806289,0.060131,[109  41] ; [29 12],[108.37696335  41.62303665] ; [29.62303665 11.37696335],0
s3,1,0.847287,0.037088,[109  37] ; [30 11],[108.52406417  37.47593583] ; [30.47593583 10.52406417],0
n3,1,0.859357,0.031397,[27 15] ; [12  6],[27.3 14.7] ; [11.7  6.3],0
n1,1,0.954842,0.003207,[19 23] ; [ 8 10],[18.9 23.1] ; [8.1 9.9],0
d3,1,0.974015,0.001061,[105  44] ; [29 12],[105.08421053  43.91578947] ; [28.91578947 12.08421053],0
