Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,139.437159,[485  77] ; [60 89],[430.78762307 131.21237693] ; [114.21237693  34.78762307],1
n6,1,0.0,33.966568,[508  55] ; [107  42],[486.2991573  76.7008427] ; [128.7008427  20.2991573],1
p4,1,2e-06,22.333122,[367 193] ; [66 83],[342.00282087 217.99717913] ; [90.99717913 58.00282087],1
s7,1,2e-06,22.279989,[288 253] ; [ 46 101],[262.63662791 278.36337209] ; [71.36337209 75.63662791],1
a5,1,4e-06,21.194114,[437 128] ; [88 62],[414.86013986 150.13986014] ; [110.13986014  39.86013986],1
d2,1,7e-06,20.306902,[289 274] ; [ 46 104],[264.52314165 298.47685835] ; [70.47685835 79.52314165],1
a4,1,2.3e-05,17.897033,[270 293] ; [ 43 107],[247.15147265 315.84852735] ; [65.84852735 84.15147265],1
d5,1,2.8e-05,17.55388,[473  91] ; [103  47],[454.99159664 109.00840336] ; [121.00840336  28.99159664],1
a2,1,3.8e-05,16.97243,[146 420] ; [ 15 135],[127.27094972 438.72905028] ; [ 33.72905028 116.27094972],1
p3,1,7.8e-05,15.60382,[307 253] ; [55 95],[285.52112676 274.47887324] ; [76.47887324 73.52112676],1
v3,1,8.9e-05,15.347331,[242 306] ; [ 37 105],[221.5826087 326.4173913] ; [57.4173913 84.5826087],1
d1,1,0.000164,14.202276,[353 213] ; [68 82],[332.80167598 233.19832402] ; [88.19832402 61.80167598],1
a3,1,0.00049,12.153191,[420 144] ; [90 60],[402.85714286 161.14285714] ; [107.14285714  42.85714286],1
u1,1,0.000693,11.506852,[112 454] ; [ 12 138],[ 98.02234637 467.97765363] ; [ 25.97765363 124.02234637],1
v1,1,0.000795,11.25374,[321 226] ; [63 83],[303.0995671 243.9004329] ; [80.9004329 65.0995671],1
p6,1,0.001433,10.163465,[222 331] ; [ 38 109],[205.4 347.6] ; [54.6 92.4],0
r1,1,0.001773,9.771029,[469  95] ; [107  42],[455.62973352 108.37026648] ; [120.37026648  28.62973352],0
s8,1,0.001878,9.665524,[271 291] ; [51 99],[254.16292135 307.83707865] ; [67.83707865 82.16292135],0
p10,1,0.004792,7.956141,[491  66] ; [118  31],[480.47167139  76.52832861] ; [128.52832861  20.47167139],0
a8,1,0.006553,7.391524,[ 84 431] ; [ 10 129],[ 74.02140673 440.97859327] ; [ 19.97859327 119.02140673],0
r2,1,0.008732,6.876771,[533  25] ; [134  15],[526.42998586  31.57001414] ; [140.57001414   8.42998586],0
r4,1,0.009918,6.649637,[530  36] ; [131  19],[522.52234637  43.47765363] ; [138.47765363  11.52234637],0
p12,1,0.015113,5.903199,[ 58 499] ; [  6 144],[ 50.42149929 506.57850071] ; [ 13.57850071 136.42149929],0
s4,1,0.028592,4.79203,[ 78 478] ; [ 32 118],[ 86.62889518 469.37110482] ; [ 23.37110482 126.62889518],0
p5,1,0.030251,4.694963,[ 74 485] ; [ 10 138],[ 66.41584158 492.58415842] ; [ 17.58415842 130.41584158],0
d4,1,0.030719,4.668571,[474  89] ; [115  35],[465.08695652  97.91304348] ; [123.91304348  26.08695652],0
s3,1,0.033964,4.496535,[324 231] ; [72 76],[312.63157895 242.36842105] ; [83.36842105 64.63157895],0
p1,1,0.039477,4.240221,[ 52 509] ; [  6 142],[ 45.89280677 515.10719323] ; [ 12.10719323 135.89280677],0
v2,1,0.052684,3.753903,[328 215] ; [73 69],[317.8729927 225.1270073] ; [83.1270073 58.8729927],0
p2,1,0.058029,3.592853,[485  75] ; [119  29],[477.74011299  82.25988701] ; [126.25988701  21.74011299],0
s6,1,0.067626,3.339733,[378 175] ; [90 59],[368.66666667 184.33333333] ; [99.33333333 49.66666667],0
p9,1,0.067818,3.335053,[498  59] ; [126  24],[491.6096181  65.3903819] ; [132.3903819  17.6096181],0
s2,1,0.076476,3.138257,[289 269] ; [65 84],[279.39462518 278.60537482] ; [74.60537482 74.39462518],0
b1,1,0.077198,3.122925,[206 360] ; [ 43 107],[196.83519553 369.16480447] ; [52.16480447 97.83519553],0
p7,1,0.164797,1.929646,[373 178] ; [88 55],[366.01008646 184.98991354] ; [94.98991354 48.01008646],0
v4,1,0.166371,1.915341,[543  20] ; [139   9],[540.03656821  22.96343179] ; [141.96343179   6.03656821],0
p8,1,0.173412,1.853196,[316 236] ; [76 73],[308.67902996 243.32097004] ; [83.32097004 65.67902996],0
b3,1,0.206638,1.594828,[151 224] ; [24 50],[146.15812918 228.84187082] ; [28.84187082 45.15812918],0
b2,1,0.206638,1.594828,[151 224] ; [24 50],[146.15812918 228.84187082] ; [28.84187082 45.15812918],0
n1,1,0.223829,1.479655,[35 55] ; [14 35],[31.72661871 58.27338129] ; [17.27338129 31.72661871],0
s1,1,0.285735,1.139607,[ 16 539] ; [  2 148],[ 14.17021277 540.82978723] ; [  3.82978723 146.17021277],0
n3,1,0.306403,1.046119,[72 19] ; [35 14],[69.55 21.45] ; [37.45 11.55],0
a6,1,0.313497,1.015885,[392 171] ; [98 52],[386.914446 176.085554] ; [103.085554  46.914446],0
u4,1,0.40092,0.705567,[ 14 552] ; [  2 148],[ 12.64804469 553.35195531] ; [  3.35195531 146.64804469],0
a1,1,0.402018,0.702282,[ 28 538] ; [  5 145],[ 26.08659218 539.91340782] ; [  6.91340782 143.08659218],0
n2,1,0.612597,0.25641,[69 22] ; [39 10],[70.2 20.8] ; [37.8 11.2],0
b5,1,0.632104,0.229218,[333 233] ; [85 65],[330.4301676 235.5698324] ; [87.5698324 62.4301676],0
s5,1,0.745192,0.105615,[181 361] ; [ 47 100],[179.35558781 362.64441219] ; [48.64441219 98.35558781],0
d3,1,0.795928,0.066884,[386 178] ; [101  49],[384.68907563 179.31092437] ; [102.31092437  47.68907563],0
b4,1,0.796217,0.066691,[333 233] ; [90 60],[334.38268156 231.61731844] ; [88.61731844 61.38268156],0
u2,1,0.897025,0.01675,[86 59] ; [35 25],[85.58536585 59.41463415] ; [35.41463415 24.58536585],0
u3,1,0.897025,0.01675,[86 59] ; [35 25],[85.58536585 59.41463415] ; [35.41463415 24.58536585],0
a7,1,0.928981,0.007944,[404 160] ; [108  42],[404.43697479 159.56302521] ; [107.56302521  42.43697479],0
