Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,77.432303,[320  62] ; [67 79],[279.98863636 102.01136364] ; [107.01136364  38.98863636],1
d3,1,0.0,76.504114,[313  70] ; [63 83],[272.2268431 110.7731569] ; [103.7731569  42.2268431],1
a2,1,0.0,38.59799,[160 225] ; [ 19 127],[129.7834275 255.2165725] ; [49.2165725 96.7834275],1
u1,1,0.0,27.269489,[115 270] ; [ 12 134],[ 92.08097928 292.91902072] ; [ 34.91902072 111.08097928],1
b5,1,0.0,26.269081,[255 130] ; [61 85],[229.11487759 155.88512241] ; [86.88512241 59.11487759],1
r4,1,0.000211,13.72993,[358  27] ; [120  26],[346.57250471  38.42749529] ; [131.42749529  14.57250471],1
r1,1,0.000501,12.111614,[331  51] ; [108  38],[317.60984848  64.39015152] ; [121.39015152  24.60984848],1
b1,1,0.003509,8.521817,[144 241] ; [75 71],[158.78531073 226.21468927] ; [60.21468927 85.78531073],0
p4,1,0.003768,8.392393,[264 117] ; [81 64],[249.89543726 131.10456274] ; [95.10456274 49.89543726],0
v2,1,0.008915,6.839757,[230 139] ; [71 72],[216.93164062 152.06835938] ; [84.06835938 58.93164062],0
u3,1,0.012554,6.230866,[48 29] ; [ 8 16],[42.69306931 34.30693069] ; [13.30693069 10.69306931],0
d1,1,0.012681,6.213069,[273 112] ; [87 59],[261.01694915 123.98305085] ; [98.98305085 47.01694915],0
r2,1,0.018159,5.580709,[368  13] ; [132  12],[362.85714286  18.14285714] ; [137.14285714   6.85714286],0
b2,1,0.031053,4.650039,[ 94 145] ; [53 49],[103.02932551 135.97067449] ; [43.97067449 58.02932551],0
b3,1,0.031053,4.650039,[ 94 145] ; [53 49],[103.02932551 135.97067449] ; [43.97067449 58.02932551],0
b4,1,0.034795,4.455199,[229 156] ; [72 74],[218.23917137 166.76082863] ; [82.76082863 63.23917137],0
v4,1,0.063463,3.444492,[367  16] ; [134  12],[362.72778828  20.27221172] ; [138.27221172   7.72778828],0
p8,1,0.076196,3.14422,[220 155] ; [71 71],[211.07350097 163.92649903] ; [79.92649903 62.07350097],0
s8,1,0.106664,2.602972,[180 198] ; [81 65],[188.27862595 189.72137405] ; [72.72137405 73.27862595],0
r3,1,0.118377,2.438668,[360  22] ; [132  14],[355.95454545  26.04545455] ; [136.04545455   9.95454545],0
p1,1,0.158356,1.989851,[ 39 345] ; [  9 136],[ 34.84310019 349.15689981] ; [ 13.15689981 131.84310019],0
p11,1,0.172992,1.85682,[310  75] ; [125  21],[315.39548023  69.60451977] ; [119.60451977  26.39548023],0
a8,1,0.213276,1.549051,[ 59 279] ; [ 18 122],[ 54.44769874 283.55230126] ; [ 22.55230126 117.44769874],0
v1,1,0.214555,1.540421,[230 145] ; [78 63],[223.8372093 151.1627907] ; [84.1627907 56.8372093],0
p12,1,0.235036,1.410123,[ 40 342] ; [ 10 132],[ 36.45038168 345.54961832] ; [ 13.54961832 128.45038168],0
s7,1,0.282747,1.153841,[195 167] ; [84 58],[200.39285714 161.60714286] ; [78.60714286 63.39285714],0
n2,1,0.304941,1.05246,[63 15] ; [29 11],[60.81355932 17.18644068] ; [31.18644068  8.81355932],0
n3,1,0.361474,0.832766,[53 24] ; [30  9],[55.09482759 21.90517241] ; [27.90517241 11.09482759],0
n4,1,0.401028,0.705241,[351  33] ; [130  16],[348.49811321  35.50188679] ; [132.50188679  13.49811321],0
a3,1,0.407251,0.686812,[308  75] ; [122  24],[311.32325142  71.67674858] ; [118.67674858  27.32325142],0
a4,1,0.410737,0.676667,[218 166] ; [76 68],[213.81818182 170.18181818] ; [80.18181818 63.81818182],0
u2,1,0.430632,0.621118,[44 33] ; [11 12],[42.35 34.65] ; [12.65 10.35],0
n6,1,0.459286,0.547633,[346  37] ; [134  11],[348.18181818  34.81818182] ; [131.81818182  13.18181818],0
s3,1,0.47031,0.521248,[216 159] ; [79 67],[212.33205374 162.66794626] ; [82.66794626 63.33205374],0
s5,1,0.470357,0.521136,[136 232] ; [57 84],[139.53634578 228.46365422] ; [53.46365422 87.53634578],0
n1,1,0.478146,0.503088,[36 39] ; [16 23],[34.21052632 40.78947368] ; [17.78947368 21.21052632],0
p6,1,0.481208,0.496125,[152 228] ; [52 90],[148.50574713 231.49425287] ; [55.49425287 86.50574713],0
s6,1,0.52691,0.400348,[261 113] ; [95 47],[258.03100775 115.96899225] ; [97.96899225 44.03100775],0
s2,1,0.564248,0.332402,[203 174] ; [74 71],[200.05555556 176.94444444] ; [76.94444444 68.05555556],0
a1,1,0.589721,0.290781,[ 24 361] ; [ 11 135],[ 25.37664783 359.62335217] ; [  9.62335217 136.37664783],0
v3,1,0.652379,0.202915,[159 208] ; [66 79],[161.27929688 205.72070312] ; [63.72070312 81.27929688],0
d4,1,0.721308,0.127242,[327  56] ; [122  23],[325.69507576  57.30492424] ; [123.30492424  21.69507576],0
s4,1,0.723398,0.12526,[ 55 321] ; [ 23 122],[ 56.29174664 319.70825336] ; [ 21.70825336 123.29174664],0
