Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-05,19.486355,[ 9 25] ; [46 17],[19.27835052 14.72164948] ; [35.72164948 27.27835052],1
s6,1,0.001518,10.056846,[ 7 27] ; [33 28],[14.31578947 19.68421053] ; [25.68421053 35.31578947],0
r3,1,0.00283,8.913689,[17 17] ; [50 13],[23.48453608 10.51546392] ; [43.51546392 19.48453608],0
s8,1,0.010348,6.574002,[ 1 33] ; [14 47],[ 5.36842105 28.63157895] ; [ 9.63157895 51.36842105],0
u3,1,0.01369,6.077734,[ 4 15] ; [13  9],[ 7.87804878 11.12195122] ; [ 9.12195122 12.87804878],0
s7,1,0.014718,5.94991,[ 2 29] ; [16 40],[ 6.4137931 24.5862069] ; [11.5862069 44.4137931],0
r2,1,0.017774,5.61828,[22 11] ; [54  8],[26.4  6.6] ; [49.6 12.4],0
b4,1,0.025723,4.974533,[13 21] ; [39 24],[18.22680412 15.77319588] ; [33.77319588 29.22680412],0
a7,1,0.031353,4.633527,[15 19] ; [42 21],[19.97938144 14.02061856] ; [37.02061856 25.97938144],0
v4,1,0.035185,4.436158,[20 14] ; [49 13],[24.4375  9.5625] ; [44.5625 17.4375],0
a3,1,0.036424,4.377121,[15 19] ; [41 21],[19.83333333 14.16666667] ; [36.16666667 25.83333333],0
v1,1,0.037618,4.322196,[ 6 28] ; [24 39],[10.51546392 23.48453608] ; [19.48453608 43.51546392],0
s5,1,0.048036,3.908711,[ 2 32] ; [13 48],[ 5.36842105 28.63157895] ; [ 9.63157895 51.36842105],0
d4,1,0.055221,3.67541,[20 14] ; [48 14],[24.08333333  9.91666667] ; [43.91666667 18.08333333],0
a2,1,0.070068,3.281427,[ 3 31] ; [15 48],[ 6.30927835 27.69072165] ; [11.69072165 51.30927835],0
d5,1,0.10864,2.573888,[20 14] ; [47 16],[23.48453608 10.51546392] ; [43.51546392 19.48453608],0
p2,1,0.109961,2.554787,[11 23] ; [31 32],[14.72164948 19.27835052] ; [27.27835052 35.72164948],0
a5,1,0.126235,2.338205,[15 19] ; [38 25],[18.57731959 15.42268041] ; [34.42268041 28.57731959],0
v3,1,0.128719,2.307882,[ 7 27] ; [21 38],[10.23655914 23.76344086] ; [17.76344086 41.23655914],0
b3,1,0.131957,2.26933,[ 9 11] ; [10 29],[ 6.44067797 13.55932203] ; [12.55932203 26.44067797],0
b2,1,0.131957,2.26933,[ 9 11] ; [10 29],[ 6.44067797 13.55932203] ; [12.55932203 26.44067797],0
s3,1,0.13412,2.244156,[ 9 24] ; [27 36],[12.375 20.625] ; [23.625 39.375],0
u2,1,0.153508,2.037037,[ 5 13] ; [11 11],[ 7.2 10.8] ; [ 8.8 13.2],0
s2,1,0.165174,1.926209,[ 6 28] ; [19 43],[ 8.85416667 25.14583333] ; [16.14583333 45.85416667],0
