Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.040424,4.2,[12  3] ; [2 4],[10.  5.] ; [4. 2.],0
s8,1,0.040424,4.2,[ 3 12] ; [4 2],[ 5. 10.] ; [2. 4.],0
r1,1,0.074716,3.17625,[13  2] ; [3 3],[11.42857143  3.57142857] ; [4.57142857 1.42857143],0
s2,1,0.074716,3.17625,[ 2 13] ; [3 3],[ 3.57142857 11.42857143] ; [1.42857143 4.57142857],0
n5,1,0.12506,2.352778,[7 8] ; [5 1],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
p4,1,0.163187,1.944444,[ 5 10] ; [4 2],[6.42857143 8.57142857] ; [2.57142857 3.42857143],0
p11,1,0.163187,1.944444,[10  5] ; [2 4],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
p2,1,0.169202,1.89,[12  3] ; [3 3],[10.71428571  4.28571429] ; [4.28571429 1.71428571],0
u2,1,0.186858,1.742222,[1 4] ; [2 1],[1.875 3.125] ; [1.125 1.875],0
v2,1,0.200933,1.635577,[8 7] ; [5 1],[9.28571429 5.71428571] ; [3.71428571 2.28571429],0
a8,1,0.201336,1.632653,[ 3 11] ; [3 3],[4.2 9.8] ; [1.8 4.2],0
s6,1,0.243498,1.360227,[7 7] ; [4 1],[8.10526316 5.89473684] ; [2.89473684 2.10526316],0
a5,1,0.269004,1.221818,[9 6] ; [2 4],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
v1,1,0.305507,1.05,[6 9] ; [1 5],[ 5. 10.] ; [2. 4.],0
a7,1,0.305507,1.05,[9 6] ; [5 1],[10.  5.] ; [4. 2.],0
b4,1,0.305507,1.05,[9 6] ; [5 1],[10.  5.] ; [4. 2.],0
s3,1,0.407094,0.687273,[7 8] ; [4 2],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
a6,1,0.407094,0.687273,[7 8] ; [4 2],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
a4,1,0.445009,0.583333,[ 5 10] ; [1 5],[ 4.28571429 10.71428571] ; [1.71428571 4.28571429],0
a3,1,0.477395,0.504808,[10  5] ; [3 3],[9.28571429 5.71428571] ; [3.71428571 2.28571429],0
a2,1,0.480659,0.497368,[ 1 14] ; [1 5],[ 1.42857143 13.57142857] ; [0.57142857 5.42857143],0
r2,1,0.515305,0.42328,[13  1] ; [5 1],[12.6  1.4] ; [5.4 0.6],0
s7,1,0.573138,0.31746,[ 4 11] ; [2 3],[ 4.5 10.5] ; [1.5 3.5],0
b5,1,0.576999,0.311111,[8 7] ; [4 2],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
p8,1,0.576999,0.311111,[7 8] ; [2 4],[6.42857143 8.57142857] ; [2.57142857 3.42857143],0
p7,1,0.576999,0.311111,[7 8] ; [2 4],[6.42857143 8.57142857] ; [2.57142857 3.42857143],0
b1,1,0.576999,0.311111,[8 7] ; [4 2],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
n6,1,0.626928,0.23625,[11  4] ; [5 1],[11.42857143  3.57142857] ; [4.57142857 1.42857143],0
n4,1,0.626928,0.23625,[11  4] ; [5 1],[11.42857143  3.57142857] ; [4.57142857 1.42857143],0
d2,1,0.675706,0.175,[9 6] ; [3 3],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
p10,1,0.675706,0.175,[9 6] ; [3 3],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
p6,1,0.759982,0.093333,[ 4 11] ; [2 4],[ 4.28571429 10.71428571] ; [1.71428571 4.28571429],0
d3,1,0.776258,0.080769,[9 6] ; [4 2],[9.28571429 5.71428571] ; [3.71428571 2.28571429],0
d5,1,0.843669,0.038889,[13  2] ; [5 1],[12.85714286  2.14285714] ; [5.14285714 0.85714286],0
d4,1,0.843669,0.038889,[13  2] ; [5 1],[12.85714286  2.14285714] ; [5.14285714 0.85714286],0
u3,1,0.850436,0.035556,[2 3] ; [1 2],[1.875 3.125] ; [1.125 1.875],0
d1,1,0.890106,0.019091,[7 8] ; [3 3],[7.14285714 7.85714286] ; [2.85714286 3.14285714],0
p3,1,1.0,0.0,[ 5 10] ; [2 4],[ 5. 10.] ; [2. 4.],0
