Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.012893,6.183683,[14 45] ; [12 11],[18.70731707 40.29268293] ; [ 7.29268293 15.70731707],0
a2,1,0.030312,4.691495,[ 1 59] ; [ 3 20],[ 2.89156627 57.10843373] ; [ 1.10843373 21.89156627],0
d5,1,0.032886,4.551713,[31 28] ; [18  5],[35.25609756 23.74390244] ; [13.74390244  9.25609756],0
d1,1,0.04478,4.02691,[15 45] ; [11 12],[18.79518072 41.20481928] ; [ 7.20481928 15.79518072],0
a5,1,0.046443,3.965442,[22 38] ; [14  9],[26.02409639 33.97590361] ; [ 9.97590361 13.02409639],0
v3,1,0.053946,3.714377,[ 6 53] ; [ 6 16],[ 8.74074074 50.25925926] ; [ 3.25925926 18.74074074],0
b4,1,0.082268,3.019522,[29 31] ; [16  7],[32.53012048 27.46987952] ; [12.46987952 10.53012048],0
s6,1,0.093311,2.816312,[23 37] ; [13  9],[26.34146341 33.65853659] ; [ 9.65853659 12.34146341],0
a3,1,0.099515,2.713307,[24 35] ; [14  9],[27.34146341 31.65853659] ; [10.65853659 12.34146341],0
u2,1,0.133614,2.25,[18 18] ; [2 7],[16. 20.] ; [4. 5.],0
p4,1,0.152462,2.047443,[21 39] ; [12 11],[23.85542169 36.14457831] ; [ 9.14457831 13.85542169],0
s5,1,0.176704,1.825132,[13 47] ; [ 8 14],[15.36585366 44.63414634] ; [ 5.63414634 16.36585366],0
a4,1,0.231168,1.43366,[11 49] ; [ 7 16],[13.01204819 46.98795181] ; [ 4.98795181 18.01204819],0
u3,1,0.232923,1.422925,[16 20] ; [6 3],[17.6 18.4] ; [4.4 4.6],0
p6,1,0.238022,1.392268,[14 46] ; [ 8 14],[16.09756098 43.90243902] ; [ 5.90243902 16.09756098],0
r2,1,0.244077,1.356891,[42 18] ; [19  4],[44.09638554 15.90361446] ; [16.90361446  6.09638554],0
b2,1,0.262193,1.257143,[ 9 24] ; [5 6],[10.5 22.5] ; [3.5 7.5],0
b3,1,0.262193,1.257143,[ 9 24] ; [5 6],[10.5 22.5] ; [3.5 7.5],0
s7,1,0.270543,1.213991,[13 44] ; [ 8 15],[14.9625 42.0375] ; [ 6.0375 16.9625],0
s3,1,0.282592,1.154584,[21 39] ; [11 12],[23.13253012 36.86746988] ; [ 8.86746988 14.13253012],0
s8,1,0.311187,1.025629,[12 48] ; [ 7 16],[13.73493976 46.26506024] ; [ 5.26506024 17.73493976],0
s2,1,0.352487,0.864483,[22 38] ; [11 12],[23.85542169 36.14457831] ; [ 9.14457831 13.85542169],0
r3,1,0.372741,0.794508,[47 13] ; [20  3],[48.43373494 11.56626506] ; [18.56626506  4.43373494],0
d3,1,0.376746,0.781292,[29 29] ; [14  9],[30.79012346 27.20987654] ; [12.20987654 10.79012346],0
p2,1,0.418462,0.65463,[39 20] ; [13 10],[37.41463415 21.58536585] ; [14.58536585  8.41463415],0
d4,1,0.420076,0.650102,[36 24] ; [16  7],[37.59036145 22.40963855] ; [14.40963855  8.59036145],0
v4,1,0.442689,0.589303,[47 12] ; [20  3],[48.20731707 10.79268293] ; [18.79268293  4.20731707],0
p9,1,0.517965,0.417944,[39 18] ; [14  9],[37.7625 19.2375] ; [15.2375  7.7625],0
b1,1,0.557804,0.34352,[27 33] ; [12 11],[28.19277108 31.80722892] ; [10.80722892 12.19277108],0
r4,1,0.594585,0.283241,[30 30] ; [10 13],[28.91566265 31.08433735] ; [11.08433735 11.91566265],0
d2,1,0.620046,0.245803,[20 40] ; [ 9 14],[20.96385542 39.03614458] ; [ 8.03614458 14.96385542],0
n1,1,0.6247,0.239316,[ 7 18] ; [2 8],[ 6.42857143 18.57142857] ; [2.57142857 7.42857143],0
n6,1,0.668169,0.183752,[37 23] ; [13 10],[36.14457831 23.85542169] ; [13.85542169  9.14457831],0
p3,1,0.688417,0.160804,[19 41] ; [ 8 14],[19.75609756 40.24390244] ; [ 7.24390244 14.75609756],0
a1,1,0.69108,0.157919,[ 4 56] ; [ 1 22],[ 3.61445783 56.38554217] ; [ 1.38554217 21.61445783],0
p7,1,0.697137,0.151468,[27 30] ; [12 11],[27.7875 29.2125] ; [11.2125 11.7875],0
s4,1,0.724888,0.123858,[18 42] ; [ 6 17],[17.34939759 42.65060241] ; [ 6.65060241 16.34939759],0
p11,1,0.728565,0.120433,[34 26] ; [14  9],[34.69879518 25.30120482] ; [13.30120482  9.69879518],0
u1,1,0.824605,0.049118,[ 2 58] ; [ 1 22],[ 2.1686747 57.8313253] ; [ 0.8313253 22.1686747],0
p8,1,0.829195,0.046541,[23 36] ; [ 8 14],[22.58024691 36.41975309] ; [ 8.41975309 13.58024691],0
b5,1,0.833437,0.044224,[35 25] ; [14  9],[35.42168675 24.57831325] ; [13.57831325  9.42168675],0
p10,1,0.862968,0.02979,[34 24] ; [13 10],[33.65432099 24.34567901] ; [13.34567901  9.65432099],0
n5,1,0.872952,0.025571,[22 38] ; [ 8 15],[21.68674699 38.31325301] ; [ 8.31325301 14.68674699],0
