Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,0.000407,12.5,[ 1 39] ; [4 6],[ 4. 36.] ; [1. 9.],1
s3,1,0.000741,11.382523,[ 9 30] ; [8 2],[13.53061224 25.46938776] ; [3.46938776 6.53061224],1
s6,1,0.009253,6.77334,[ 5 34] ; [5 5],[ 7.95918367 31.04081633] ; [2.04081633 7.95918367],0
u2,1,0.028395,4.803922,[ 2 15] ; [2 1],[ 3.4 13.6] ; [0.6 2.4],0
s4,1,0.050186,3.835227,[ 3 37] ; [3 7],[ 4.8 35.2] ; [1.2 8.8],0
p3,1,0.050186,3.835227,[ 3 37] ; [3 7],[ 4.8 35.2] ; [1.2 8.8],0
r3,1,0.07601,3.148217,[19 20] ; [8 2],[21.48979592 17.51020408] ; [5.51020408 4.48979592],0
s7,1,0.081448,3.035775,[ 8 31] ; [4 4],[ 9.95744681 29.04255319] ; [2.04255319 5.95744681],0
p2,1,0.122823,2.380952,[10 30] ; [5 5],[12. 28.] ; [3. 7.],0
p6,1,0.125437,2.348091,[ 2 37] ; [2 8],[ 3.18367347 35.81632653] ; [0.81632653 9.18367347],0
n6,1,0.146169,2.111785,[16 24] ; [6 3],[17.95918367 22.04081633] ; [4.04081633 4.95918367],0
r1,1,0.148915,2.083333,[14 26] ; [6 4],[16. 24.] ; [4. 6.],0
v1,1,0.201087,1.634465,[ 8 31] ; [4 6],[ 9.55102041 29.44897959] ; [2.44897959 7.55102041],0
v2,1,0.201087,1.634465,[ 8 31] ; [4 6],[ 9.55102041 29.44897959] ; [2.44897959 7.55102041],0
v3,1,0.269456,1.219512,[ 6 34] ; [3 7],[ 7.2 32.8] ; [1.8 8.2],0
a6,1,0.318689,0.994318,[19 21] ; [3 7],[17.6 22.4] ; [4.4 5.6],0
p10,1,0.329385,0.951314,[13 26] ; [5 5],[14.32653061 24.67346939] ; [3.67346939 6.32653061],0
u3,1,0.334756,0.930411,[ 2 15] ; [1 2],[ 2.55 14.45] ; [0.45 2.55],0
d4,1,0.363082,0.827206,[26 14] ; [8 2],[27.2 12.8] ; [6.8 3.2],0
r2,1,0.365515,0.818854,[20 17] ; [7 3],[21.25531915 15.74468085] ; [5.74468085 4.25531915],0
a4,1,0.414399,0.666144,[13 26] ; [2 8],[11.93877551 27.06122449] ; [3.06122449 6.93877551],0
d5,1,0.470486,0.520833,[23 17] ; [7 3],[24. 16.] ; [6. 4.],0
n5,1,0.470486,0.520833,[23 17] ; [7 3],[24. 16.] ; [6. 4.],0
a3,1,0.52321,0.407562,[23 16] ; [7 3],[23.87755102 15.12244898] ; [6.12244898 3.87755102],0
s8,1,0.540965,0.373754,[ 5 35] ; [2 8],[ 5.6 34.4] ; [1.4 8.6],0
p9,1,0.548006,0.360902,[15 23] ; [5 5],[15.83333333 22.16666667] ; [4.16666667 5.83333333],0
u1,1,0.551515,0.35461,[ 2 38] ; [1 9],[ 2.4 37.6] ; [0.6 9.4],0
s5,1,0.6642,0.188462,[ 6 33] ; [1 9],[ 5.57142857 33.42857143] ; [1.42857143 8.57142857],0
p11,1,0.669123,0.18263,[17 23] ; [5 5],[17.6 22.4] ; [4.4 5.6],0
a5,1,0.670379,0.181159,[19 21] ; [4 6],[18.4 21.6] ; [4.6 5.4],0
b1,1,0.670379,0.181159,[21 19] ; [6 4],[21.6 18.4] ; [5.4 4.6],0
p1,1,0.68359,0.166113,[ 6 34] ; [1 9],[ 5.6 34.4] ; [1.4 8.6],0
a1,1,0.68359,0.166113,[ 6 34] ; [1 9],[ 5.6 34.4] ; [1.4 8.6],0
n3,1,0.692103,0.156818,[9 9] ; [2 3],[8.60869565 9.39130435] ; [2.39130435 2.60869565],0
d2,1,0.716164,0.132198,[17 22] ; [5 5],[17.51020408 21.48979592] ; [4.48979592 5.51020408],0
b2,1,0.732046,0.117241,[14 15] ; [2 3],[13.64705882 15.35294118] ; [2.35294118 2.64705882],0
b3,1,0.732046,0.117241,[14 15] ; [2 3],[13.64705882 15.35294118] ; [2.35294118 2.64705882],0
r4,1,0.740544,0.109649,[10 30] ; [2 8],[ 9.6 30.4] ; [2.4 7.6],0
p8,1,0.763238,0.090741,[ 6 34] ; [1 8],[ 5.71428571 34.28571429] ; [1.28571429 7.71428571],0
d3,1,0.768278,0.086806,[14 26] ; [4 6],[14.4 25.6] ; [3.6 6.4],0
b4,1,0.768278,0.086806,[26 14] ; [6 4],[25.6 14.4] ; [6.4 3.6],0
n1,1,0.768589,0.086566,[ 9 10] ; [2 3],[ 8.70833333 10.29166667] ; [2.29166667 2.70833333],0
n2,1,0.768589,0.086566,[ 9 10] ; [2 3],[ 8.70833333 10.29166667] ; [2.29166667 2.70833333],0
p7,1,0.853972,0.033875,[ 7 33] ; [2 8],[ 7.2 32.8] ; [1.8 8.2],0
n4,1,0.879514,0.022978,[27 13] ; [7 3],[27.2 12.8] ; [6.8 3.2],0
d1,1,0.884175,0.021222,[15 25] ; [4 6],[15.2 24.8] ; [3.8 6.2],0
b5,1,0.886079,0.020525,[17 23] ; [4 6],[16.8 23.2] ; [4.2 5.8],0
a7,1,1.0,0.0,[20 20] ; [5 5],[20. 20.] ; [5. 5.],0
a2,1,1.0,0.0,[ 4 36] ; [1 9],[ 4. 36.] ; [1. 9.],0
