Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5.2e-05,16.384193,[19 40] ; [22  6],[27.8045977 31.1954023] ; [13.1954023 14.8045977],1
p7,1,0.006332,7.45319,[26 29] ; [22  6],[31.80722892 23.19277108] ; [16.19277108 11.80722892],0
s8,1,0.016088,5.793251,[16 43] ; [15 13],[21.02298851 37.97701149] ; [ 9.97701149 18.02298851],0
p8,1,0.017011,5.695237,[21 36] ; [18 10],[26.15294118 30.84705882] ; [12.84705882 15.15294118],0
a7,1,0.017084,5.687682,[33 26] ; [23  5],[37.97701149 21.02298851] ; [18.02298851  9.97701149],0
d5,1,0.024604,5.051532,[34 25] ; [23  5],[38.65517241 20.34482759] ; [18.34482759  9.65517241],0
p6,1,0.04299,4.09579,[11 47] ; [11 17],[14.8372093 43.1627907] ; [ 7.1627907 20.8372093],0
a5,1,0.050336,3.830233,[29 30] ; [20  8],[33.22988506 25.77011494] ; [15.77011494 12.22988506],0
p11,1,0.076646,3.134619,[40 19] ; [24  4],[43.40229885 15.59770115] ; [20.59770115  7.40229885],0
s7,1,0.08572,2.952976,[17 39] ; [13 13],[20.48780488 35.51219512] ; [ 9.51219512 16.48780488],0
v1,1,0.092523,2.829928,[24 34] ; [17 11],[27.65116279 30.34883721] ; [13.34883721 14.65116279],0
v2,1,0.119855,2.419215,[23 33] ; [16 11],[26.31325301 29.68674699] ; [12.68674699 14.31325301],0
s4,1,0.161901,1.956384,[19 40] ; [ 5 23],[16.27586207 42.72413793] ; [ 7.72413793 20.27586207],0
r3,1,0.205346,1.603936,[48 10] ; [26  2],[49.90697674  8.09302326] ; [24.09302326  3.90697674],0
d1,1,0.25759,1.281662,[18 41] ; [12 16],[20.34482759 38.65517241] ; [ 9.65517241 18.34482759],0
s6,1,0.302198,1.064469,[31 28] ; [18 10],[33.22988506 25.77011494] ; [15.77011494 12.22988506],0
d2,1,0.323118,0.976282,[21 38] ; [ 7 21],[18.98850575 40.01149425] ; [ 9.01149425 18.98850575],0
r2,1,0.347026,0.884303,[48 11] ; [25  3],[49.50574713  9.49425287] ; [23.49425287  4.50574713],0
p9,1,0.35595,0.85213,[44 13] ; [24  4],[45.6 11.4] ; [22.4  5.6],0
p2,1,0.376017,0.783682,[41 18] ; [22  6],[42.72413793 16.27586207] ; [20.27586207  7.72413793],0
a4,1,0.401954,0.702472,[20 39] ; [ 7 21],[18.31034483 40.68965517] ; [ 8.68965517 19.31034483],0
p1,1,0.434881,0.609754,[ 2 57] ; [ 2 26],[ 2.71264368 56.28735632] ; [ 1.28735632 26.71264368],0
p10,1,0.439046,0.598775,[41 17] ; [22  6],[42.48837209 15.51162791] ; [20.51162791  7.48837209],0
n6,1,0.439046,0.598775,[41 17] ; [22  6],[42.48837209 15.51162791] ; [20.51162791  7.48837209],0
p5,1,0.445834,0.581221,[ 2 56] ; [ 2 26],[ 2.69767442 55.30232558] ; [ 1.30232558 26.69767442],0
u1,1,0.528473,0.397327,[ 4 55] ; [ 3 25],[ 4.74712644 54.25287356] ; [ 2.25287356 25.74712644],0
n3,1,0.540818,0.374026,[19 11] ; [3 3],[18.33333333 11.66666667] ; [3.66666667 2.33333333],0
v4,1,0.54404,0.368104,[54  4] ; [25  3],[53.27906977  4.72093023] ; [25.72093023  2.27906977],0
u2,1,0.594525,0.283333,[12 12] ; [6 4],[12.70588235 11.29411765] ; [5.29411765 4.70588235],0
n2,1,0.605577,0.266667,[22  8] ; [5 1],[22.5  7.5] ; [4.5 1.5],0
b4,1,0.61225,0.256912,[35 24] ; [15 13],[33.90804598 25.09195402] ; [16.09195402 11.90804598],0
a8,1,0.647994,0.208438,[ 3 53] ; [ 2 23],[ 3.45679012 52.54320988] ; [ 1.54320988 23.45679012],0
a3,1,0.657554,0.196509,[35 24] ; [18 10],[35.94252874 23.05747126] ; [17.05747126 10.94252874],0
b2,1,0.659636,0.193966,[10 20] ; [6 9],[10.66666667 19.33333333] ; [5.33333333 9.66666667],0
b3,1,0.659636,0.193966,[10 20] ; [6 9],[10.66666667 19.33333333] ; [5.33333333 9.66666667],0
b1,1,0.721601,0.126964,[25 34] ; [13 15],[25.77011494 33.22988506] ; [12.22988506 15.77011494],0
a6,1,0.751757,0.100061,[38 21] ; [19  9],[38.65517241 20.34482759] ; [18.34482759  9.65517241],0
a2,1,0.757571,0.095279,[ 9 50] ; [ 5 23],[ 9.49425287 49.50574713] ; [ 4.50574713 23.49425287],0
b5,1,0.769095,0.086177,[36 23] ; [18 10],[36.62068966 22.37931034] ; [17.37931034 10.62068966],0
r4,1,0.811707,0.056751,[45 14] ; [22  6],[45.43678161 13.56321839] ; [21.56321839  6.43678161],0
s3,1,0.812238,0.056425,[29 30] ; [13 15],[28.48275862 30.51724138] ; [13.51724138 14.48275862],0
v3,1,0.822741,0.050186,[13 44] ; [ 7 21],[13.41176471 43.58823529] ; [ 6.58823529 21.41176471],0
s5,1,0.872086,0.025924,[12 46] ; [ 6 21],[12.28235294 45.71764706] ; [ 5.71764706 21.28235294],0
s2,1,0.896427,0.016946,[24 34] ; [12 16],[24.27906977 33.72093023] ; [11.72093023 16.27906977],0
d3,1,0.896427,0.016946,[34 24] ; [16 12],[33.72093023 24.27906977] ; [16.27906977 11.72093023],0
d4,1,0.943626,0.005,[41 17] ; [20  8],[41.13953488 16.86046512] ; [19.86046512  8.13953488],0
r1,1,0.991211,0.000121,[38 21] ; [18 10],[37.97701149 21.02298851] ; [18.02298851  9.97701149],0
u3,1,1.0,0.0,[12 12] ; [5 5],[12. 12.] ; [5. 5.],0
