Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3e-06,21.820408,[48  8] ; [12 20],[38.18181818 17.81818182] ; [21.81818182 10.18181818],1
s2,1,0.00011,14.958677,[42 15] ; [11 23],[33.1978022 23.8021978] ; [19.8021978 14.1978022],1
a5,1,0.000329,12.898197,[46 11] ; [15 19],[38.20879121 18.79120879] ; [22.79120879 11.20879121],1
s6,1,0.003152,8.717194,[49  6] ; [20 12],[43.62068966 11.37931034] ; [25.37931034  6.62068966],0
s3,1,0.004795,7.955053,[42 15] ; [15 19],[35.7032967 21.2967033] ; [21.2967033 12.7032967],0
v3,1,0.00542,7.73366,[31 26] ; [ 8 25],[24.7 32.3] ; [14.3 18.7],0
b3,1,0.031881,4.604897,[25 18] ; [ 7 16],[20.84848485 22.15151515] ; [11.15151515 11.84848485],0
b2,1,0.031881,4.604897,[25 18] ; [ 7 16],[20.84848485 22.15151515] ; [11.15151515 11.84848485],0
b4,1,0.036971,4.351766,[24 33] ; [22 12],[28.81318681 28.18681319] ; [17.18681319 16.81318681],0
r3,1,0.042635,4.109818,[56  1] ; [30  4],[53.86813187  3.13186813] ; [32.13186813  1.86813187],0
p3,1,0.04379,4.06465,[39 18] ; [16 18],[34.45054945 22.54945055] ; [20.54945055 13.45054945],0
n6,1,0.047354,3.932781,[51  6] ; [25  9],[47.6043956  9.3956044] ; [28.3956044  5.6043956],0
n4,1,0.047354,3.932781,[51  6] ; [25  9],[47.6043956  9.3956044] ; [28.3956044  5.6043956],0
d1,1,0.052481,3.760363,[37 20] ; [15 19],[32.57142857 24.42857143] ; [19.42857143 14.57142857],0
a8,1,0.074406,3.183043,[11 44] ; [ 2 31],[ 8.125 46.875] ; [ 4.875 28.125],0
n2,1,0.084903,2.96846,[6 5] ; [12  2],[7.92 3.08] ; [10.08  3.92],0
n5,1,0.085391,2.959183,[50  7] ; [25  9],[46.97802198 10.02197802] ; [28.02197802  5.97802198],0
p11,1,0.085391,2.959183,[50  7] ; [25  9],[46.97802198 10.02197802] ; [28.02197802  5.97802198],0
d5,1,0.092819,2.824796,[49  7] ; [25  9],[46.04444444  9.95555556] ; [27.95555556  6.04444444],0
u2,1,0.107957,2.583876,[11  5] ; [6 9],[8.77419355 7.22580645] ; [8.22580645 6.77419355],0
d2,1,0.108871,2.570534,[35 22] ; [15 19],[31.31868132 25.68131868] ; [18.68131868 15.31868132],0
p9,1,0.114653,2.48889,[51  5] ; [27  7],[48.53333333  7.46666667] ; [29.46666667  4.53333333],0
d4,1,0.114937,2.484994,[46 10] ; [23 11],[42.93333333 13.06666667] ; [26.06666667  7.93333333],0
a3,1,0.118147,2.441718,[41 16] ; [19 15],[37.58241758 19.41758242] ; [22.41758242 11.58241758],0
p10,1,0.13221,2.266361,[48  8] ; [24  9],[45.30337079 10.69662921] ; [26.69662921  6.30337079],0
a4,1,0.170342,1.879929,[31 26] ; [13 20],[27.86666667 29.13333333] ; [16.13333333 16.86666667],0
u3,1,0.210298,1.569375,[10  6] ; [6 9],[8.25806452 7.74193548] ; [7.74193548 7.25806452],0
p7,1,0.250129,1.322583,[47 10] ; [31  3],[48.85714286  8.14285714] ; [29.14285714  4.85714286],0
v1,1,0.261309,1.261807,[31 24] ; [15 19],[28.42696629 26.57303371] ; [17.57303371 16.42696629],0
u1,1,0.278245,1.17564,[ 5 52] ; [ 1 33],[ 3.75824176 53.24175824] ; [ 2.24175824 31.75824176],0
s4,1,0.288078,1.128582,[11 45] ; [10 24],[13.06666667 42.93333333] ; [ 7.93333333 26.06666667],0
